"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-12-14 00:05:12,臺南市,安平區,鵝鵝鵝,
No.2,2018-12-14 00:11:10,南投縣,南投市,Amber,
No.3,2018-12-14 00:21:04,高雄市,苓雅區,Hsien,
No.4,2018-12-14 00:22:49,臺南市,永康區,Yichi,
No.5,2018-12-14 00:26:32,基隆市,中山區,魚,
No.6,2018-12-14 00:32:13,高雄市,岡山區,BZ,杜絕黃牛
No.7,2018-12-14 00:36:29,臺中市,大雅區,snowlight,需加重罰則，原先的罰鍰對於高價轉賣賺價差之人無影響，頂多把罰金轉嫁給購買者，依舊賺好幾倍價差。 並且需加條例使用非售票系統正常程序買票（如程式機器人等）需給予侵犯公司財產之重責。
No.8,2018-12-14 00:39:04,高雄市,橋頭區,Hannah,罰則加重
No.9,2018-12-14 00:44:50,新北市,新莊區,Sindy,杜絕黃牛 罰則加重
No.10,2018-12-14 00:57:46,南投縣,南投市,Rainier,
No.11,2018-12-14 01:01:16,新北市,中和區,小翼,除了取票手續費及票券郵寄費用外的額外加價都必須重罰
No.12,2018-12-14 01:11:42,臺北市,文山區,yi rou wang,
No.13,2018-12-14 01:12:56,臺北市,內湖區,怡蒨,
No.14,2018-12-14 01:30:39,臺中市,大里區,大咖,杜絕黃牛，人人有責
No.15,2018-12-14 01:38:32,新北市,永和區,玉米,拒絕黃牛
No.16,2018-12-14 01:55:31,新竹市,香山區,史密,黃牛日益猖獗，為社會公害，必須嚴懲，以示警惕才能加以杜絕。
No.17,2018-12-14 01:58:40,臺南市,安平區,LeoChiu,
No.18,2018-12-14 02:01:15,彰化縣,彰化市,yun,
No.19,2018-12-14 02:09:19,臺中市,大里區,Tiffany,
No.20,2018-12-14 02:26:43,彰化縣,秀水鄉,軟法,
No.21,2018-12-14 02:40:58,臺北市,文山區,CJ,支持
No.22,2018-12-14 04:00:58,臺南市,歸仁區,Nancy,
No.23,2018-12-14 06:28:29,新竹市,北區,Csherry,拒絕黃牛，還我公平
No.24,2018-12-14 06:52:09,臺北市,北投區,robot,杜絕黃牛!
No.25,2018-12-14 07:05:17,花蓮縣,花蓮市,魚,
No.26,2018-12-14 07:44:44,臺中市,北屯區,兔兔兒,杜絕黃牛！
No.27,2018-12-14 07:58:42,桃園市,楊梅區,飯飯,
No.28,2018-12-14 08:11:01,桃園市,新屋區,hanTseng,支持
No.29,2018-12-14 08:12:34,彰化縣,田尾鄉,36666,
No.30,2018-12-14 08:35:53,新北市,新莊區,工人,
No.31,2018-12-14 08:38:31,新竹縣,新埔鎮,kai,
No.32,2018-12-14 08:49:48,臺北市,大同區,王薏仁,抵制黃牛
No.33,2018-12-14 08:54:17,新北市,中和區,EVA,
No.34,2018-12-14 08:56:04,高雄市,楠梓區," 黃一路",杜絕黃牛
No.35,2018-12-14 08:57:24,基隆市,中正區,柑橘伶,"支持!!
禁止黃牛!!"
No.36,2018-12-14 08:59:47,臺中市,后里區,三葉草,當然要遏止黃牛
No.37,2018-12-14 09:05:24,新北市,蘆洲區,咪,支持，杜絕黃牛，寧可不看演唱會也絕不跟黃牛買票！！
No.38,2018-12-14 09:15:30,新北市,新莊區,Nico,
No.39,2018-12-14 09:31:59,彰化縣,員林市,懶懶der,黃牛票是暴利，想單純的欣賞藝術，不希望變質
No.40,2018-12-14 09:36:48,臺中市,西屯區,JWH,
No.41,2018-12-14 09:51:21,臺中市,龍井區,凱凱,
No.42,2018-12-14 09:55:25,臺中市,南區,Eagle,討厭哄抬價格
No.43,2018-12-14 10:08:36,新北市,板橋區,Amber,
No.44,2018-12-14 10:11:38,新北市,三重區,匿名,
No.45,2018-12-14 10:30:34,彰化縣,彰化市,路姒凰,"支持～
希望可以有效減少黃牛～"
No.46,2018-12-14 10:53:56,臺中市,北屯區,黃巧鈴,還給我ㄧ個乾淨的購買平台
No.47,2018-12-14 11:00:47,新竹市,東區,Jason,
No.48,2018-12-14 11:07:08,臺中市,龍井區,鋼,
No.49,2018-12-14 11:13:40,臺中市,豐原區,宜子,黃牛別來
No.50,2018-12-14 11:16:24,臺中市,龍井區,ico,黃牛吃大便
No.51,2018-12-14 11:16:59,高雄市,鳳山區,Shou Ling,
No.52,2018-12-14 11:23:47,彰化縣,和美鎮,妮妮,禁止提出高價代購費進行販賣的行為，惡意大量購買票卷再做高價轉賣，真正有需要的人卻是一票難求。
No.53,2018-12-14 11:26:01,新竹縣,關西鎮,闇夜星,"非供自用欲轉售娛樂展演票券,其轉讓價格最多只得以售票主辨方正式公告之相對應區域票面原價+公告取票手續費(含跨行轉帳手續費)為限!

為了購票,取票而產生的餐費,交通費,網咖費,耗時~皆不得量化為金額,不可向認購者收取!"
No.54,2018-12-14 11:28:09,彰化縣,員林市,Yannnnn,
No.55,2018-12-14 11:30:16,臺南市,安南區,vivin412,
No.56,2018-12-14 11:31:19,新竹市,東區,嘉,
No.57,2018-12-14 11:32:45,新北市,板橋區,蘿小拉,
No.58,2018-12-14 11:34:19,雲林縣,北港鎮,小咪,
No.59,2018-12-14 11:36:43,基隆市,七堵區," 小寶","黃牛退散！！！
讓想看演唱會、表演的人都可以進場看！！！"
No.60,2018-12-14 11:39:16,基隆市,信義區,chichi,
No.61,2018-12-14 11:40:06,高雄市,左營區,Jo,
No.62,2018-12-14 11:40:51,新竹縣,竹東鎮,kelly,"請讓真正想去的人買得到票,而不是讓黃牛從中賺取暴利"
No.63,2018-12-14 11:41:56,高雄市,鳳山區,鋒鋒,
No.64,2018-12-14 11:42:18,臺北市,內湖區,李昕,
No.65,2018-12-14 11:47:33,基隆市,仁愛區,晨萱,"應該加入刑事罰則，
然後罰款金額採用票面金額×倍率。"
No.66,2018-12-14 11:51:10,新北市,板橋區,Tin,支持
No.67,2018-12-14 11:52:59,臺北市,松山區,Sharon,
No.68,2018-12-14 11:53:24,臺北市,內湖區,安,
No.69,2018-12-14 12:18:43,基隆市,仁愛區,Sabrina,
No.70,2018-12-14 12:19:21,臺中市,大肚區,Panda,讓真正想參加的有機會參與，而非讓惡劣的商人獲取暴利。
No.71,2018-12-14 12:19:47,南投縣,埔里鎮,皮皮,杜絕黃牛!抵制黃牛!黃牛退散!
No.72,2018-12-14 12:20:07,臺北市,大安區,plleu,
No.73,2018-12-14 12:21:09,新北市,板橋區,伯格,"杜絕黃牛 人人有責
供需平衡 沒有你買黃牛就沒有黃牛"
No.74,2018-12-14 12:39:09,臺中市,中區,羅沛純,
No.75,2018-12-14 13:05:35,苗栗縣,後龍鎮,Eric,支持
No.76,2018-12-14 13:11:23,彰化縣,彰化市,吳薇薇,拒絕黃牛
No.77,2018-12-14 13:19:00,屏東縣,屏東市,棻,
No.78,2018-12-14 13:26:58,基隆市,中正區,EASON,禁止娛樂型票券加價轉賣
No.79,2018-12-14 13:43:06,臺北市,信義區,以若,若黃牛無法販售或無利可圖，網路搶票將更加容易，高價票會較晚售完，願意支付較高代價者也有較高機率購得票券。如因時程衝突無法前往須換票或轉讓，其實應該降價售出而非漲價，因限定座位缺少選位自由度。另，如加價販售票券，上浮額度獲取之利益，應納入所得稅中計算，如不限制加價販售，稅捐機關焉有能力進行查稅補稅動作？實如禁止，僅限專賣，若轉讓不可加價，方可阻絕各項黃牛流弊。
No.80,2018-12-14 13:57:25,新北市,中和區,Javi,
No.81,2018-12-14 14:10:09,臺中市,西屯區,Nien,
No.82,2018-12-14 14:23:24,臺東縣,臺東市,YI,拒絕黃牛
No.83,2018-12-14 14:30:23,桃園市,平鎮區,千,
No.84,2018-12-14 14:31:56,臺南市,北區,Josh,抵制黃牛
No.85,2018-12-14 14:39:45,新北市,蘆洲區,Elise,支持
No.86,2018-12-14 14:43:13,臺北市,文山區,Steng,
No.87,2018-12-14 14:43:37,金門縣,金湖鎮,Yunna,
No.88,2018-12-14 14:46:07,嘉義縣,布袋鎮,An,
No.89,2018-12-14 14:48:44,高雄市,小港區,GRACE,
No.90,2018-12-14 14:52:44,桃園市,桃園區,OuYang,
No.91,2018-12-14 15:00:24,高雄市,小港區,Yichien,支持
No.92,2018-12-14 15:01:37,新北市,瑞芳區,崔哥,不要讓表演者的努力爽到那些不肖賊商
No.93,2018-12-14 15:04:35,新北市,淡水區,"Evelyn ",
No.94,2018-12-14 15:12:18,新北市,三重區,排列奈米,"日本能,台灣也能"
No.95,2018-12-14 15:18:42,臺南市,安南區,Ginny,
No.96,2018-12-14 15:39:00,臺北市,松山區,wiwi7677,
No.97,2018-12-14 15:44:54,高雄市,前鎮區,翊,
No.98,2018-12-14 15:47:28,桃園市,八德區,邱,
No.99,2018-12-14 15:51:27,臺北市,文山區,Misscan,
No.100,2018-12-14 16:00:39,花蓮縣,吉安鄉,Pin,我恨黃牛
No.101,2018-12-14 16:03:40,新竹市,香山區,千璽多多,
No.102,2018-12-14 16:04:33,桃園市,新屋區,Joker,
No.103,2018-12-14 16:10:58,桃園市,中壢區,GK,
