"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-06-07 07:06:02,桃園市,蘆竹區,智,
No.2,2018-06-07 07:06:29,屏東縣,九如鄉,瑄,
No.3,2018-06-07 07:08:41,桃園市,蘆竹區,賢,
No.4,2018-06-07 07:10:06,桃園市,大園區,翔,支持廢除
No.5,2018-06-07 07:18:04,臺南市,白河區,s,
No.6,2018-06-07 07:34:47,桃園市,桃園區,beer,真的很無聊
No.7,2018-06-07 07:39:24,桃園市,桃園區,塔奇拉,
No.8,2018-06-07 07:40:34,高雄市,苓雅區,春捲,
No.9,2018-06-07 07:41:43,桃園市,龍潭區,宏,沒有實質效益
No.10,2018-06-07 07:43:18,臺北市,北投區,廖大率,
No.11,2018-06-07 07:45:10,桃園市,蘆竹區,Jason,不要浪費大家時間，快點廢除吧!
No.12,2018-06-07 07:45:27,臺南市,新市區,阿倫,
No.13,2018-06-07 07:47:54,新北市,中和區,ㄧ帆,
No.14,2018-06-07 07:50:24,桃園市,蘆竹區,chenjakey,
No.15,2018-06-07 07:50:46,屏東縣,屏東市,小牛,
No.16,2018-06-07 07:51:36,新北市,樹林區,帆,廢
No.17,2018-06-07 07:53:30,臺中市,大甲區,阿ken,我讚成廢除這項無聊的公務員數位學習計劃
No.18,2018-06-07 07:53:49,新竹縣,竹東鎮,凱莉,
No.19,2018-06-07 07:55:59,桃園市,蘆竹區,蔡明芬,
No.20,2018-06-07 07:57:18,桃園市,中壢區,胖子,盡快廢除吧！
No.21,2018-06-07 07:57:48,嘉義縣,竹崎鄉,爛政策,我寫的的內容，您們都不會看了，我們又何必浪費大家時間上不必要的課程。
No.22,2018-06-07 07:58:02,新北市,蘆洲區,Ken,警察包山包海實在夠忙了！沒空再配合上級坐享辦公室只出一張嘴的無謂創新作為，真的是不知基層疾苦。
No.23,2018-06-07 07:59:59,桃園市,大園區,瑞,
No.24,2018-06-07 08:02:11,新竹縣,竹北市,呼呼,警察上數位學習時數，根本是替一些跟警察勤務無關的單位衝時數，廢掉最好
No.25,2018-06-07 08:03:03,屏東縣,屏東市,Jia,無
No.26,2018-06-07 08:03:49,桃園市,桃園區,小朱,支持廢除公務員終身學習時數制度。
No.27,2018-06-07 08:04:24,花蓮縣,花蓮市,小安,"受訓或學習應該要給公假阿！
怎能用自己時間學習呢？"
