"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-21 00:05:47,新北市,板橋區,黎昱德,廢獎金!
No.2,2017-12-21 00:09:45,新北市,中和區,狼隼,"國家是人民的公僕
拒絕國家把人民當提款機"
No.3,2017-12-21 00:10:23,新北市,板橋區,Tingyu,反財稅黑手
No.4,2017-12-21 00:12:42,新北市,新店區,筱洁,"廢除稅務人員稅務獎勵金
廢除稅務人員稅務獎勵金
廢除稅務人員稅務獎勵金
廢除稅務人員稅務獎勵金
廢除稅務人員稅務獎勵金"
No.5,2017-12-21 00:13:53,臺北市,大安區,阿芝,
No.6,2017-12-21 00:14:09,臺北市,大安區,kide,"民主時代，國家法稅制度是以人民福祉為出發，不是用公權力定制法律來“管理人民""，而應是""服務人民""
尤其國家財政與民生息息相關，更應以人本為主!我們沒必要用納稅金來供養皇權意識的""官""!

老百姓納稅你國稅局年年超徵千億，結果路鋪不好，外資進不了，薪水漲不了，人才待不了，你國稅局獎金倒是領不少，那招!?"
No.7,2017-12-21 00:14:22,新北市,永和區,C黑,納稅人的錢請用在人民有感的地方，不是讓一些不肖者中飽私囊。
No.8,2017-12-21 00:17:48,新北市,新莊區,小欣,支持廢除查稅獎金 還給人民該有的正義
No.9,2017-12-21 00:17:59,臺北市,信義區,"jennifer ",支持廢除稅務獎勵金，查稅本來就是稅務人員的天職，獎金只會助長貪念，開出不公義的稅單
No.10,2017-12-21 00:18:15,新北市,中和區,綠豆湯,查稅是稅務人員的義務，查稅獎金促使稅務人員濫開稅單，又有行政法院護航，根本是殘害人民權益的幫兇，一定要盡快廢除。
No.11,2017-12-21 00:18:58,新北市,新店區,小貓,人民有納稅義務，但是也有依法繳稅的權力，烏龍稅單要人民照單全收，稅務員卻可以領獎金，這是極不公平又沒有正義，真正是陷所有公務人員於不義，是公務人員的共業。違法稅單也從沒有依行政程序法117條自行撤銷，因為獎金已經入袋，如何吐出來?所以應該要撤銷稅務獎金，防止違法烏龍稅單繼續氾濫。
No.12,2017-12-21 00:21:05,臺北市,大安區,AJones,財稅單位罔顧法令，自我解釋任意課稅，是最不依法行政的單位，廢除稅務獎金是爭取賦稅人權的第一步。
No.13,2017-12-21 00:21:45,新北市,新店區,莊仔,稅務獎金造成稅官亂開單，應當廢除
No.14,2017-12-21 00:22:24,臺北市,大安區,小一,廢除獎金!稅賦應明定法律規範之，用獎金來鼓勵稅務員查稅，是把都當成人民當成賊嗎？
No.15,2017-12-21 00:22:54,臺北市,中正區,Naomi,稅務獎金造成稅務官員逐利腐敗，為達業績不擇手段，該廢！
No.16,2017-12-21 00:23:18,新北市,新店區,"Melody ",
No.17,2017-12-21 00:24:41,新北市,新店區,錐錐,
No.18,2017-12-21 00:25:10,新北市,新店區,小謙,反財稅黑手
No.19,2017-12-21 00:26:32,臺北市,大安區,蔡阿胖,
No.20,2017-12-21 00:26:44,臺北市,中正區,曉徽,一定要廢除奬金
No.21,2017-12-21 00:26:58,新北市,新莊區,余天心,很棒的提議，可以解決國稅局換開稅單的禍源
No.22,2017-12-21 00:27:06,新北市,新莊區,小古,本來就不應該有
No.23,2017-12-21 00:28:43,新北市,新店區,小魚,我是薪水階級，一毛錢的稅都跑不掉，我辛辛苦苦賺錢納稅，為何國稅局官員除了薪水外，還有稅務獎金?國家是認為人民還不夠窮?請問還有公平正義?還有天理嗎?
No.24,2017-12-21 00:28:47,臺北市,內湖區,joanne,
No.25,2017-12-21 00:29:21,新北市,永和區,威,一定要廢
No.26,2017-12-21 00:29:34,臺北市,中正區,要未來的胖子帥哥,"行政救濟失靈,開過稅單不用負責,更助長違法稅單的浮濫 廢除獎金是必要之舉"
No.27,2017-12-21 00:29:38,新北市,新莊區,Agg,納稅人繳稅是為了發展國家，建設國家，而不是讓查稅人員圖利自己為得獎金而濫開罰單的
No.28,2017-12-21 00:30:38,臺北市,北投區,圓仔,公務員本來就該本於職責為民服務，稅務員的職責就是查稅，不應有獎勵金，否則容易為了獎勵金而不擇手段，浮濫開單，影響人民權益甚鉅，應予廢除。
No.29,2017-12-21 00:30:51,臺北市,內湖區,小米,
No.30,2017-12-21 00:31:39,臺北市,中山區,sandy hsieh,廢除公務獎金，才能公平看待行官員違規課稅問題
No.31,2017-12-21 00:31:48,臺北市,士林區,阿翎,
No.32,2017-12-21 00:32:10,臺北市,中正區,喵喵,廢除公務獎金制度
No.33,2017-12-21 00:32:35,臺北市,文山區,顏吉納,查稅本是稅務官員之義務，而不該有獎金之額外加給。且查稅獎金常導致烏龍稅單的出現，侵害人民權利，更造成人民與政府間之不信任，故本人認為此不良制度應加以除去。
No.34,2017-12-21 00:33:42,新北市,板橋區,章佳喻,"稅務獎金是違法課稅的亂源，稅務人員未經調查，憑空想像推測就開單課稅加罰，最大的原因來自於稅務獎金，導致稅災日益嚴重，實是行使公權力霸凌人民，而且獎金領走也不可能認錯退還，致使稅務冤案堆積如山，假案無法平反。
本人百分百支持廢除稅務人員的稅務獎勵金，以求台灣賦稅人權早日彰顯。"
No.35,2017-12-21 00:33:45,臺北市,大安區,"SallySH ",
No.36,2017-12-21 00:33:56,新北市,中和區,Ella,
No.37,2017-12-21 00:34:47,新北市,蘆洲區,DisNTs,
No.38,2017-12-21 00:35:02,臺北市,士林區,柏妮塔,
No.39,2017-12-21 00:35:03,新北市,中和區,牛妹,
No.40,2017-12-21 00:35:19,臺北市,士林區,晚睡的貓咪,
No.41,2017-12-21 00:35:48,新北市,中和區,明月,
No.42,2017-12-21 00:36:43,新北市,新店區,大熊,
No.43,2017-12-21 00:37:04,新北市,中和區,林亦凡,要廢除國稅局不公義的團體稅務獎金
No.44,2017-12-21 00:38:25,臺北市,北投區,Wendy,廢除稅務獎金才能抵制國稅局亂開稅單
No.45,2017-12-21 00:39:03,新北市,新店區,小莊,
No.46,2017-12-21 00:39:07,彰化縣,花壇鄉,阿嘉,
No.47,2017-12-21 00:39:20,新北市,永和區,小英,
No.48,2017-12-21 00:40:28,臺北市,萬華區,Dominic,
No.49,2017-12-21 00:40:41,新北市,八里區,俊勇,公務員怎麼能領獎金，不合理，辦事就不客觀啦～平常不做，等之後檢舉又有獎金拿，他們當然不會認真做事。
No.50,2017-12-21 00:40:45,臺北市,松山區,阿富,
No.51,2017-12-21 00:40:54,臺北市,士林區,田宇晨,
No.52,2017-12-21 00:40:55,桃園市,中壢區,賴飈,
No.53,2017-12-21 00:40:55,臺北市,士林區,花子,獎金一定要廢除
No.54,2017-12-21 00:41:04,新北市,新莊區,依依,
No.55,2017-12-21 00:41:31,新北市,板橋區,Alicia,廢除稅務獎金，憑良心辦公。
No.56,2017-12-21 00:43:10,臺北市,內湖區,"Bobobee ",
No.57,2017-12-21 00:44:05,桃園市,龜山區,Paul,
No.58,2017-12-21 00:44:12,臺北市,北投區,將小宸,"國稅局高官領獎自肥，官越大領越多，
歷任國稅局長領的是 天文數字。
造成許多假案，冤案，落井下石，趁火打劫。"
No.59,2017-12-21 00:44:57,新北市,板橋區,呱呱,廢除稅務獎金制度！
No.60,2017-12-21 00:45:20,新北市,中和區,Shelley,
No.61,2017-12-21 00:45:58,高雄市,左營區,Kelly Wang,支持廢除稅務人員稅務奬勵金
No.62,2017-12-21 00:46:01,臺中市,西屯區,天邊一朵花,本來就不該存在這種會把官員養貪又害民的獎金制度！！
No.63,2017-12-21 00:46:05,桃園市,中壢區,Yc,國稅局太多因為想要領奬金額亂開單造成稅災戶的例子，如果稅務奬金再不廢除，台灣將會有更多難民，一定要廢除！
No.64,2017-12-21 00:46:39,臺北市,文山區,奇模子,本來就不應該發獎金， 為了錢 他們越來越無法無天
No.65,2017-12-21 00:47:00,高雄市,楠梓區,阿伯,如果不廢除，難道警察要獎金才要抓壞人？軍人要獎金才要打仗？簡直是萬惡之源，一定要廢。
No.66,2017-12-21 00:47:37,新北市,新店區,GaGa,查稅是稅務人員的本職，不解為何需要另外領獎金？那一分一毛都是納稅人的血汗錢啊！！！
No.67,2017-12-21 00:47:56,臺北市,內湖區,咪布寶,
No.68,2017-12-21 00:47:57,桃園市,中壢區,何宇慈,
No.69,2017-12-21 00:48:08,新北市,板橋區,公平,
No.70,2017-12-21 00:48:53,桃園市,中壢區,JOEY,財稅獎金只是亂源之一，稅改之路還很漫長。
No.71,2017-12-21 00:49:21,臺北市,內湖區,神力女超 人,這提案太重要了，獎金是公務人員黑心貪念之原，萬惡的淵藪。
No.72,2017-12-21 00:49:25,臺北市,內湖區,洪逸勤,獎金會有更多冤案！為了奬金而亂開税單
No.73,2017-12-21 00:49:38,新北市,中和區,蔣小姐,獎金造成弊案，應廢除
No.74,2017-12-21 00:49:42,臺北市,大安區,艾美,公務員本依職責工作，怎會辦個路跑還有獎金？當然要廢除
No.75,2017-12-21 00:50:14,新北市,新莊區,大吉,獎金不廢除，冤錯假案只會再有
No.76,2017-12-21 00:50:15,桃園市,中壢區,小逸,"只會造成惡質稅務官員貪得無厭,濫開稅單,立即廢除!"
No.77,2017-12-21 00:50:17,新北市,中和區,黄麗蓉,
No.78,2017-12-21 00:50:32,新北市,板橋區,呆呆,
No.79,2017-12-21 00:51:25,新北市,新店區,Eric,
No.80,2017-12-21 00:51:30,臺北市,內湖區,ericshen,"稅務獎金是稅務員萬惡根源, 錢能使鬼推磨, 稅務獎金造成稅務員亂開稅單的亂源"
No.81,2017-12-21 00:51:30,高雄市,鳥松區,小凌,
No.82,2017-12-21 00:51:37,新竹市,東區,克萊,
No.83,2017-12-21 00:51:52,臺北市,內湖區,Ycc,
No.84,2017-12-21 00:52:00,臺北市,內湖區,頤萊,超徵稅收就當還給人民  稅務人員應依正當程序課稅 如為獎勵金猛查稅 發一堆烏龍稅單  禍國殃民  應該廢止
No.85,2017-12-21 00:52:05,新北市,三重區,戴花花,"查稅是公務人員本職,本來就不應額外編列查稅獎金"
No.86,2017-12-21 00:52:31,臺北市,大安區,Leo,
No.87,2017-12-21 00:52:38,基隆市,七堵區,賈圭梓,
No.88,2017-12-21 00:53:12,臺北市,內湖區,CCJ,
No.89,2017-12-21 00:53:20,新北市,永和區,Blackpener,
No.90,2017-12-21 00:53:23,基隆市,安樂區,佼,
No.91,2017-12-21 00:53:24,桃園市,龍潭區,小瑀,稅務人員本就不該有獎金，為了全國全民，贊成廢除稅務獎金
No.92,2017-12-21 00:53:51,新北市,中和區,Danielhsu,
