"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-18 00:12:09,臺中市,北屯區,daviddu,
No.2,2017-10-18 00:25:41,新北市,新店區,YY,
No.3,2017-10-18 00:34:21,高雄市,鳳山區,高士軍,
No.4,2017-10-18 00:42:54,臺北市,松山區,皓興,贊成
No.5,2017-10-18 00:58:36,高雄市,左營區,David,
No.6,2017-10-18 02:57:51,臺北市,萬華區,約翰,
No.7,2017-10-18 03:00:27,新北市,三重區,Andy,
No.8,2017-10-18 03:41:44,新北市,板橋區,Kitau,Good idea
No.9,2017-10-18 06:11:58,高雄市,左營區,Bruce Yuan,
No.10,2017-10-18 06:18:51,臺北市,文山區,shyhshiun,
No.11,2017-10-18 07:05:40,臺中市,潭子區,Link,
No.12,2017-10-18 07:37:34,新北市,五股區,STEVEN,
No.13,2017-10-18 08:04:43,臺北市,信義區,"George Huang ",
No.14,2017-10-18 08:07:13,南投縣,南投市,雷登,
No.15,2017-10-18 08:20:46,臺北市,中山區,Cliff,
No.16,2017-10-18 08:38:04,臺北市,內湖區,Boris,在GMT+8時區台灣夏天早上都是五點到五點多就天亮，對一般人而言沒那麼早起就是浪費陽光，若提早一小時，時區和陽光就能接上了。而且晚上就會變成八點才天黑，對很多人來說下班還能看到陽光，可以增加國民在戶外活動的時間。整體而言對促進國人身體健康、產業發展都是有利的。
No.17,2017-10-18 09:00:12,新竹市,東區,渝夫,很好
No.18,2017-10-18 09:07:30,臺北市,信義區,Steven,還有日光節約效果
No.19,2017-10-18 09:07:49,臺中市,沙鹿區,Allen,
No.20,2017-10-18 10:02:11,桃園市,平鎮區,RickLin,贊成，
No.21,2017-10-18 10:14:11,臺北市,信義區,浩仔,
No.22,2017-10-18 10:15:48,臺北市,大安區,SCH,
No.23,2017-10-18 10:23:46,臺北市,萬華區,OOREOO,
No.24,2017-10-18 10:32:15,新北市,永和區,Akasha Wu,
No.25,2017-10-18 10:57:50,臺中市,北區,Bear,
No.26,2017-10-18 11:07:19,臺中市,后里區,Gary,hen好的建言！
No.27,2017-10-18 11:10:25,臺北市,士林區,chieh,
No.28,2017-10-18 11:33:05,臺北市,文山區,Abert,GMT +9 比較環保，而且早起早睡，對國民健康有幫助。 ^^
No.29,2017-10-18 11:33:25,金門縣,烈嶼鄉,Alan,同意
No.30,2017-10-18 11:53:51,彰化縣,溪州鄉,summer,hen酷炫
No.31,2017-10-18 11:54:03,桃園市,龍潭區,小竣,
No.32,2017-10-18 11:56:49,臺中市,梧棲區,大頭,我國應加強與日本有形及無形的連結與合作
No.33,2017-10-18 11:58:13,臺北市,文山區,Lo,好喔~~
No.34,2017-10-18 11:58:22,基隆市,信義區,mingren chen,
No.35,2017-10-18 12:03:05,臺北市,萬華區,cyc,
No.36,2017-10-18 12:15:50,新北市,林口區,JT PAN,
No.37,2017-10-18 12:25:16,臺北市,萬華區,平島夫聡,
No.38,2017-10-18 12:25:43,新北市,板橋區,ms0301991,
No.39,2017-10-18 12:29:30,屏東縣,屏東市,weichun,
No.40,2017-10-18 12:37:16,桃園市,桃園區,Fanton,
No.41,2017-10-18 12:46:10,臺北市,文山區,Tony Yang,
No.42,2017-10-18 12:56:02,苗栗縣,苗栗市,NiHaoChe,
No.43,2017-10-18 12:56:32,屏東縣,內埔鄉,牛,
No.44,2017-10-18 12:59:40,臺南市,南區,rec,
No.45,2017-10-18 13:04:36,臺北市,中山區,ssker,
No.46,2017-10-18 13:05:26,新竹市,東區,Sky,
No.47,2017-10-18 13:16:45,臺北市,中正區,tim,
No.48,2017-10-18 13:16:48,臺北市,中山區,Coosby,無政治立場，單純以時區該是多少就是多時，日常生活才能更加正常
No.49,2017-10-18 13:28:02,臺中市,南區,孫啟倫,
No.50,2017-10-18 13:29:48,新北市,淡水區,Z,
No.51,2017-10-18 13:47:59,新北市,樹林區,Leo,
No.52,2017-10-18 13:51:20,臺北市,大安區,Hankrrr,
No.53,2017-10-18 13:54:18,桃園市,蘆竹區,阿碰,
No.54,2017-10-18 14:16:37,連江縣,莒光鄉,Fun,能夠區分台灣和中國不同的事情統統舉雙手贊成
No.55,2017-10-18 14:25:32,臺北市,內湖區,Lewis,
No.56,2017-10-18 14:27:46,基隆市,中山區,小偉,
No.57,2017-10-18 14:28:15,高雄市,鳳山區,HC,
