"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-31 09:18:22,臺中市,北屯區,汪子,
No.2,2018-05-31 09:40:23,彰化縣,大村鄉,黃可晨,支持，附議
No.3,2018-05-31 09:42:29,臺中市,霧峰區,阿偉,警消節放假ㄧ天
No.4,2018-05-31 09:42:51,彰化縣,彰化市,李麥克,
No.5,2018-05-31 09:45:38,臺中市,太平區,Claire,
No.6,2018-05-31 09:46:19,彰化縣,彰化市,168chi,
No.7,2018-05-31 09:46:32,嘉義縣,朴子市,文欽,
No.8,2018-05-31 09:46:33,臺中市,西屯區,海芋,非常贊成！
No.9,2018-05-31 09:46:51,彰化縣,大村鄉,黃可晨,支持
No.10,2018-05-31 09:47:54,新北市,中和區,九禍,
No.11,2018-05-31 09:48:13,彰化縣,彰化市,阿賢,警消的辛勞應該給予肯定，支持本提案。
No.12,2018-05-31 09:49:27,臺中市,沙鹿區,格蘭傑,
No.13,2018-05-31 09:49:50,臺中市,南區,王勝彥,
No.14,2018-05-31 09:50:12,臺中市,北屯區,chang,
No.15,2018-05-31 09:51:44,彰化縣,彰化市,Amy,
No.16,2018-05-31 09:52:18,彰化縣,彰化市,廖圓圓,
No.17,2018-05-31 09:52:39,雲林縣,斗六市,陳文,支持
No.18,2018-05-31 09:53:01,臺北市,內湖區,派,
No.19,2018-05-31 09:53:21,臺中市,西屯區,Carrie,警消人員上班時間長，很少陪到家人，薪水其實也不高。需要多點假期休息或陪伴家人
No.20,2018-05-31 09:53:26,臺中市,豐原區,黃傑夫,
No.21,2018-05-31 09:53:28,苗栗縣,頭份市,77,
No.22,2018-05-31 09:53:38,臺北市,士林區,湯姆,"給予警察消防友善的工作環境
適度彈性！"
No.23,2018-05-31 09:54:38,雲林縣,土庫鎮,Chen,
No.24,2018-05-31 09:55:58,彰化縣,福興鄉,Jean Jean,
No.25,2018-05-31 09:57:10,臺北市,信義區,晉草,
No.26,2018-05-31 09:57:26,桃園市,桃園區,小鄭,
No.27,2018-05-31 09:57:44,新北市,新店區,保重,合理
No.28,2018-05-31 09:58:21,高雄市,前鎮區,阿光,
No.29,2018-05-31 09:58:40,彰化縣,二林鎮,X man,
No.30,2018-05-31 09:59:07,彰化縣,溪湖鎮,銓,
No.31,2018-05-31 09:59:14,基隆市,七堵區,夢軒,警消辛苦，需要有自己的節日放假一日
No.32,2018-05-31 09:59:54,新北市,蘆洲區,賣曲棍球,
No.33,2018-05-31 10:00:05,彰化縣,和美鎮,殷殷,警察人員倍極辛勞，用生命在維持公共秩序、保護社會安全、防止一切危害，且當今政府昏庸無能，導致民不聊生，時常有街頭活動，讓員警們時不時就要停休支援，身心飽受煎熬，如能利用警察節補休一日，想必也能讓員警們的內心稍微得到一點點點的慰藉啊！
No.34,2018-05-31 10:00:34,彰化縣,伸港鄉,lucky,
No.35,2018-05-31 10:00:58,彰化縣,埤頭鄉,阿賢,讚成記念日放假一天
No.36,2018-05-31 10:01:06,臺中市,大雅區,Wei,為警消爭取應有之福利
No.37,2018-05-31 10:02:19,嘉義縣,大林鎮,雨衣,
No.38,2018-05-31 10:02:44,彰化縣,福興鄉,炎之亂舞,
No.39,2018-05-31 10:03:05,基隆市,安樂區,友人,
No.40,2018-05-31 10:03:47,臺中市,中區,小茂,覆議 軍警消值得這個假期
No.41,2018-05-31 10:04:12,臺北市,中山區,阿瑞,
No.42,2018-05-31 10:04:19,臺北市,中山區,Hsuan Luö,
No.43,2018-05-31 10:04:19,新北市,中和區,韃靼的馬蹄聲,
No.44,2018-05-31 10:04:26,臺中市,西區,阿倫,
No.45,2018-05-31 10:04:31,臺北市,信義區,Momo,
No.46,2018-05-31 10:05:26,雲林縣,元長鄉,李建邦,
No.47,2018-05-31 10:05:44,臺中市,北區,倫,
No.48,2018-05-31 10:05:59,新北市,汐止區,郭,
No.49,2018-05-31 10:06:04,高雄市,三民區,tatami940549,
No.50,2018-05-31 10:06:35,新北市,板橋區,孤鴻寄語默蒼離,"內勤人員0615休假一天，外勤人員擇日補假一天
其實，休假一天與否並不是重點，休這一天假的意義
一方面是跟勞工一樣，能夠有專屬的假日
更重要的是，警察節，消防節不應該有過多的額外活動
如果是公益性的如淨灘、捐血也就罷了
很多警察機關辦理警察節活動都是大張旗鼓的表演節目
最後反而累到基層警察人員要耗費許多時間在與治安無關的活動

簡單頒個獎、大家休個假陪陪家人，不好嗎?"
No.51,2018-05-31 10:06:35,雲林縣,臺西鄉,丁噹,
No.52,2018-05-31 10:07:36,臺中市,西區,阿忠,
No.53,2018-05-31 10:07:40,臺中市,南區,亨哥,依平等原則，比照勞工於勞動節放假一天的模式，讓平時日夜顛倒工作辛勞的警察同仁放鬆休息一日。
No.54,2018-05-31 10:07:40,臺中市,神岡區,一定要,
No.55,2018-05-31 10:07:41,南投縣,竹山鎮,不會停,
No.56,2018-05-31 10:08:05,嘉義縣,民雄鄉,Chris,支持
No.57,2018-05-31 10:08:51,彰化縣,彰化市,林救浪,
No.58,2018-05-31 10:10:11,臺北市,南港區,Eason,
No.59,2018-05-31 10:11:02,新北市,蘆洲區,Vivian,
No.60,2018-05-31 10:11:57,臺北市,北投區,黃凱,
No.61,2018-05-31 10:12:28,彰化縣,彰化市,Ashen,
No.62,2018-05-31 10:12:51,桃園市,桃園區,陳華,警、消加油💪
No.63,2018-05-31 10:13:14,南投縣,草屯鎮,小胖,
No.64,2018-05-31 10:13:23,新竹縣,湖口鄉,謝伯佶,
No.65,2018-05-31 10:13:51,臺中市,豐原區,小藤,有軍人節當然也要有警消節
No.66,2018-05-31 10:14:17,花蓮縣,花蓮市,柏毅,
No.67,2018-05-31 10:14:31,臺北市,信義區,Glory,
No.68,2018-05-31 10:15:02,臺中市,太平區,Johnny chen,
No.69,2018-05-31 10:15:12,臺中市,南區,小河,不要再搞一堆不是警察想要的慶祝活動勞警傷財
No.70,2018-05-31 10:16:09,臺中市,大雅區,肉魯,
No.71,2018-05-31 10:16:35,臺中市,南屯區,小強,獎勵辛苦的警察及消防人員
No.72,2018-05-31 10:16:47,嘉義縣,六腳鄉,禎,支持本提議想法
No.73,2018-05-31 10:16:51,桃園市,桃園區,andy,
No.74,2018-05-31 10:17:22,臺中市,南屯區,文淵,
No.75,2018-05-31 10:17:27,新北市,新莊區,酷馬,
No.76,2018-05-31 10:17:33,嘉義市,西區,Diana,
No.77,2018-05-31 10:17:54,嘉義市,東區,ARZN,
No.78,2018-05-31 10:18:06,桃園市,平鎮區,志,
No.79,2018-05-31 10:18:09,新竹縣,新豐鄉,石詳,支持
No.80,2018-05-31 10:18:23,高雄市,鳳山區,陳嘉永,
No.81,2018-05-31 10:19:00,臺北市,中正區,洪浪人,警察工作相當辛苦，風險性又高，為社會犧牲甚多，應給他們擁有自己的國定紀念日！
No.82,2018-05-31 10:19:20,高雄市,前鎮區,趴,
