"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-15 00:03:19,臺中市,北區,嗚嗚,大家都辛苦了
No.2,2017-11-15 00:11:41,臺北市,中山區,Big Chou,我覺得中醫的訓練在教考訓用無法像西醫一樣，成為有系統且邏輯一致的訓練
No.3,2017-11-15 00:24:18,臺中市,豐原區,熊貓醫師,BJ4
No.4,2017-11-15 00:26:06,新北市,新莊區,反對中醫負責醫訓練,中醫大老可以停止亂搞了嗎?
No.5,2017-11-15 00:27:47,臺南市,東區,提琴手,
No.6,2017-11-15 00:42:31,臺中市,北區,Matthew Lee,
No.7,2017-11-15 00:46:29,臺中市,北區,Totu,不完整的制度跟本不應該上路
No.8,2017-11-15 00:53:21,雲林縣,口湖鄉,白雕,
No.9,2017-11-15 00:54:02,屏東縣,東港鎮,流風,
No.10,2017-11-15 00:54:59,臺中市,北區,PVNRT,
No.11,2017-11-15 00:55:44,臺北市,萬華區,getwie,
No.12,2017-11-15 00:56:04,臺中市,北區,中醫笅蔘,我覺得雖然提議中，新建立制度的過渡期，如果只是改回以前執業兩年就可以開業，這樣其實就沒有訓練到吧，感覺會喪失訓練制度的原意，應該也需要其他適合的配套措施。
No.13,2017-11-15 00:57:10,新北市,泰山區,WEI,
No.14,2017-11-15 00:57:45,彰化縣,彰化市,陳,
No.15,2017-11-15 00:58:34,臺北市,萬華區,蔡蔡,贊成！！！
No.16,2017-11-15 01:06:43,新竹市,東區,Kyou,
No.17,2017-11-15 01:11:33,臺北市,北投區,KT Lee,
No.18,2017-11-15 01:22:02,南投縣,南投市,心儀令愛,中醫改革迫在眉睫。
No.19,2017-11-15 01:24:07,新北市,三重區,Jallen,
No.20,2017-11-15 01:26:29,南投縣,竹山鎮,yajou,現行制度容額不足。
No.21,2017-11-15 01:31:08,新北市,中和區,0000,
No.22,2017-11-15 01:51:49,臺北市,中正區,Lael,
No.23,2017-11-15 01:57:04,新北市,中和區,Jacqueline,規劃不完善的制度就不該盲目上路！！
No.24,2017-11-15 01:57:38,臺中市,南屯區,許志遠,訓練計畫在上路之前已經被預告處處漏洞，而且非百分之百納訓，與當初中醫藥委員會黃主委所稱完全不同。本訓練辦法已嚴重干擾中醫師從業執業之自由，中醫藥司理當廢除重擬。
No.25,2017-11-15 02:00:49,臺中市,北區,泰,
No.26,2017-11-15 02:27:24,臺中市,北區,銘,
No.27,2017-11-15 02:39:07,新北市,新莊區,偉成,支持先廢除混亂不堪的中醫負責醫計畫
No.28,2017-11-15 02:39:10,桃園市,龜山區,老爺,
No.29,2017-11-15 02:39:29,臺中市,北屯區,jui,
No.30,2017-11-15 02:58:17,新北市,新莊區,林均均,對於pgy等制度之不合理早已是迫在眉睫需解決的問題，顯然中醫師高層的培訓制度只圖利少數人，將人綁在醫院當評鑑打手，浪費生命未能早日開始真正投入醫療學習，限縮開業人數居心叵測，未來大量後中醫師何去何從？根本昏庸透頂！
No.31,2017-11-15 03:39:57,桃園市,桃園區,涵,
No.32,2017-11-15 06:15:12,臺中市,后里區,Li,
No.33,2017-11-15 06:35:38,宜蘭縣,礁溪鄉,史普林,早該癈止
No.34,2017-11-15 06:46:40,臺中市,西屯區,Hank,請終止這場混亂又意義不明的制度。
No.35,2017-11-15 07:00:01,臺中市,北屯區,iris,
No.36,2017-11-15 07:08:40,臺中市,南屯區,Cpyu,
No.37,2017-11-15 07:19:44,臺中市,西區,Marcy,
No.38,2017-11-15 07:23:24,嘉義縣,大林鎮,JKO,支持
No.39,2017-11-15 07:28:46,新北市,五股區,許熊熊,
No.40,2017-11-15 07:31:36,嘉義市,東區,Cmedyoyo,
No.41,2017-11-15 07:35:12,新北市,板橋區,小郭,
No.42,2017-11-15 07:41:19,桃園市,桃園區,千,
No.43,2017-11-15 07:43:52,臺北市,中正區,Katy,趕快廢除負責醫制度
No.44,2017-11-15 07:43:55,桃園市,龜山區,CY,
No.45,2017-11-15 07:43:55,新北市,中和區,鼎,
No.46,2017-11-15 07:48:03,臺中市,豐原區,北極星,
No.47,2017-11-15 07:56:25,臺北市,士林區,Jose,
No.48,2017-11-15 07:57:02,臺中市,北區,羅仕寒,加油，自己未來自己救
No.49,2017-11-15 07:59:20,桃園市,龜山區,雅,
No.50,2017-11-15 08:07:26,臺南市,東區,詹博揚,"盡綿薄之力 中醫加油!! "
No.51,2017-11-15 08:09:11,臺中市,西區,木子子皿,
No.52,2017-11-15 08:10:09,高雄市,永安區,替代役青年,
No.53,2017-11-15 08:12:08,臺中市,北屯區,Koei,廢除假訓練之名，行剝削之實的萬惡中醫負責醫訓練制度
No.54,2017-11-15 08:14:25,臺中市,北區,Ning,
No.55,2017-11-15 08:17:29,臺北市,大安區,玉,
No.56,2017-11-15 08:18:05,臺中市,北區,R,
No.57,2017-11-15 08:18:56,宜蘭縣,羅東鎮,北,建立完善臨床制度 廢除中醫負責醫制度
No.58,2017-11-15 08:22:44,臺北市,信義區,蘇柏璇,
No.59,2017-11-15 08:24:43,苗栗縣,銅鑼鄉,Noranbell,
No.60,2017-11-15 08:25:07,臺中市,北區,Yenting,
No.61,2017-11-15 08:25:13,臺北市,內湖區,wade,ㄥ
No.62,2017-11-15 08:27:33,臺北市,大安區,"Yi Ting ",集結共創中醫的未來
No.63,2017-11-15 08:28:14,花蓮縣,吉安鄉,曉白,
No.64,2017-11-15 08:29:08,新北市,新店區,白淺淺,
No.65,2017-11-15 08:39:24,臺中市,西屯區,sweetmeqt,
No.66,2017-11-15 08:39:46,新竹市,北區,Nick liu,"已前的制度差在那裡?
西醫在訓練上，從你r成為實習醫生那一天起，就讓你自第一線照顧病人。年輕的中醫，在上診的第一天開始，便開始藉由面對病人，從臨床上不不斷復習及加深以前所學。並藉由臨床開拓以前讀書不懂之處。不現在的負責醫師訓練計劃，內容只有不斷紙上談兵，欸有實際接觸病人的機會，這樣的訓練內容不是在開倒車嗎？"
No.67,2017-11-15 08:45:49,新北市,三重區,Karsten,希望這個覆議能夠通過，重新訂定新的完善計畫，謝謝
No.68,2017-11-15 08:46:13,臺中市,北區,"Christine ",
No.69,2017-11-15 08:55:25,新竹縣,竹北市,傑哥,
No.70,2017-11-15 08:56:30,新北市,中和區,奉天逍遙,謝謝提案人發動這個連署，希望畢業後訓練可以名實相符。
No.71,2017-11-15 09:01:24,桃園市,桃園區,小熊兒,
No.72,2017-11-15 09:07:36,高雄市,前鎮區,MKGHJ,
No.73,2017-11-15 09:08:40,彰化縣,埤頭鄉,Pp,
No.74,2017-11-15 09:09:52,臺中市,潭子區,Fish,
No.75,2017-11-15 09:10:35,臺中市,西屯區,蛋,
No.76,2017-11-15 09:10:51,臺中市,北區,救救中醫師,
No.77,2017-11-15 09:11:07,新北市,新店區,Oilandy,
No.78,2017-11-15 09:12:52,花蓮縣,吉安鄉,哲哲,
No.79,2017-11-15 09:12:57,新北市,新店區,eric6300,
No.80,2017-11-15 09:19:10,臺中市,西屯區,fonger,
No.81,2017-11-15 09:21:29,臺北市,士林區,R,
No.82,2017-11-15 09:22:39,南投縣,草屯鎮,虛空,
No.83,2017-11-15 09:23:37,臺中市,北區,沿沿,
No.84,2017-11-15 09:24:54,臺中市,北區,S,請盡快廢除無用又耗資源的負責醫制度
No.85,2017-11-15 09:25:06,臺中市,大里區,喬治,
No.86,2017-11-15 09:32:13,新北市,三峽區,璋璋,
No.87,2017-11-15 09:34:22,臺中市,南區,Timo,"1.在有完善的政策出來之前，禁止「先求有，再求好」的各種把我們在學生當白老鼠玩弄的實驗政策。
2.支持中醫系，學士後中醫系總額管制。目前四校五系在減招前，反對成立國立大學中醫系。"
No.88,2017-11-15 09:39:29,臺南市,新營區,阿中,中醫負責醫整個亂搞，掛羊頭賣狗肉，浪費年輕人時間為大老提鞋
No.89,2017-11-15 09:41:04,花蓮縣,花蓮市,寶寶,
No.90,2017-11-15 09:42:52,新北市,板橋區,Maobaobay,
No.91,2017-11-15 09:45:22,新北市,新店區,Kai,負責醫制度迫害許多新進中醫，期待能有撥雲見日的一天...
No.92,2017-11-15 09:46:16,臺北市,大安區,wenling lee,"無給薪中醫負責醫訓練形同服社會役,待遇甚至比現行的兵役社會替代役還差,有司單位更謹慎考慮撤回,否則為被社會運作之公平正義。"
No.93,2017-11-15 09:51:06,苗栗縣,銅鑼鄉,山哥,
No.94,2017-11-15 09:51:56,臺中市,大雅區,Lesley Lau,
No.95,2017-11-15 09:52:22,宜蘭縣,頭城鎮,Cyanbo,
No.96,2017-11-15 09:52:27,臺北市,中正區,Wendy,
No.97,2017-11-15 09:55:15,彰化縣,彰化市,洋蔥,我們要真正的訓練，不是上下交相賊只是為了混一個開業資格的制度
