"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-28 00:14:51,彰化縣,溪州鄉,遊心,
No.2,2017-10-28 00:26:21,桃園市,中壢區,亞瑟,
No.3,2017-10-28 08:14:47,高雄市,岡山區,J,
No.4,2017-10-28 08:48:17,苗栗縣,苗栗市,Amelia,
No.5,2017-10-28 09:27:21,臺北市,中山區,鞭到他皮開,
No.6,2017-10-28 09:31:11,臺中市,太平區,TerryChu,中華民國法律已控管不了社會，必然要嚴刑峻法以嚇阻犯罪
No.7,2017-10-28 09:33:26,臺中市,大里區,Tu,人總是要痛才會記得
No.8,2017-10-28 09:33:45,新北市,板橋區,薯條,
No.9,2017-10-28 12:41:27,臺北市,大安區,拔菜天使,菜陰文下台
No.10,2017-10-28 17:31:29,臺中市,西區,豬小葵,
No.11,2017-10-28 19:21:01,高雄市,鳳山區,隆興,"喝酒不該死,喝酒還開車最該死"
No.12,2017-10-28 20:47:35,新北市,新莊區,Vicky,"沒有一個謹惕會讓人一犯再犯
會有個僥倖的心態（反正大不了罰錢、關監獄幾年就出來了）
對於錢多、時間多的人一點都沒有嚇阻效果
要讓錯的人痛在心裡有所謹惕，才有嚇阻效果"
No.13,2017-10-28 22:34:18,臺中市,北屯區,Jerry,會累犯就因無法教化，犯錯者要為自己的行為負責。
No.14,2017-10-28 23:12:59,桃園市,八德區,YY,
No.15,2017-10-29 00:39:32,臺南市,新營區,涵,喝酒本就不應該酒駕！造成社會危害！
No.16,2017-10-29 12:32:00,臺中市,西屯區,瓏,
No.17,2017-10-29 14:36:24,宜蘭縣,礁溪鄉,yo,
No.18,2017-10-29 17:09:41,新北市,三重區,AbbA,
No.19,2017-10-29 22:32:34,花蓮縣,秀林鄉,Chengen,支持鞭刑， 支持 犯者服務亡者。能達到嚇阻作用
No.20,2017-10-30 01:56:28,新北市,新莊區,新莊彭魚彥,讚同
No.21,2017-10-30 09:14:29,高雄市,小港區,北極熊,若沒有鞭刑建議加重刑責
No.22,2017-10-30 11:14:00,臺南市,安平區,Cheng,認為現階段對於酒駕累犯、性侵犯及對幼童傷害等罪刑責太輕，加重刑責讓大家能真正感受對於那些行為該付出的後果，盡可能讓那些人在做出不妥的行為前能先想一想。
No.23,2017-10-30 12:21:12,新北市,三重區,祥,
No.24,2017-10-30 13:03:01,新北市,板橋區,還有安全的環境,
No.25,2017-10-30 14:02:25,臺北市,大安區,Hayashi,
No.26,2017-10-30 14:53:28,新竹市,北區,一同營造歡樂社會,亂世用重典，民主國家採多數決，讓社會的亂象能撥正，唯有重罰才能阻止悲劇的再度發生。
No.27,2017-10-30 18:04:44,新北市,淡水區,小弘,
No.28,2017-10-30 23:02:43,臺北市,內湖區,禡士,早該如此
No.29,2017-10-31 01:01:01,桃園市,楊梅區,翔,
No.30,2017-10-31 08:58:10,彰化縣,田中鎮,淇,
No.31,2017-10-31 12:38:46,嘉義市,東區,福原,
No.32,2017-10-31 12:40:02,新北市,新莊區,阿吉,
No.33,2017-10-31 17:14:44,彰化縣,和美鎮,阿不思,
No.34,2017-10-31 17:20:50,新北市,三重區,阿R,
No.35,2017-10-31 17:30:16,新北市,石碇區,Vincent Cool,很好!
No.36,2017-10-31 17:42:06,新北市,三峽區,jen,
No.37,2017-10-31 18:02:28,新北市,樹林區,vacsunshine,
No.38,2017-10-31 19:17:02,苗栗縣,頭份市,JerryHuang,酒駕重罰！
