"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-20 00:13:48,新北市,瑞芳區,Joshua Liao,
No.2,2017-04-20 12:12:53,桃園市,蘆竹區,丹丹,"沒有實際的方法，看起來太籠統。雖然說要有定期的去檢查照顧浪浪的環境，但部分台灣官員一開始會去一直到後來就會漸漸淡忘，如果照顧浪浪的人員沒有盡責，那麼浪浪一樣沒有獲得好的環境。
再者，因為浪浪的數量實在是太多了，照顧他們的地方又太小，導致大多數的浪浪只能被關在籠子裡，吃喝拉撒睡只有一個籠子，活動空間是不足的。
要全力禁止台灣的寵物買賣是沒辦法的，只能希望大家盡量已認養代替購買，並且要帶寵物去植入晶片，避免走失時找不回來而又多了一直無家可歸的浪浪。"
No.3,2017-04-20 13:09:24,新北市,板橋區,皮蛋,
No.4,2017-04-20 13:14:05,新北市,板橋區,F寶耶,"對養狗人養寵物時到行政機關登記,並多加強動物晶片植入違者開罰"
No.5,2017-04-20 13:15:42,新北市,板橋區,Sean,牠們好可憐
No.6,2017-04-20 13:18:19,新北市,板橋區,安安,動物也是生命
No.7,2017-04-20 13:19:16,新北市,板橋區,林,改善流浪所讓流浪動物有個乾淨的場所
No.8,2017-04-20 13:34:30,新北市,板橋區,達,生命都需要被尊重.要不是人類購買小動物然後棄養也不會發生這種環境的污染.
No.9,2017-04-20 17:48:19,屏東縣,屏東市,Mark,
No.10,2017-04-20 23:37:44,彰化縣,田中鎮,小花,
No.11,2017-04-21 10:42:29,新竹市,東區,VV,"我支持流浪動物零安樂死，因為不是動物想死，是人類自己決定，這樣很不道德。應要尊重生命。
德國早已實施，動保做的非常徹底。應與德國學習。"
No.12,2017-04-21 19:00:57,花蓮縣,吉安鄉,支持,花蓮縣政府要興建愛狗樂園
No.13,2017-04-23 18:04:53,高雄市,永安區,koki,
No.14,2017-04-23 22:01:40,臺北市,中正區,鄭阿熊,
No.15,2017-04-24 00:22:01,高雄市,楠梓區,海洋,
No.16,2017-04-24 14:25:31,新北市,樹林區,葉葉,領養不棄養，宣導是條長期的路，從你我身邊做起。
No.17,2017-04-24 14:57:00,新北市,汐止區,Freddy,
No.18,2017-04-24 17:22:12,臺中市,南區,Luella Chen,
No.19,2017-04-24 17:50:00,桃園市,大園區,小潘,
No.20,2017-04-25 13:42:05,新北市,中和區,Joyce Lin,
No.21,2017-04-28 02:59:13,臺北市,文山區,zt,
No.22,2017-05-06 15:23:45,臺北市,大安區,康至青,
No.23,2017-06-01 05:59:26,新北市,板橋區,pen,
No.24,2017-06-15 20:52:51,新北市,板橋區,wendy,
No.25,2017-06-16 10:36:32,新北市,林口區,weiting,
