"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-13 08:35:41,新北市,泰山區,致豪,真的!~大人都受不了何況是小孩，就算開電風扇也吹不到全部人
No.2,2017-09-13 16:27:06,彰化縣,彰化市,核統,
No.3,2017-09-14 00:14:20,嘉義市,東區,kevin,
No.4,2017-09-14 11:25:09,臺南市,新營區,Wenni Chen,
No.5,2017-09-14 15:14:58,桃園市,楊梅區,Kirby chen,
No.6,2017-09-15 02:05:57,臺南市,永康區,keroro,
No.7,2017-09-18 17:47:09,臺南市,南區,勳,
No.8,2017-09-18 18:07:42,臺南市,安南區,Jia,"我的想法是這樣，每個小孩習慣的溫度不一樣，有沒有辦法看當天溫度設置『該地區最高溫度』，都開冷氣了不至於還中暑。

不贊同小孩習慣吹冷氣，都約吹約低溫"
No.9,2017-09-19 09:38:19,臺北市,大安區,陳小C,
No.10,2017-09-19 09:38:25,臺北市,大同區,小珊,
No.11,2017-09-19 09:47:43,臺北市,大同區,東媽,
No.12,2017-09-19 09:48:47,臺北市,內湖區,小興,
No.13,2017-09-19 09:52:02,新北市,中和區,easten,
No.14,2017-09-19 09:54:17,臺北市,士林區,孫德蘭,天氣愈來愈炎熱，學童皮膚過敏者愈來愈多，外在環境需要冷氣空調，身體需求上也需要，支持國家政策為義務教育的學童謀福利。
No.15,2017-09-19 09:55:40,臺北市,大同區,CYR,
No.16,2017-09-19 09:55:50,臺北市,大同區,新新,
No.17,2017-09-19 09:56:14,臺北市,大同區,Lisa,
No.18,2017-09-19 10:01:46,臺北市,南港區,古意,教育第一線，確實需要
No.19,2017-09-19 10:02:36,臺北市,大同區,Andy,
No.20,2017-09-19 10:05:15,臺北市,信義區,hy274,支持本提議想法
No.21,2017-09-19 10:05:38,臺北市,中山區,Jodie,
No.22,2017-09-19 10:06:25,臺北市,中山區,Nikki Tsai,
