"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-18 08:53:21,臺中市,大里區,小婷,
No.2,2017-10-18 08:58:38,臺中市,大里區,DoDo,大樓整棟都是屬於公共空間， 抽菸除了會影響他人健康以外，也容易引發住宅火警.
No.3,2017-10-18 09:10:12,臺中市,大里區,成為龍,
No.4,2017-10-18 09:55:43,臺中市,大里區,小布丁,
No.5,2017-10-18 11:32:27,彰化縣,彰化市,黃核統,
No.6,2017-10-18 11:56:46,新北市,三重區,"bellatien ",
No.7,2017-10-18 11:59:45,臺北市,中山區,CC Hsu,菸害防制很重要
No.8,2017-10-18 12:16:34,臺中市,沙鹿區,Kiwi,菸害包含對年幼小孩的傷害，是無形的，是不會立即產生明顯問題的健康危害！
No.9,2017-10-18 12:43:30,臺中市,北屯區,小蜜蜂,"危害下一代健康很嚴重
因為煙味會隨著廁所進入到管路 通風口影響到別人
即使在陽台抽菸也會飄到樓上 所以我們希望拒抽二手菸"
No.10,2017-10-18 13:33:35,臺中市,南區,杰,
No.11,2017-10-18 14:01:56,新北市,樹林區,Leyna,
No.12,2017-10-18 14:03:06,新北市,樹林區,wen,
No.13,2017-10-18 14:16:39,新北市,淡水區,CAT Q,
No.14,2017-10-18 14:28:22,臺北市,中山區,馬庫,
No.15,2017-10-18 14:32:29,臺北市,中山區,Cloud Lou,
No.16,2017-10-18 14:41:08,臺北市,內湖區,謝寶,
No.17,2017-10-18 15:15:11,桃園市,桃園區,桑桑,支持，對於不抽菸的住戶而言，他人的煙味真的是很大的困擾。避無可避的無奈。
No.18,2017-10-18 15:43:44,臺南市,後壁區,小麥,立意良善，但第一線執法人員稽查有困難，等稽查人員來證據早就沒有了，建議菸害防制法修法授權住戶與管委會蒐證，移送衛生局逕行處分
No.19,2017-10-18 15:45:46,桃園市,桃園區,凱爾文,日夜飽受樓下住戶二手菸危害全家健康卻完全無計可施
