"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-02-27 00:50:43,新北市,汐止區,Goldie,
No.2,2018-02-27 13:48:31,臺南市,南區,勳,
No.3,2018-02-27 21:51:04,新北市,三重區,judy,我贊成，因為有些視障人士看不到必須用聽的，最好是設計手機關機也收得到地震訊息！
No.4,2018-02-28 14:26:16,苗栗縣,造橋鄉,P,
No.5,2018-02-28 16:08:41,高雄市,三民區,Chris,
No.6,2018-02-28 17:22:25,臺北市,北投區,阿軒,
No.7,2018-03-01 09:53:20,桃園市,蘆竹區,Chi,
No.8,2018-03-01 11:29:19,臺中市,西區,jonesAAA,
No.9,2018-03-01 16:12:01,花蓮縣,玉里鎮,ap,
No.10,2018-03-01 21:50:43,新竹縣,竹北市,玉山石竹,視障朋友也很需要
No.11,2018-03-03 17:17:07,彰化縣,彰化市,黃核統,
No.12,2018-03-05 11:21:30,彰化縣,大城鄉,阿正,增加發現預警時間
No.13,2018-03-05 15:11:05,臺中市,沙鹿區,韓及,
No.14,2018-03-05 19:17:51,新北市,中和區,Oajeen,
No.15,2018-03-05 19:22:14,臺中市,東勢區,黃飛虎,
No.16,2018-03-05 21:09:30,新北市,三重區,playgamenow,
No.17,2018-03-06 13:29:07,臺北市,中正區,RITA,
No.18,2018-03-06 18:29:36,高雄市,小港區,卡單思,
No.19,2018-03-07 01:14:49,新北市,板橋區,阿華,希望也有其他語言的版本。
No.20,2018-03-07 14:13:28,桃園市,平鎮區,YU,
No.21,2018-03-08 23:54:56,新北市,三重區,Mandy,

