"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-24 00:37:46,新北市,淡水區,胖瑋,
No.2,2017-11-24 08:40:21,臺北市,中山區,Brian,
No.3,2017-11-24 08:46:25,臺北市,中正區,陳孝威,
No.4,2017-11-24 09:04:28,臺北市,南港區,oomugai,
No.5,2017-11-24 09:08:37,新竹縣,竹東鎮,揚,
No.6,2017-11-24 09:11:13,臺北市,大安區,Ken Yao,
No.7,2017-11-24 09:15:14,新竹縣,竹北市,薇,
No.8,2017-11-24 09:25:19,屏東縣,屏東市,SATO,
No.9,2017-11-24 09:25:48,新北市,林口區,Frankie Wang,
No.10,2017-11-24 09:26:04,新北市,中和區,Geo,科學立國
No.11,2017-11-24 09:32:36,新北市,新店區,Aternis,"就算是授課時數不夠用，也不該用這種砍下手去接腳的模式。

我還寧願你們把高中教育從三年延長成四年。

不然下場大概就是以後會看到更多人塞在補習班裡，

難道說這就是你們的用意 XD ?"
No.12,2017-11-24 09:37:37,苗栗縣,頭份市,Rainforss,科學是進步的基礎
No.13,2017-11-24 09:54:44,臺北市,內湖區,小花,教改越改越糟，考招與教學改革好像雙頭馬車，各自登山從來不用溝通交換意見的嗎？ 如果高中教學端要改成多元適性課程架構，那很明顯的，考招也必大改不可。建議：大學端某些科系需走獨招了，加考高三生的加深加廣課程，篩選出具備相關能力的高中生，否則你們大學的教學惡夢絕對會開始。
No.14,2017-11-24 10:13:08,新北市,三重區,林寄詩,下一代的數理能力是國家競爭力的基礎，時數再多都不夠用，怎能被那些幾句話就可以講完的社會政治議題排擠呢？
No.15,2017-11-24 10:16:59,臺中市,大里區,帥哥阿草,
No.16,2017-11-24 10:35:04,臺北市,大同區,Cacao Chen,
No.17,2017-11-24 10:38:29,高雄市,楠梓區,孤寂,
No.18,2017-11-24 10:38:30,新北市,中和區,純天然,"洗腦洗到數理科?
這些人腦袋裝的東西到底剩什麼了?"
No.19,2017-11-24 10:40:50,高雄市,小港區,光韻,意識形態綁架教育根本逆行倒施。
No.20,2017-11-24 10:45:18,桃園市,中壢區,Sion,
No.21,2017-11-24 10:59:39,臺北市,文山區,我愛中華,教育部根本沒心在下一代的教育，只是在操弄意識型態！
No.22,2017-11-24 11:03:24,臺中市,西屯區,John,
No.23,2017-11-24 11:10:16,臺北市,內湖區,GWCAT,國文已經崩了，現在連數理也要搞嗎
No.24,2017-11-24 11:28:41,澎湖縣,馬公市,chen,刪減自然組數理科時數，只會害了這些學生，進而傷害國家未來的競爭力
No.25,2017-11-24 11:29:54,基隆市,暖暖區,shmoe,
No.26,2017-11-24 11:34:13,基隆市,信義區,jeouin,
No.27,2017-11-24 11:36:08,臺北市,松山區,時雨亞沙,
No.28,2017-11-24 11:49:12,臺北市,信義區,Cloud,
No.29,2017-11-24 11:55:33,新北市,鶯歌區,morning star,
No.30,2017-11-24 11:57:18,臺北市,文山區,阿涂,108課綱立意很好，理念上支持，但在配套措施出爐之前不宜貿然實施。
No.31,2017-11-24 12:07:44,臺北市,中山區,任,
No.32,2017-11-24 12:11:55,高雄市,鳳山區,Luise,
No.33,2017-11-24 12:22:29,屏東縣,屏東市,老人,
No.34,2017-11-24 12:29:15,臺中市,梧棲區,grifon,"課綱為大事
課剛通過過程與馬政府時期一樣流程
一樣黑箱
應開更多公民餐與討論
詳細討論"
No.35,2017-11-24 12:51:23,新北市,土城區,Chen,
No.36,2017-11-24 12:57:01,新北市,新店區,N,
No.37,2017-11-24 13:09:53,臺北市,大同區,KnTa,
No.38,2017-11-24 13:29:37,新北市,新店區,Kevin Chen,
No.39,2017-11-24 13:34:28,新北市,汐止區,Treker,很棒
No.40,2017-11-24 14:21:46,臺中市,西屯區,花,
No.41,2017-11-24 14:32:07,基隆市,中山區,pichun1021,
No.42,2017-11-24 15:33:56,高雄市,左營區,yiya,
No.43,2017-11-24 15:37:38,臺北市,北投區,小日月,反對教學弱智化
No.44,2017-11-24 15:53:26,高雄市,鳳山區,高雄王祖賢,新課綱是要培養未來的台勞吧。
No.45,2017-11-24 16:26:23,臺北市,士林區,YH_LIU,教育是百年大計  不能亂來
No.46,2017-11-24 17:39:39,高雄市,鼓山區,瓜,
No.47,2017-11-24 19:07:34,高雄市,小港區,討厭數學的文科生,不要讓「高中說大學會教，大學說高中應該上過了」從笑話變真話，大家都知道笑話如果不只是笑話，那就非常不好笑。
No.48,2017-11-24 19:32:29,臺北市,信義區,Mamajon,
No.49,2017-11-24 19:52:12,臺中市,清水區,Emilie,
No.50,2017-11-24 20:46:59,高雄市,鳳山區,泰索荷夫,自然科學乃立國之本
No.51,2017-11-24 20:54:00,臺北市,中正區,Arielle,
