"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-05 00:26:23,新北市,新店區,HYC,個人親身經驗，去法院諮詢時發現從檢察官到法院服務人員都嚴重與一般民眾脫節 EX:調解常常遇到漫天喊價，阻礙調解的成功率而造成許多不合理的賠償例如超過20幾年的老車、加上誤工費、交通費不會超過一萬元的賠償，檢察官為了結案也會跟你說六萬塊很合理，法院諮詢人員只會翻法律字典給你看說調解是放棄舊有權力取得新的權力，但是民眾要的只是盡快得出合理的價格將事情圓滿落幕，而不是聽你們在那邊講法律的專業或是展現官威，近來社會越來越不景氣法院得易科罰金換算下來對一般人民來說常常會是難以負荷的開支更何況底層的弱勢民眾，當金色象徵司法的公平與正義天枰，變成有心人士敲詐善良百姓的工具時一班老百姓將安所措其手足？建議不只要將過輕的傷害等級除罪化EX:清威擦傷，並且訂立一套公開透民合理的精神賠償和價錢計算標準。
No.2,2017-09-05 14:16:35,新北市,新莊區,Joshua,
No.3,2017-09-05 21:24:04,高雄市,鳳山區,wei ting,
No.4,2017-09-06 09:08:39,臺中市,大里區,阿凱,
No.5,2017-09-06 15:27:40,新竹市,東區,BJW,
No.6,2017-09-06 21:54:46,高雄市,左營區,James,支持普通過失傷害罪除罪化
No.7,2017-09-08 12:09:13,臺北市,北投區,ufojane,
No.8,2017-09-10 12:43:09,新北市,中和區,yuanzero,
No.9,2017-09-10 15:44:09,臺中市,南屯區,蛋黃酥,
No.10,2017-09-14 10:31:12,嘉義市,東區,深藍,
No.11,2017-09-18 13:01:20,新北市,五股區,Yang,支持除罪化，太多人沒事 小擦傷 漫天喊價 只為利益 浪費司法資源
No.12,2017-09-24 05:38:19,新北市,淡水區,Fish,"司法資源是個非常重要的議題，
就跟醫療資源一樣。
在台灣，
浪費司法資源的情況很嚴重，
不僅讓司法人員過勞，
也排擠了其他更需要司法協助的案件"
No.13,2017-09-25 09:37:51,彰化縣,秀水鄉,阿憲,
No.14,2017-10-02 02:41:20,基隆市,暖暖區,油油胖,
No.15,2017-10-10 21:37:26,屏東縣,屏東市,ghbio364,
No.16,2017-10-19 22:29:38,新北市,樹林區,尼古丁,
No.17,2017-10-23 00:51:54,新北市,林口區,James,本人下班時曾親眼目睹前方同事的汽車與一機車極輕微的碰到，但騎機車的當事人於警察處理過程中不斷接受他人指導如何處理並於警員量測完後要求雙方當事人到派出所做筆録時竟然逕自先去診所驗傷譲我同事及警員等一個多小時(當時警員還問過有沒有人受傷？要不要叫救護車他都說沒有，不用)，他只因穿著拖鞋騎機車可能一點點小挫傷就提過失傷害告訴，以刑逼民，吃定我同事一生清白不願背負傷害前科而付出離譜賠款才法庭撤告.  此類似事件媒體報導發生多次. 我們請教過專業車禍訴訟律師得知：只要有千萬分之一你應注意而未注意的責任，受傷的最大，哪怕只有十圓硬幣大小的挫傷，不問誰的過失，你的過失傷害罪就成立！ 荒謬至極的法律！是以本人建議既然政治性的陪審團制這些政治人物不敢做就算了，就由這種輕微的過失傷害來試行陪審制，費用由雙方當事人責任比例來分攤，千萬不要再經過當地調解委員會成員來調解，因為我們也曾送調解，這些當地頭人的調解委員我們惹不起，不是在講道理的地方。我全程陪同處理，深知這様的社會不改不行，人人都有可能成為司法的受害者，反而是假車禍真詐財的天堂。
No.18,2017-10-24 16:25:53,臺北市,北投區,sam,"個人也是受害者,一個車禍事件,明明就是對方來撞我車,對方完全沒外傷,開了一個很奇妙的驗傷單,還用提告恐嚇我,讓我不得不讓步,變向敲竹槓,支持廢除本法,還民公平正義。"
