"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-23 09:58:53,臺中市,沙鹿區,GraceLiao,
No.2,2018-05-23 15:57:51,新竹市,香山區,兒兒兒,
No.3,2018-05-23 16:13:05,臺北市,內湖區,包裝工,
No.4,2018-05-23 23:13:20,新北市,淡水區,Yi,基本人權應為我國立國的基本核心價值。
No.5,2018-05-24 16:59:21,基隆市,中正區,艾文,同婚議題業經司法院大法官作成釋字748號解釋後，已明確表示給予相關部門2年時間完成修(立)法，故相關部門應負起責任，不應延宕修(立)法之作業。且此為當今執政黨(民主進步黨)於2016年競選總統時所作出的承諾，不應失信於民。
No.6,2018-05-24 17:21:12,桃園市,中壢區,跪婦,
No.7,2018-05-24 17:52:24,新北市,板橋區,AC,
No.8,2018-05-24 18:26:30,桃園市,八德區,哈樂茶,
No.9,2018-05-24 18:39:41,臺北市,士林區,蛙挖,
No.10,2018-05-24 19:44:28,臺北市,松山區,丹尼,同性婚姻已經經過大法官解釋，是合法的，請不要在阻擋別人應有的權益，相關單位應積極處理，怠慢處理是目無法紀，應該嚴懲。
No.11,2018-05-24 20:15:18,新北市,板橋區,YuFei,
No.12,2018-05-24 20:16:40,臺南市,東區,徐強尼,
No.13,2018-05-24 20:40:44,新北市,板橋區,阿彥,立法院不該在怠惰了
No.14,2018-05-24 20:58:02,臺中市,霧峰區,夜凱,
No.15,2018-05-24 21:09:22,桃園市,中壢區,聡太,
No.16,2018-05-24 22:11:42,臺中市,南屯區,小布,我支持同性婚姻法平權
No.17,2018-05-25 01:05:54,臺中市,北區,hom,*** 騙選票
No.18,2018-05-25 01:33:57,高雄市,苓雅區,Ramon高雄人,
No.19,2018-05-25 06:23:08,新北市,新店區,文豪,
No.20,2018-05-25 10:12:30,新北市,新店區,禾靈,
No.21,2018-05-25 10:53:21,新北市,深坑區,LIMBO,
No.22,2018-05-25 11:29:52,臺南市,東區,Simon,
No.23,2018-05-25 11:53:03,高雄市,三民區,kem,
No.24,2018-05-25 12:04:19,彰化縣,彰化市,ni ni,支持公開進度
No.25,2018-05-25 13:54:58,高雄市,鼓山區,IAN,
No.26,2018-05-25 14:44:33,臺北市,中山區,Huang vincent,行政院請守法　不要藐視大法官釋憲
No.27,2018-05-25 15:13:28,桃園市,蘆竹區,hom,
No.28,2018-05-25 15:24:33,臺北市,信義區,Juliann,
No.29,2018-05-25 17:11:57,臺北市,中山區,呂昌榮,
No.30,2018-05-25 17:37:14,新竹縣,湖口鄉,阿立,支持同婚
No.31,2018-05-25 18:59:06,新北市,新莊區,H,
No.32,2018-05-25 21:24:34,桃園市,大溪區,阿信,
No.33,2018-05-25 21:41:50,臺北市,信義區,Vincent,
No.34,2018-05-25 23:55:55,高雄市,前金區,恩,
No.35,2018-05-26 09:33:19,桃園市,龜山區,teddy,
No.36,2018-05-26 09:39:34,臺中市,潭子區,Link,
No.37,2018-05-26 09:49:24,臺北市,中山區,信,
No.38,2018-05-26 11:07:39,新北市,板橋區,Mark,加速公布進度與配套措施
No.39,2018-05-26 12:23:47,臺北市,信義區,Miles,
No.40,2018-05-26 12:51:33,苗栗縣,苑裡鎮,mgee,
No.41,2018-05-26 20:02:41,新北市,中和區,M. M.,
No.42,2018-05-26 20:42:57,新北市,板橋區,Aaa,Agree
No.43,2018-05-26 20:48:36,新北市,板橋區,aaa,
No.44,2018-05-26 20:53:16,高雄市,苓雅區,B,
No.45,2018-05-26 21:04:24,新北市,中和區,Huang,
No.46,2018-05-26 21:16:26,臺南市,歸仁區,雲守,支持婚姻平權、支持修改民法。
No.47,2018-05-26 21:25:21,臺中市,北區,季衡,
No.48,2018-05-26 21:29:35,彰化縣,北斗鎮,Peng,
No.49,2018-05-26 23:58:56,高雄市,鼓山區,Pei,因政黨自私的選情考量而延宕了早就應該要處理的同性婚姻法案，釋憲至今已一年，不僅毫無作為、甚至是倒退般的准許反同公投，這種無視人權的政府讓人無法忍受！
No.50,2018-05-27 00:25:18,花蓮縣,花蓮市,黃道明,
No.51,2018-05-27 00:45:37,臺北市,士林區,Jenny,

