"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-05 12:16:28,臺北市,大安區,Jj,
No.2,2018-05-05 13:33:17,嘉義市,東區,*--*,
No.3,2018-05-05 20:45:46,臺中市,潭子區,jackyou,早就應該如此了
No.4,2018-05-05 20:56:15,臺中市,北屯區,畢之助,公務人員要有合理罷工權
No.5,2018-05-05 21:44:45,臺中市,東勢區,沒有暱稱,
No.6,2018-05-05 22:34:22,彰化縣,彰化市,護士阿姨,
No.7,2018-05-06 11:02:11,新竹縣,竹北市,小駱駱,
No.8,2018-05-06 11:43:10,新竹市,北區,帥哥94ni,你們的提議真4太ㄅㄧㄤˋㄅㄧㄤˋ好了，對於教師和公務人員的心聲提出這樣的點子真是太好了
No.9,2018-05-07 08:46:15,新北市,板橋區,Devin,
No.10,2018-05-07 10:30:34,嘉義市,西區,楊先生,
No.11,2018-05-07 12:34:31,臺北市,士林區,風,
No.12,2018-05-07 12:38:16,新北市,中和區,jerrysu3,
No.13,2018-05-07 12:39:20,臺北市,萬華區,payfen.chan,
No.14,2018-05-07 12:39:22,新北市,板橋區,nedcat,
No.15,2018-05-07 12:39:46,臺北市,南港區,阿強,
No.16,2018-05-07 12:40:21,新北市,板橋區,Leo,
No.17,2018-05-07 12:40:46,雲林縣,水林鄉,花,
No.18,2018-05-07 12:41:37,臺北市,信義區,碧,
No.19,2018-05-07 12:41:54,臺北市,內湖區,Suchienhsun,
No.20,2018-05-07 12:41:56,新北市,淡水區,大裕,
No.21,2018-05-07 12:56:33,新北市,永和區,Joego,
No.22,2018-05-07 12:57:46,新北市,板橋區,Jackchen,
No.23,2018-05-07 13:00:37,新北市,三重區,陳慶峰,
No.24,2018-05-07 13:00:43,新北市,永和區,Grace,
No.25,2018-05-07 13:05:55,新北市,新莊區,yeh,支持
No.26,2018-05-07 13:06:26,臺北市,文山區,Vic,
No.27,2018-05-07 13:07:11,臺北市,中山區,陳捷夫,
No.28,2018-05-07 13:08:34,新北市,汐止區,玲,
No.29,2018-05-07 13:09:34,臺北市,大安區,芳,希望教師應有的權益能夠受到完善照顧
No.30,2018-05-07 13:10:13,臺北市,北投區,okman,
No.31,2018-05-07 13:10:32,新北市,板橋區,陳金門,
No.32,2018-05-07 13:23:22,臺北市,北投區,KK,教師不是次等公民，法律之前應人人平等
No.33,2018-05-07 13:24:27,臺北市,內湖區,西南丙,
No.34,2018-05-07 13:26:25,宜蘭縣,礁溪鄉,三元,
No.35,2018-05-07 13:29:02,臺北市,大安區,Ben Lee,
