"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-22 01:13:02,臺南市,永康區,taiwanisch,
No.2,2017-04-22 02:38:06,臺中市,西區,Charles Lee,
No.3,2017-04-22 11:26:38,桃園市,平鎮區,Hi,
No.4,2017-04-22 15:08:17,桃園市,平鎮區,yh,
No.5,2017-04-22 23:42:31,臺南市,七股區,陳正勝,
No.6,2017-04-23 06:37:56,桃園市,中壢區,若因,
No.7,2017-04-23 13:19:42,新北市,新莊區,RKO,
No.8,2017-04-23 16:53:48,新北市,淡水區,媚,
No.9,2017-04-23 16:56:29,高雄市,左營區,謝旻倫,
No.10,2017-04-23 17:03:22,新竹縣,湖口鄉,Dwan,
No.11,2017-04-23 19:33:38,新北市,中和區,Andrea,
No.12,2017-04-23 20:09:10,臺中市,北屯區,nicky,
No.13,2017-04-23 20:29:39,苗栗縣,卓蘭鎮,Manio,
No.14,2017-04-23 20:42:46,新北市,石碇區,黃述朗,
No.15,2017-04-23 21:59:23,臺南市,南區,vicky,
No.16,2017-04-23 23:18:46,臺中市,西區,Curtis,為了選票而蓋的高鐵站，完全不符合經濟效益，高鐵都變成慢鐵了
No.17,2017-04-23 23:21:31,臺北市,南港區,洋蔥,高鐵非台鐵
No.18,2017-04-23 23:22:04,嘉義市,西區,可樂餅博士,交通公共建設不應該淪為政治酬庸的工具！
No.19,2017-04-23 23:58:03,臺北市,大安區,阿良,"高鐵非台鐵 話說台北那麼多站其實也可以縮減到only台北車站就好

一直停車,當公車開?"
No.20,2017-04-24 10:26:42,宜蘭縣,五結鄉,wei hong hong,
No.21,2017-04-24 11:00:48,新竹市,東區,北極熊,
No.22,2017-04-24 11:06:44,高雄市,鼓山區,JOE,"完全支持,而且減站可減少不必要的人事開銷,還有高鐵就是意謂著高速鐵路,並不是高速自強號阿......"
No.23,2017-04-24 12:24:01,新北市,三重區,界王,
No.24,2017-04-24 14:00:46,臺中市,南屯區,非天,
No.25,2017-04-24 14:54:16,新北市,土城區,衛斯理,"我是要高鐵不是快速台鐵!!
蓋了一堆政治車站
浪費錢捏"
No.26,2017-04-24 17:01:42,新北市,三重區,allan,
No.27,2017-04-24 17:42:05,新北市,淡水區,linky,
No.28,2017-04-24 18:36:57,臺北市,中正區,CMC,
No.29,2017-04-24 19:25:07,臺南市,新化區,辛饒米沃,"我們要的高鐵
而不是高速自強號"
No.30,2017-04-24 20:27:22,新竹市,東區,吉,
No.31,2017-04-24 21:20:30,新北市,新店區,大哥,高鐵不需要那麼多站，既影響速度又耗營運成本。
No.32,2017-04-25 21:55:05,臺中市,梧棲區,Nancy,
No.33,2017-04-26 03:20:52,臺南市,東區,Sekia,
No.34,2017-04-27 09:36:49,臺南市,永康區,Jaim,
No.35,2017-04-29 20:48:49,高雄市,三民區,不知道,
No.36,2017-05-06 19:08:23,基隆市,安樂區,寶路,
