"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-05-26 17:05:58,宜蘭縣,羅東鎮,HSUAN,
No.2,2017-05-27 19:30:03,臺北市,大安區,康至青,
No.3,2017-05-28 13:53:25,臺中市,西屯區,4545888,
No.4,2017-06-05 16:15:58,桃園市,桃園區,PEPE,
No.5,2017-06-06 11:24:47,桃園市,蘆竹區,Jack Tsai,"政府長期宣導國人多生育,但二大問題卻都沒有解決; 1.不孕治療以及人工生產的費用不見政府相關補助,2.就算生了小孩也找不到公立利育兒中心,至少上述兩項是多數人考慮的重點"
No.6,2017-06-12 20:59:22,臺北市,松山區,WCH,
No.7,2017-06-13 11:26:44,宜蘭縣,員山鄉,小白,加油
No.8,2017-06-18 15:32:07,臺北市,士林區,"Migo ",
No.9,2017-06-22 14:39:21,臺北市,文山區,ycceg,
No.10,2017-06-27 23:03:22,新北市,新店區,miray,
No.11,2017-07-12 14:27:09,新北市,永和區,黑糖花,
No.12,2017-07-12 17:09:40,臺北市,信義區,小柳,
