"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-22 00:16:05,新北市,汐止區,John,
No.2,2017-10-22 00:54:20,臺北市,中山區,帥氣的浣熊,
No.3,2017-10-22 01:20:06,新北市,新莊區,公車客運與計程車強制駛於外側車道,如果車道有三道，公車、客運及計程車上面顯示「空車」可駛於外側與中間車道。如果是兩個車道，那這三臺車必須強制走外側車道。而計程車「空車」兩個字必須除了顯示於車頭，也要顯示於車尾及側面。
No.4,2017-10-22 01:32:58,桃園市,中壢區,Dior,
No.5,2017-10-22 12:13:22,臺北市,士林區,David,
No.6,2017-10-22 14:00:39,臺中市,北屯區,X-550,
No.7,2017-10-22 17:46:32,臺北市,北投區,Jeffrey,職業駕照使用者需要受到更嚴厲的規範，才符合公平正義原則，否則即便是那他人生命財產安全維持社會成本。
No.8,2017-10-22 17:54:32,新北市,淡水區,張杯杯,
No.9,2017-10-22 18:34:02,臺中市,豐原區,小蓬,
No.10,2017-10-22 19:09:39,臺北市,文山區,c5l1r3,
No.11,2017-10-22 20:18:26,臺北市,中山區,Aga,
No.12,2017-10-22 20:57:47,高雄市,前鎮區,婊婊愛看報紙,
No.13,2017-10-22 21:03:45,彰化縣,二林鎮,Husker,
No.14,2017-10-22 21:34:08,臺南市,中西區,黑卒仔,
No.15,2017-10-22 21:47:59,金門縣,金寧鄉,黃果兒,"曾經看過心情不好就開車亂撞 砸自己車的
在中午快放學的時候 十分危險"
No.16,2017-10-22 22:43:40,臺南市,東區,Chen Ham,"看過太多小黃自以為是的開車方式了，真的以為整條馬路都是他的?
當然也有很好的小黃司機，也應該拿出來表揚，而不是虛偽。"
No.17,2017-10-22 22:54:06,臺東縣,臺東市,wayne,
No.18,2017-10-22 23:37:25,臺北市,萬華區,小周,
No.19,2017-10-23 00:02:33,新北市,汐止區,Goldie,
No.20,2017-10-23 00:23:20,臺北市,士林區,安官,
No.21,2017-10-23 00:23:29,臺南市,新營區,男人,
No.22,2017-10-23 01:17:55,臺北市,松山區,ching325,
No.23,2017-10-23 01:25:43,新北市,板橋區,布拉魚,
No.24,2017-10-23 01:31:02,臺北市,北投區,Nick,
