"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-09 00:02:59,臺中市,潭子區,小藥師,
No.2,2017-11-09 00:08:24,嘉義市,東區,TRAVIS,我是藥師，對於名眾的用藥安全是我們的責任
No.3,2017-11-09 00:13:10,臺中市,太平區,檢舉達人,診所、藥局夜間和假日讓非藥師從事調劑行為，早就該抓了！
No.4,2017-11-09 00:14:25,臺北市,中山區,藥師,"會有現在的亂象也是利益所趨，
所以把獎金正確運用，會得到很好的驅動力
而且以目前藥局違法亂紀的程度，
政府會增加大額稅收。"
No.5,2017-11-09 00:23:44,臺北市,內湖區,Lawrence,
No.6,2017-11-09 00:28:09,桃園市,桃園區,"Jacky505 ",藥品監督你我有責
No.7,2017-11-09 00:30:32,臺中市,西屯區,Sam chou,
No.8,2017-11-09 00:34:07,新北市,鶯歌區,聲爸,"對於非藥師人員執行藥事服務的部分，應加重處罰公司。
提供獎金有助於鼓勵員工對公司的非法行為提出檢舉。"
No.9,2017-11-09 00:47:46,臺南市,將軍區,ONLY,希望也能多教育民眾甚麼是違法的行為
No.10,2017-11-09 00:53:44,新北市,三重區,Sylvester,非常支持
No.11,2017-11-09 01:00:53,臺中市,西屯區,Jay,
No.12,2017-11-09 01:03:53,新北市,蘆洲區,KKK,贊成此項提議
No.13,2017-11-09 01:25:00,雲林縣,虎尾鎮,小批,支持
No.14,2017-11-09 01:31:06,臺中市,大甲區,京,
No.15,2017-11-09 03:25:27,臺北市,信義區,老百姓,為了民眾的用藥安全 請政府多多把關
No.16,2017-11-09 03:56:12,屏東縣,屏東市,sun,徹底落實藥事法
No.17,2017-11-09 05:06:01,桃園市,龜山區,JoJo,用藥安全，藥師有責！
No.18,2017-11-09 05:17:56,臺南市,後壁區,juang170,
No.19,2017-11-09 07:34:10,新竹縣,竹東鎮,阿諾,
No.20,2017-11-09 07:46:37,臺北市,大同區,河童,
