"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-08 12:48:40,南投縣,南投市,黃,同意! 更支持掃除與社會期待不符的恐龍法官!司法盡速改革.
No.2,2017-09-08 17:10:52,新北市,蘆洲區,larry,
No.3,2017-09-09 12:51:23,新北市,鶯歌區,小禹,
No.4,2017-09-10 00:01:39,新北市,汐止區,Goldie,
No.5,2017-09-10 12:31:30,新北市,中和區,yuanzero,
No.6,2017-09-10 15:43:35,臺中市,南屯區,蛋黃酥,
No.7,2017-09-11 10:23:14,新北市,永和區,nojiol,
No.8,2017-09-14 09:42:45,臺中市,南屯區,"kevin ",
No.9,2017-09-14 23:35:48,臺中市,南區,Qw,
No.10,2017-09-19 17:44:26,高雄市,前鎮區,水電工,
No.11,2017-09-20 15:30:06,新北市,汐止區,John,
No.12,2017-10-15 13:46:49,臺中市,北屯區,Siang,贊成！
