"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-21 03:38:54,高雄市,鳳山區,Leon,
No.2,2017-11-21 08:37:57,臺中市,南屯區,其人,雙手合十  心誠則靈
No.3,2017-11-21 09:11:38,臺中市,潭子區,yy,謝謝你，請努力讓提案的效果發生！
No.4,2017-11-21 10:41:39,臺北市,文山區,jason,
No.5,2017-11-21 11:22:22,桃園市,桃園區,久寒,
No.6,2017-11-21 11:26:15,彰化縣,彰化市,黃核統,
No.7,2017-11-21 11:53:59,新北市,新店區,Chris,
No.8,2017-11-21 12:47:06,高雄市,鳳山區,"Cheerful ",
No.9,2017-11-21 12:59:30,嘉義縣,布袋鎮,ApRa,
No.10,2017-11-21 15:12:09,新竹市,香山區,兒兒兒,
No.11,2017-11-21 19:02:14,桃園市,八德區,匿名,
No.12,2017-11-21 21:31:26,嘉義縣,太保市,傑斯,
No.13,2017-11-21 21:32:07,臺中市,西屯區,風揚,"贊成！
記得有新聞報導過~燒金紙會產生13種毒素出來~"
No.14,2017-11-22 11:56:20,高雄市,小港區,歐,
No.15,2017-11-22 12:12:54,嘉義市,東區,畫圈圈,私宮廟壇常常半夜偷燃燒金紙，防不慎防
No.16,2017-11-23 01:01:23,基隆市,信義區,Heero,
No.17,2017-11-23 18:29:04,臺中市,南屯區,Benson,
No.18,2017-11-24 04:52:08,新竹縣,竹東鎮,平民,支持
No.19,2017-11-24 10:21:01,新北市,新莊區,Mary,
No.20,2017-11-24 22:01:25,臺北市,北投區,1314,
