"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-02-06 09:40:36,高雄市,梓官區,koki,
No.2,2018-02-07 00:44:10,新竹市,東區,lan po,
No.3,2018-02-07 03:04:49,澎湖縣,馬公市,ChenZhou,
No.4,2018-02-07 12:50:12,臺南市,北區,Good,
No.5,2018-02-07 16:24:34,桃園市,龜山區,Racter,
No.6,2018-02-07 17:54:20,新北市,林口區,james27,"不能用槍,用電擊好!!"
No.7,2018-02-07 21:46:54,新北市,板橋區,idawang,
No.8,2018-02-08 06:11:54,新北市,新莊區,陳小璇,希望蜜袋鼯可以用籠物籠上任何大衆搭乘，。
No.9,2018-02-08 10:46:05,臺北市,士林區,婷,蜜袋鼯不是鼠
No.10,2018-02-11 17:04:29,新北市,板橋區,莊小姐,
No.11,2018-02-12 22:21:52,高雄市,楠梓區,zephoenixro,
No.12,2018-02-12 22:45:07,臺中市,南屯區,JERRY,
No.13,2018-02-14 10:45:35,高雄市,彌陀區,M,
No.14,2018-02-14 18:00:54,臺南市,安南區,陳sir,希望治安能更好
No.15,2018-02-15 08:34:36,桃園市,桃園區,熊熊,
No.16,2018-02-15 12:21:51,屏東縣,枋山鄉,bin,
No.17,2018-02-16 23:43:08,彰化縣,員林鎮,Noma,
No.18,2018-02-17 17:54:22,新北市,中和區,pondar,警方執法常常面對一些不理性的民眾 應開放警方使用非致命武器 並且放寬執法限制 避免警方在執行公務及維護社會治安綁 手綁腳
No.19,2018-02-18 11:15:05,高雄市,左營區,大仁,
No.20,2018-02-18 18:30:52,嘉義縣,新港鄉,減佑,
No.21,2018-02-18 18:32:40,嘉義縣,朴子市,玉米,
No.22,2018-02-18 18:35:54,基隆市,安樂區,TGG,
No.23,2018-02-18 18:39:26,臺中市,西屯區,豆腐,
No.24,2018-02-18 18:41:17,南投縣,南投市,維克,
No.25,2018-02-18 18:41:45,臺北市,北投區,魯神,
No.26,2018-02-18 18:42:21,屏東縣,枋寮鄉,宇,
No.27,2018-02-18 18:45:38,臺南市,關廟區,呱呱,
No.28,2018-02-18 18:45:46,屏東縣,潮州鎮,chu,
No.29,2018-02-18 18:53:06,新北市,淡水區,Kevin,
No.30,2018-02-18 18:54:21,高雄市,仁武區,宇,
No.31,2018-02-18 18:56:57,彰化縣,伸港鄉,喔,
No.32,2018-02-18 18:58:20,臺中市,北屯區,Kingokarea,
No.33,2018-02-18 19:03:53,屏東縣,屏東市,Tgbcdb,支持警察
No.34,2018-02-18 19:04:20,彰化縣,員林鎮,江柳襄,我附議
No.35,2018-02-18 19:05:31,屏東縣,屏東市,Cyrus,
No.36,2018-02-18 19:06:06,高雄市,鳳山區,好運旺旺來,
No.37,2018-02-18 19:10:31,高雄市,美濃區,讚讚,
No.38,2018-02-18 19:11:18,雲林縣,西螺鎮,李宗澤,
No.39,2018-02-18 19:12:12,嘉義縣,水上鄉,聞,
No.40,2018-02-18 19:12:48,臺中市,大甲區,小武,
No.41,2018-02-18 19:14:06,臺東縣,臺東市,高雄慶哥,
No.42,2018-02-18 19:15:17,嘉義市,東區,祐,"電擊槍沒有到這麼手槍危險
我附議"
No.43,2018-02-18 19:16:21,高雄市,鼓山區,小囧,
No.44,2018-02-18 19:16:56,臺南市,永康區,警專生,
No.45,2018-02-18 19:20:40,高雄市,左營區,Ethan123,電擊槍所產生之危害小於警槍，亦可以減少對第三人之身體生命之傷害，若能使用必定能使警察對於不同之狀況情樣，有更多可考量可使用之警械，亦可減少對他人之不必要危害。那甚至可多配發破胎器對於不接受攔檢盤查之車輛，將可以減少槍械所帶來之不必要的風險
No.46,2018-02-18 19:26:48,雲林縣,虎尾鎮,"Jin ",
No.47,2018-02-18 19:26:49,高雄市,鼓山區,警專生,
No.48,2018-02-18 19:27:41,高雄市,岡山區,高,支持
No.49,2018-02-18 19:27:43,屏東縣,潮州鎮,方,支持警察執法
No.50,2018-02-18 19:28:04,南投縣,草屯鎮,roger,
No.51,2018-02-18 19:28:08,高雄市,鳳山區,小朋友,
No.52,2018-02-18 19:30:43,桃園市,桃園區,陽,
No.53,2018-02-18 19:37:08,彰化縣,彰化市,Railway,
No.54,2018-02-18 19:38:06,高雄市,三民區,VivianHsu,
No.55,2018-02-18 19:38:38,高雄市,三民區,小白,
No.56,2018-02-18 19:42:51,屏東縣,萬丹鄉,Ze,
No.57,2018-02-18 19:49:32,臺北市,大安區,靈,
No.58,2018-02-18 19:51:11,高雄市,小港區,Ayu,
No.59,2018-02-18 19:52:22,嘉義縣,太保市,"Zhu ",
No.60,2018-02-18 19:52:42,臺南市,佳里區,小邱,
No.61,2018-02-18 19:53:21,高雄市,小港區,liu,
No.62,2018-02-18 19:55:12,高雄市,左營區,ohkfu,支持員警配發電擊槍
No.63,2018-02-18 19:57:16,臺南市,仁德區,安,給予警察一個有效的執勤工具
No.64,2018-02-18 19:57:49,桃園市,新屋區,Archer,
No.65,2018-02-18 20:00:07,臺北市,文山區,系邊好孤獨,
No.66,2018-02-18 20:00:56,臺南市,北區,杜,
No.67,2018-02-18 20:03:14,彰化縣,大村鄉,模人,要求警察配備電擊槍 執法 放寬執法權限。執法不受民粹影響。
No.68,2018-02-18 20:05:50,高雄市,大樹區,Vista,
No.69,2018-02-18 20:10:14,高雄市,鼓山區,Pinz,
No.70,2018-02-18 20:11:49,高雄市,鳳山區,馬克警察,在台灣，在警槍使用容易造成違反比例原則，因此使用低一級武力是有必要的
No.71,2018-02-18 20:13:18,臺中市,霧峰區,Tank,
No.72,2018-02-18 20:14:11,臺北市,中山區,Rui,支持裝備電擊槍，以符合執勤比例原則，使執勤員警不再受限於使用槍枝。
No.73,2018-02-18 20:20:18,臺東縣,臺東市,shenchiachia,
No.74,2018-02-18 20:20:21,嘉義市,西區,成,支持電酒空
No.75,2018-02-18 20:21:12,新北市,新店區,BW,
No.76,2018-02-18 20:35:55,嘉義市,西區,顏米油,
No.77,2018-02-18 20:55:55,臺南市,後壁區,Hao,
No.78,2018-02-18 20:59:24,臺中市,太平區,裕翔,
No.79,2018-02-18 21:12:10,新北市,新莊區,賢,
No.80,2018-02-18 21:25:06,臺南市,六甲區,捷,
No.81,2018-02-18 21:29:02,臺中市,神岡區,Huei,
No.82,2018-02-18 21:29:37,高雄市,橋頭區,衝,
No.83,2018-02-18 21:30:27,臺南市,北區,吳區,
No.84,2018-02-18 21:30:45,臺中市,太平區,阿軒,維持社會公共秩序
No.85,2018-02-18 21:32:53,南投縣,南投市,Yomelo,
No.86,2018-02-18 21:33:34,臺北市,大同區,Calvin,支持提議
No.87,2018-02-18 21:34:29,臺中市,西區,12345678,
No.88,2018-02-18 21:35:55,臺中市,大里區,剛.,
No.89,2018-02-18 21:35:56,高雄市,三民區,劉,繼辣椒水之後的執法工具
No.90,2018-02-18 21:38:07,新北市,三峽區,小豆,
No.91,2018-02-18 21:38:50,臺北市,士林區,瑋,
No.92,2018-02-18 21:43:33,苗栗縣,竹南鎮,N,
No.93,2018-02-18 21:45:06,臺北市,大安區,安安,槍跟警棍之間的使用空間內，是真的可以在增加電擊槍，因為棍跟槍之間使用的時機差太大，電擊槍反到比使用槍枝安全化解很多危機
No.94,2018-02-18 21:45:12,新北市,蘆洲區,奧莉偉,
No.95,2018-02-18 21:49:15,新北市,中和區,Leo,
No.96,2018-02-18 21:51:18,新竹縣,竹北市,Youga,

