"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-01 04:40:23,臺北市,信義區,Hero,歡迎支持我們的公民電廠提案：讓支持綠能憑證，願意出資架設太陽能電站的自然人、民間團體、微型新創也能跟能源公司一樣競標公家機關屋頂 ！！https://join.gov.tw/idea/detail/81bad6d9-2265-457b-ba75-f333f3681873
No.2,2018-05-01 07:09:13,新北市,新莊區,啾,消防弟兄為搶救人民總是往火場裡衝，卻連最基本的裝備都有問題，無法保護消防弟兄，誰來保護我們，支持消防人員保護配備更新
No.3,2018-05-01 09:31:08,新北市,鶯歌區,Yu-Ping Cheng,國家的公僕為我們保護家園，政府有必要保護他們的安全
No.4,2018-05-01 12:45:17,彰化縣,和美鎮,阿胖,
No.5,2018-05-01 15:51:42,彰化縣,溪湖鎮,吖明,
No.6,2018-05-01 23:43:01,臺北市,大同區,SeSea,
No.7,2018-05-02 08:46:00,臺北市,萬華區,保玲,
No.8,2018-05-02 09:12:31,臺中市,北區,Doris Tsai,不論是國產或者購買國外的警消裝備，首先解決警消人員裝備不足，才是最重要的任務。每一個警消都是某個人的孩子，某個人的爸爸媽媽，為了救民眾卻必須承擔裝備不足的風險，這是政府給他們的加倍傷害嗎?殉職後給再多的錢都沒用...為何不把那些錢拿來更新裝備?減少警消人員的損失?
No.9,2018-05-02 10:06:57,臺中市,西屯區,微微,

