"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-07-18 07:28:11,桃園市,楊梅區,pippen,針對所謂的死角進行對策方式，盲點不外乎是一個方式
No.2,2017-07-18 10:17:55,屏東縣,屏東市,Soroli Li,
No.3,2017-07-18 18:17:00,臺中市,北區,侑YO,
No.4,2017-07-18 19:22:16,新北市,樹林區,Bruce Weng,
No.5,2017-07-18 22:10:12,高雄市,永安區,wei hong hong,
No.6,2017-07-18 22:55:39,臺北市,大同區,hockeygene,
No.7,2017-07-19 22:23:32,臺中市,南屯區,William,
No.8,2017-07-20 13:06:16,臺中市,豐原區,Eddie,
No.9,2017-07-21 06:57:56,新竹市,東區,Julian,
No.10,2017-07-21 07:34:29,新北市,汐止區,林貝貝,
No.11,2017-07-21 10:44:37,新北市,新店區,sibowkimo,
No.12,2017-07-21 12:37:35,臺北市,南港區,dir,
No.13,2017-07-21 13:23:24,高雄市,三民區,PRC,
No.14,2017-07-21 13:24:18,高雄市,左營區,世新,
No.15,2017-07-21 13:52:01,臺北市,大安區,Mickey,希望台灣政府重視人民的生存，安全正義
No.16,2017-07-21 15:14:59,桃園市,平鎮區,順,
No.17,2017-07-21 15:30:17,臺南市,永康區,小邱,
No.18,2017-07-21 15:57:56,臺南市,歸仁區,林小胖,
No.19,2017-07-21 18:50:27,高雄市,小港區,Dar,
No.20,2017-07-21 22:37:06,臺南市,永康區,花枝,
No.21,2017-07-22 00:02:04,高雄市,苓雅區,Yen,
No.22,2017-07-22 03:51:55,新北市,板橋區,台北大師兄,不要再因為視線死角而死人了
No.23,2017-07-22 08:16:02,桃園市,桃園區,Eileen,安全重於一切，感恩有人提案～
No.24,2017-07-22 13:45:08,新北市,林口區,克里斯多福,
No.25,2017-07-22 14:13:08,高雄市,三民區,fuming,大車強制安裝盲點偵測雷達
No.26,2017-07-22 15:49:17,新北市,樹林區,Anne,
No.27,2017-07-22 18:01:57,新北市,金山區,毅,保障用路人安全
No.28,2017-07-22 18:59:07,臺北市,內湖區,glenn,"台灣科技如此發達,這是本該做的事,這麼多年,還要人民來幫政府提案想辦法,交通部長跟底下一堆專家學者委員會,好意思嗎？"
No.29,2017-07-22 20:19:40,新北市,瑞芳區,Karen,
No.30,2017-07-23 09:51:58,臺中市,北屯區,飛鼠棟,
No.31,2017-07-23 14:20:41,桃園市,平鎮區,WL,
No.32,2017-07-24 01:16:04,新北市,汐止區,Maggie Pan,
No.33,2017-07-24 08:27:44,新北市,新莊區,Betty,贊成
No.34,2017-07-24 11:19:09,桃園市,桃園區,全日空,"能盡量避免駕駛的視覺死角就能減低造成傷害的機會。
建議大家一併連署「設置由人民連署啟動行政聽證之相關規則和程序」該提案，讓政府在推動或執行政策時也能被提醒或糾正盲點、減少錯誤，因為錯誤的政策比貪汙更可怕。
http://join.gov.tw/idea/detail/cca84963-e1c0-46be-8fea-7766565f1070"
No.35,2017-07-24 15:00:50,臺中市,大里區,我要附議,
No.36,2017-07-24 17:28:08,高雄市,三民區,LittleBU,
No.37,2017-07-24 18:01:21,新北市,新莊區,jennywu,大車強制安裝盲點偵測雷達是很好的概念!!!!太多大車看不到的死角導致民眾死亡
No.38,2017-07-24 20:00:20,臺北市,文山區,Cherry,
No.39,2017-07-24 20:49:29,雲林縣,斗六市,waterboy,
No.40,2017-07-25 03:55:53,臺南市,永康區,阿德,
No.41,2017-07-25 12:02:20,臺北市,大同區,tim,
No.42,2017-07-25 15:08:49,雲林縣,虎尾鎮,Cindy,
No.43,2017-07-25 19:29:16,新北市,中和區,Mic,
No.44,2017-07-25 21:42:42,臺北市,信義區,nan,
No.45,2017-07-25 23:11:06,桃園市,蘆竹區,oopp66,多一份安全，少一份傷害
No.46,2017-07-26 17:40:54,高雄市,鳳山區,林上心,
No.47,2017-07-27 01:00:22,臺北市,南港區,TT TC,
No.48,2017-07-27 11:08:48,臺中市,大雅區,綾,
No.49,2017-07-27 11:28:56,雲林縣,土庫鎮,阿麥,
No.50,2017-07-27 13:53:47,苗栗縣,頭份鎮,小亮亮,
No.51,2017-07-27 17:39:48,臺中市,西屯區,cte458,
No.52,2017-07-27 21:48:27,臺北市,南港區,麻糬,
No.53,2017-07-27 21:52:56,臺南市,關廟區,茹茹,
No.54,2017-07-27 22:33:08,屏東縣,新園鄉,承,
No.55,2017-07-27 22:37:01,臺北市,松山區,Hans,
