"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-29 00:53:19,桃園市,中壢區,楊小龍,犬貓是外來種，可是為什麼生態保育遇到犬貓就要轉彎？其他原生動物的生命不是生命？
No.2,2017-04-29 01:24:11,基隆市,七堵區,兔兔,"給予更多的保護跟權限
合理要求更多規範"
No.3,2017-04-29 01:33:45,臺南市,永康區,陳某,"給予更多的保護與權限
合理要求更多規範"
No.4,2017-04-29 02:40:45,新北市,新店區,老天銀,"原生動物為何就沒有貓犬的這等大的生命權
生態保育應不分物種"
No.5,2017-04-29 03:41:30,臺中市,豐原區,拾慧,支持原生種動植物的法律地位高於狗貓等外來種動物。
No.6,2017-04-29 04:10:56,新北市,中和區,絕對零度,大家都只在乎毛小孩  忘了其他動物
No.7,2017-04-29 04:32:21,屏東縣,內埔鄉,客家妹,動保法變貓狗法太荒謬了
No.8,2017-04-29 07:37:13,臺南市,東區,芝,一個國家只對狗貓友善並非是個對待動物友善的國家！
No.9,2017-04-29 07:56:42,桃園市,中壢區,Wen,"連飼主責任都沒有還想把TNR入法，根本就是叫那些飼主不想養就往外丟，反正只要說是TNR就好。
原本就已經製造很多問題的流浪貓狗因為零安樂動物數量暴增，很多收容所都不在繼續收容民眾通報的流浪貓狗，很多流浪狗被餵到開始成群引發一堆攻擊事件。
這樣還要讓TNR入法?!"
No.10,2017-04-29 08:21:05,臺北市,大安區,吹笛生,說得很好
No.11,2017-04-29 08:39:55,臺中市,東勢區,狼妹,"難道野生動物不是生命嗎？
為什麼所有養貓養狗的都好像覺得自己的毛小孩最大，其他的都不重要一樣"
No.12,2017-04-29 08:44:08,桃園市,大溪區,簡軒,憑甚麼貓狗可以壓榨其他動物權益
No.13,2017-04-29 08:50:56,新北市,汐止區,恩寧,
No.14,2017-04-29 09:29:39,新北市,新店區,包子嘶嘶,
No.15,2017-04-29 09:56:02,臺北市,內湖區,林總,其他動物的保護也同樣重要
No.16,2017-04-29 10:23:51,臺南市,安平區,柯基,
No.17,2017-04-29 10:37:25,屏東縣,屏東市,咚咚咚,
No.18,2017-04-29 11:30:14,桃園市,楊梅區,小D,
No.19,2017-04-29 11:46:29,臺中市,潭子區,芒果,
No.20,2017-04-29 11:54:43,臺中市,西屯區,從容就義,完全忽視其他動物的權益，執意要將有問題的方法入法，而且寵物的規定已經夠鬆散，最後直接毒後貓狗
No.21,2017-04-29 11:55:15,新竹縣,湖口鄉,狼,
No.22,2017-04-29 12:00:21,屏東縣,潮州鎮,LARK,貓狗不是唯一，每個生物在生態系都有自己的價值存在。
No.23,2017-04-29 12:04:18,高雄市,仁武區,瓜布,
No.24,2017-04-29 12:05:17,彰化縣,大村鄉,Malong,
No.25,2017-04-29 12:15:43,臺北市,北投區,周子耀,
No.26,2017-04-29 12:25:00,臺中市,烏日區,夜陵,
No.27,2017-04-29 12:33:30,苗栗縣,苗栗市,小靜靜,
No.28,2017-04-29 12:34:06,新北市,中和區,Wilson,
No.29,2017-04-29 12:34:51,苗栗縣,公館鄉,祥,
No.30,2017-04-29 12:35:01,臺中市,豐原區,歐陽,
No.31,2017-04-29 12:36:51,新北市,新莊區,Ducc,
