"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-02-10 01:55:26,臺南市,永康區,修,
No.2,2018-02-10 15:56:03,新北市,鶯歌區,Erin,
No.3,2018-02-11 07:53:00,新北市,淡水區,飛,支持強制加入 且要統一規格
No.4,2018-02-11 20:30:38,臺北市,大安區,weiweisnail,支持這項做法，這樣可以確保大家安全。
No.5,2018-02-11 20:33:09,臺北市,大安區,weiweisnail1,支持這項做法，這樣可以確保大家安全。
No.6,2018-02-11 20:36:52,臺北市,大安區,weiweisnail2,支持這項做法，這樣可以確保大家安全。
No.7,2018-02-11 21:15:36,臺南市,歸仁區,小胖,支持
No.8,2018-02-11 21:18:08,新北市,中和區,Nomis,
No.9,2018-02-11 21:18:43,彰化縣,田中鎮,李仰評,
No.10,2018-02-11 21:21:35,新北市,汐止區,晨大,手機常常沒收到，看看電視台會不會收得到。
No.11,2018-02-11 21:21:58,臺北市,內湖區,Tina Chang,
No.12,2018-02-11 21:23:10,臺南市,永康區,Ghosty Guo,"提升全民防災意識, 減少傷亡機會, 統一規格有助於直覺反射的識別認知"
No.13,2018-02-11 21:23:26,基隆市,七堵區,偉,提升民眾安全，及防災意識。
No.14,2018-02-11 21:24:27,臺中市,大肚區,嚇嚇嘉,
No.15,2018-02-11 21:24:33,宜蘭縣,羅東鎮,陳清心,人民有知的權利。
No.16,2018-02-11 21:25:48,屏東縣,潮州鎮,米柚,
No.17,2018-02-11 21:27:05,雲林縣,西螺鎮,Peggy,
No.18,2018-02-11 21:27:06,臺中市,霧峰區,世育,支持提供地震推播的警訊，能夠有效顧及非手機用戶的防災告警訊息傳遞
No.19,2018-02-11 21:28:21,臺南市,麻豆區,Virtue Lu,事先預防，勝於事後 補救
No.20,2018-02-11 21:33:06,新北市,板橋區,翁,同意
No.21,2018-02-11 21:33:33,新北市,三峽區,柚子,
No.22,2018-02-11 21:34:49,臺東縣,臺東市,LIN,
No.23,2018-02-11 21:35:38,臺中市,西屯區,方,
No.24,2018-02-11 21:36:06,臺中市,大里區,林靜,強制全電視頻道加入「地震速報」訊息即時蓋台播送功能
No.25,2018-02-11 21:38:01,臺南市,北區,"Kodomo ","提高民眾即時接收地震資訊的密度及寬廣度。
提高民眾平時對於地震的警覺心及災防知識。"
No.26,2018-02-11 21:40:30,臺北市,萬華區,沛沛,
No.27,2018-02-11 21:45:44,高雄市,梓官區,Jeremiah,雖然現在已有地震速報系統，但受限於收訊、網路連接、手機型號……等因素，使得效果有限。若電視則干擾因子較少，雙管齊下，效益加倍。謝謝！
No.28,2018-02-11 21:50:52,臺北市,北投區,Hsiao,
No.29,2018-02-11 21:52:36,花蓮縣,吉安鄉,雲淡風輕,政府應公開相關資訊，保障人民安全。

