"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-04 10:01:05,彰化縣,田尾鄉,ryan,
No.2,2017-10-04 11:30:27,臺北市,士林區,蓉媽,讓食物發揮救人功能，不是廚餘功能。
No.3,2017-10-04 11:47:50,新北市,新莊區,sifone,
No.4,2017-10-04 13:01:59,南投縣,竹山鎮,Yoyo,支持
No.5,2017-10-04 13:52:25,高雄市,小港區,林詩芸,
No.6,2017-10-04 16:22:17,新北市,金山區,落晰,
No.7,2017-10-04 17:11:35,澎湖縣,馬公市,monica,
No.8,2017-10-04 18:24:32,新北市,永和區,Albus,食物本來就不該浪費。
No.9,2017-10-04 19:00:31,新竹縣,新豐鄉,雅君,
No.10,2017-10-04 19:22:11,新竹縣,湖口鄉,肥歐納,
No.11,2017-10-04 22:04:14,臺北市,大安區,三寶爹,朱门酒肉臭 路有冻死骨
No.12,2017-10-05 01:56:19,臺中市,西屯區,詹姆士,各里里長辦公室及各政黨黨部設置共享冰箱或冷凍庫
No.13,2017-10-05 12:36:59,臺北市,士林區,twirlydestiny,
No.14,2017-10-05 15:38:05,臺北市,萬華區,AIR,可行性高
No.15,2017-10-05 22:32:47,臺中市,北屯區,jy,
No.16,2017-10-05 23:17:45,新竹市,香山區,Chihsia,
No.17,2017-10-06 13:07:41,雲林縣,莿桐鄉,晴儿,"有些地方有做這件事
不僅是為了沒錢吃飯的人
也是為了一些家裡沒有人沒飯吃的孩子
反正都要丟了 給需要的人不是更好嗎
（學校也可以放冰箱  學校有很多剩菜飯）"
No.18,2017-10-06 15:06:11,高雄市,三民區,Liang,
No.19,2017-10-07 11:04:53,彰化縣,福興鄉,宸睿,
No.20,2017-10-08 20:26:55,新北市,板橋區,Grace Lei,
No.21,2017-10-08 20:37:25,新北市,蘆洲區,IS,
No.22,2017-10-08 21:55:38,臺中市,大雅區,ctw,
No.23,2017-10-08 23:00:56,新北市,汐止區,Phyllis,
No.24,2017-10-09 12:38:49,新北市,汐止區,"Brendan ",
No.25,2017-10-09 12:54:52,彰化縣,員林鎮,瑀,
No.26,2017-10-10 13:11:11,新北市,板橋區,fiyon,
No.27,2017-10-11 08:37:25,臺北市,內湖區,jane,👍
No.28,2017-10-11 11:15:19,新北市,新莊區,Ivanes,
No.29,2017-10-11 15:09:09,新北市,三重區,Vivien C.,
No.30,2017-10-11 22:07:33,臺中市,北屯區,回憶依舊美好,
No.31,2017-10-12 08:47:23,屏東縣,恆春鎮,忠,
No.32,2017-10-14 05:35:22,新北市,新莊區,想起來,
No.33,2017-10-15 12:39:20,臺中市,南屯區,Cynthia.C,
No.34,2017-10-15 13:47:44,臺中市,北屯區,Siang,贊成
No.35,2017-10-17 19:01:56,新北市,淡水區,MTL,
No.36,2017-10-18 14:07:50,新北市,淡水區,凝,
No.37,2017-10-19 18:18:43,高雄市,前金區,Po ren,
No.38,2017-10-20 01:39:14,高雄市,鳳山區,潮ㄐ,
No.39,2017-10-20 12:57:16,臺中市,北屯區,aaron99035,
No.40,2017-10-21 07:54:09,新北市,三重區,playgamenow,
No.41,2017-10-22 15:40:10,臺北市,信義區,"Shiba  ",
No.42,2017-10-22 22:50:02,臺東縣,臺東市,Louis,支持
No.43,2017-10-23 11:10:32,新北市,中和區,大衛何,
No.44,2017-10-23 18:03:52,新北市,樹林區,許小美,
No.45,2017-10-24 13:41:09,新北市,板橋區,Larry,辦活動很多外匯餐點常常沒吃完都剩一大堆，應該設立一個回收機制，定點提供給需要的人
No.46,2017-10-24 18:43:43,高雄市,鳳山區,小步,
No.47,2017-10-24 21:51:54,屏東縣,萬巒鄉,魯國國相,
No.48,2017-10-25 23:24:46,新北市,永和區,霜兒,
No.49,2017-10-26 10:40:32,臺北市,內湖區,超級贊成,
No.50,2017-10-26 12:39:05,新北市,新店區,鱸貘,
No.51,2017-10-27 04:19:48,新北市,林口區,Peiyuli,
No.52,2017-10-28 14:25:55,新北市,三重區,Vagabond,
No.53,2017-10-28 18:32:02,臺東縣,達仁鄉,koko,
No.54,2017-10-29 00:03:41,新北市,新莊區,Vicky,增設食物回收據點，才會有人願意做
No.55,2017-11-03 22:50:20,臺中市,南屯區,CH,
No.56,2017-11-03 23:11:48,新北市,汐止區,阿搞,
No.57,2017-11-04 14:14:54,臺中市,大里區,Zero,
No.58,2017-11-05 09:32:55,高雄市,三民區,Lim,
