"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-20 13:11:01,新北市,板橋區,廖妤,這樣違規的時候才可以抓到人
No.2,2017-04-20 17:15:19,臺北市,文山區,Li,"常常突然衝出一個騎著電動車三寶衝出來真的會嚇死人
應修法並加強取締"
No.3,2017-04-20 17:47:16,屏東縣,屏東市,Mark,
No.4,2017-04-21 09:07:27,臺中市,東勢區,Mork,
No.5,2017-04-21 09:27:22,桃園市,桃園區,璋哥,
No.6,2017-04-21 19:08:25,花蓮縣,吉安鄉,支持,只要是騎乘電動機械腳踏車都應該經過國家測驗合格並掛牌上路。而發生交通意外的時候不會因為區分是騎何種交通工具而有異。只要是騎上道路都應該有合法的駕照，現在的電動摩托車都是高中以下學生鑽漏洞取得的方式
No.7,2017-04-22 16:27:35,新竹市,東區,J,電動機車相關規範實在太少了!
No.8,2017-04-23 17:06:22,臺中市,北屯區,erika,
No.9,2017-04-23 18:04:24,高雄市,大樹區,koki,
No.10,2017-04-23 18:45:30,高雄市,左營區,Second-Tone,
No.11,2017-04-23 19:28:11,高雄市,苓雅區,Chengyen Lin,
No.12,2017-04-23 20:32:43,彰化縣,員林鎮,瓜瓜,
No.13,2017-04-24 00:45:55,臺北市,內湖區,不豆,"一堆老人騎電動摩托車, 不遵守交通規則, 亂騎"
No.14,2017-04-24 15:41:07,新北市,蘆洲區,冰紅茶,有太多騎乘電動載具的民眾不遵守交通規則，應訂定更嚴謹的法規來做約束。
No.15,2017-04-24 18:38:51,臺北市,中正區,CMC,
No.16,2017-04-25 11:54:20,桃園市,桃園區,PAN,建議製毒或販毒唯一死刑
No.17,2017-04-25 14:34:51,高雄市,杉林區,軒仔,
No.18,2017-04-25 16:05:18,臺北市,北投區,HZS,
No.19,2017-04-25 16:17:38,高雄市,三民區,Kent,
No.20,2017-04-26 03:26:27,臺南市,東區,Sekia,
No.21,2017-04-26 10:55:35,新北市,樹林區,馬路三寶,
No.22,2017-04-26 16:50:51,臺中市,南屯區,附議王,電動摩托車也應該掛牌，並類推適用現行之交通法規
No.23,2017-04-27 09:40:54,臺南市,永康區,Jaim,
No.24,2017-04-27 21:36:09,新北市,中和區,蘇小琪,
No.25,2017-04-28 01:03:02,高雄市,左營區,猛,
No.26,2017-04-28 15:04:26,臺中市,沙鹿區,MLLee,
No.27,2017-04-29 00:39:51,新北市,永和區,小i,
No.28,2017-04-30 22:47:50,新竹縣,新豐鄉,Mr.S,上路就要掛牌
No.29,2017-04-30 23:34:42,桃園市,桃園區,林志學,"目前法規的慢車當中有兩類此種""準電動機車""，一是電動自行車，另一是電動輔助自行車，此兩類電動機車相當容易變造。免保險，免駕照，免戴帽，免掛牌，被當作是""零義務的機車""在使用。放任其成長勢必嚴重影響交通。"
No.30,2017-05-01 01:55:43,彰化縣,大村鄉,橘子,
No.31,2017-05-01 04:42:27,新北市,新莊區,秀,
No.32,2017-05-01 22:24:22,苗栗縣,苗栗市,P,
No.33,2017-05-02 10:12:27,臺南市,北區,FoxWu,
No.34,2017-05-04 12:52:41,新北市,板橋區,ggssgsgs,
No.35,2017-05-05 02:21:42,新北市,樹林區,Zivlo,目前路上看到太多電動機車均不遵守交通規則！政府未善盡監督責任！
No.36,2017-05-05 22:52:56,花蓮縣,花蓮市,Chiao Feng,
No.37,2017-05-06 15:29:32,臺北市,大安區,康至青,
No.38,2017-05-07 04:31:49,臺北市,中正區,Jerry,掛牌可以減少造事逃逸或是避免電動摩托成為犯罪工具
No.39,2017-05-07 08:44:04,高雄市,左營區,Garcia,"當然要掛牌阿,一堆鑽法律漏洞的人"
No.40,2017-05-10 06:57:48,新北市,新莊區,如,
No.41,2017-05-11 00:33:55,花蓮縣,新城鄉,..,
No.42,2017-05-13 12:53:59,臺中市,北屯區,龍貓,
No.43,2017-05-14 02:31:47,臺中市,北屯區,任,
No.44,2017-05-17 14:03:54,新北市,板橋區,jerryhsu,
No.45,2017-05-19 01:47:00,臺中市,大里區,Lily,
