"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-21 00:32:45,臺東縣,臺東市,Meiwu,
No.2,2017-10-21 00:37:44,臺北市,文山區,wenweich,
No.3,2017-10-21 09:28:59,臺北市,萬華區,DK,
No.4,2017-10-21 11:24:13,桃園市,中壢區,阿民,
No.5,2017-10-21 12:42:36,新北市,三重區,VV,
No.6,2017-10-21 13:58:09,高雄市,小港區,玄恩,
No.7,2017-10-21 16:00:25,臺中市,西屯區,阿彰,
No.8,2017-10-22 00:54:22,彰化縣,彰化市,騰,
No.9,2017-10-22 01:32:54,臺北市,大安區,安安隊長,
No.10,2017-10-22 07:26:06,新竹縣,竹北市,sheauren,
No.11,2017-10-22 08:19:39,南投縣,南投市,Kiki,
No.12,2017-10-22 08:19:46,臺北市,松山區,"neco711 ",
No.13,2017-10-22 08:51:02,桃園市,桃園區,老大,
No.14,2017-10-22 08:53:56,新北市,中和區,Jeff,
No.15,2017-10-22 09:00:30,臺中市,后里區,Eleanor,
No.16,2017-10-22 11:40:41,新北市,永和區,ucc,
No.17,2017-10-22 11:41:14,臺北市,松山區,小欣,此提案讓提案討論面向更廣，可節省社會資源，更有效率。
No.18,2017-10-22 11:49:12,彰化縣,大村鄉,秋天話語,
No.19,2017-10-22 13:14:41,新北市,三峽區,PJS,認同
No.20,2017-10-22 13:27:16,臺中市,北屯區,艾瑪,"贊成。
既然是多元平台，反方意見也需納入才是真正的公共議題"
No.21,2017-10-22 13:40:11,桃園市,新屋區,阿星,
No.22,2017-10-22 13:40:23,臺北市,萬華區,陳哲元,
No.23,2017-10-22 14:44:35,新北市,中和區,Ian River,5000個附議就要處理，也太浪費政府資源了，不如多增加反對選項，改成附議的要比反對的多出5000票再說。
No.24,2017-10-22 14:54:41,雲林縣,莿桐鄉,滅世~曉,
No.25,2017-10-22 16:26:02,苗栗縣,頭份市,林呈臻,
No.26,2017-10-22 17:21:42,新竹縣,竹東鎮,黑熊,
No.27,2017-10-22 17:32:01,新北市,新店區,Betty,
No.28,2017-10-22 17:34:54,桃園市,蘆竹區,尼尔,支持！
No.29,2017-10-22 18:05:49,桃園市,桃園區,Jacky,附議
No.30,2017-10-22 18:11:18,新北市,新店區,小熊貓,
No.31,2017-10-22 18:17:37,基隆市,暖暖區,同意,
No.32,2017-10-22 18:23:07,宜蘭縣,蘇澳鎮,Terry,
No.33,2017-10-22 18:32:47,臺中市,豐原區,小蓬,
No.34,2017-10-22 20:00:17,臺中市,大里區,傑胖,
No.35,2017-10-22 20:23:24,桃園市,蘆竹區,Jo,
No.36,2017-10-22 20:47:10,新北市,中和區,吳小美,
No.37,2017-10-22 21:04:30,臺中市,北屯區,亞墨士,警告酒駕
No.38,2017-10-22 21:10:35,新北市,淡水區,jones,
No.39,2017-10-22 21:37:24,新北市,新店區,迪莫客,促進多元溝通 減少行政機關負擔 進一步提高效率
No.40,2017-10-22 22:45:19,臺北市,中正區,張樂樂,
No.41,2017-10-22 22:55:15,桃園市,八德區,奶胖,
No.42,2017-10-22 23:04:19,新北市,五股區,路易貓,
No.43,2017-10-22 23:19:39,臺中市,北區,老皮,
No.44,2017-10-22 23:20:37,新北市,樹林區,Shiny,
No.45,2017-10-23 00:04:32,臺北市,士林區,+0,
No.46,2017-10-23 00:37:16,彰化縣,田中鎮,媛,
No.47,2017-10-23 00:37:20,彰化縣,伸港鄉,男人,
No.48,2017-10-23 01:44:13,臺東縣,臺東市,clman6318,
No.49,2017-10-23 04:49:03,彰化縣,員林鎮,hall,補充原提案之支持者比反對者要多5000才成立
No.50,2017-10-23 08:08:29,高雄市,大樹區,稚茗,
No.51,2017-10-23 08:24:37,桃園市,龍潭區,sean,支持
No.52,2017-10-23 08:28:29,基隆市,七堵區,jinbar,正反都要考慮
No.53,2017-10-23 08:31:44,臺中市,西屯區,Hank Lin,支持反對都要存在才可以達到真正的意見
No.54,2017-10-23 08:32:41,臺北市,南港區,plok,
No.55,2017-10-23 08:35:02,臺北市,內湖區,lcw,
No.56,2017-10-23 08:39:39,新北市,中和區,Rookie,
No.57,2017-10-23 09:32:51,臺中市,大里區,JacKaL,"應將反對意見納入
其實5000人門檻...很低"
No.58,2017-10-23 09:43:55,桃園市,蘆竹區,如大旱之望雲霓,
No.59,2017-10-23 09:54:24,桃園市,中壢區,davidliu,
No.60,2017-10-23 10:02:49,新北市,泰山區,christ,"既然是公共政策的網路參與，當然就會有贊同與反對

如果只有贊同（附議）

那是不是就會變成
1. 只能說好，然後強迫政府機關回覆
2. 如果要反對，就要反向提出一個新的政策討論，浪費時間與資源"
No.61,2017-10-23 10:16:11,臺中市,南屯區,其人,防止不合法不合理的提案產生!!
No.62,2017-10-23 11:54:10,臺中市,南屯區,Joe Ngan,
No.63,2017-10-23 11:58:11,新北市,板橋區,梟,
No.64,2017-10-23 11:59:07,高雄市,左營區,福利射阿姨,
No.65,2017-10-23 12:08:41,臺中市,西屯區,aa260132,
No.66,2017-10-23 12:45:39,新北市,新店區,胖達,
No.67,2017-10-23 14:43:23,臺南市,中西區,林傻成,
No.68,2017-10-23 17:57:44,屏東縣,萬巒鄉,魯國國相,
No.69,2017-10-23 18:16:06,基隆市,七堵區,阿樺,
No.70,2017-10-23 18:18:44,臺北市,南港區,Bigegg,
No.71,2017-10-23 20:33:41,臺北市,內湖區,木弓木,"只有單方面的意見陳訴是偽民主,
贊成有反對意見的表達方式!"
No.72,2017-10-23 20:36:21,桃園市,中壢區,Eric,
No.73,2017-10-23 20:57:09,基隆市,信義區,唉沒力,政府的行政資源不應該浪費在回應無厘頭或過於意識型態的問題上
No.74,2017-10-23 20:58:20,臺北市,內湖區,Chantal,
No.75,2017-10-23 21:05:12,基隆市,信義區,LittlePrince,
No.76,2017-10-23 22:10:21,基隆市,仁愛區,爆蛋,
No.77,2017-10-23 23:03:38,桃園市,桃園區,陽,
No.78,2017-10-23 23:17:40,桃園市,大園區,帽子旅人,
No.79,2017-10-23 23:53:12,臺北市,大安區,サクラカグラ,
No.80,2017-10-24 11:53:16,新北市,新莊區,jack,
No.81,2017-10-24 12:16:25,新北市,土城區,Sullivan,
No.82,2017-10-24 13:48:37,新北市,三重區,阿輝,
No.83,2017-10-24 13:48:56,臺北市,士林區,Lisa,
No.84,2017-10-24 13:54:32,臺北市,文山區,+,的確有更多元的表達，更能促進這個用意良好的平臺更具效益。贊成！
No.85,2017-10-24 16:15:04,臺北市,內湖區,tenzin,"就像媒體需要平衡報導，政策的提案也應該平衡一下，5000個人贊同的事情，可能有500000人不贊同，這樣的狀況下，是否還要花時間去研究這樣意見的可行性? 
我認同增加「反對」或「不支持」選項，如果附議大於反對，再進入下一階段「機關回應」，免得浪費國家資源。"
No.86,2017-10-24 16:25:02,彰化縣,二水鄉,鄉民,
No.87,2017-10-24 16:27:26,臺中市,西區,喵,既然能夠附議應該也要能夠反對，這樣才合理。
No.88,2017-10-24 16:27:44,臺中市,西區,Shiuan,
No.89,2017-10-24 16:28:55,南投縣,南投市,Irene,
No.90,2017-10-24 16:29:32,臺中市,沙鹿區,葛蕾絲,
No.91,2017-10-24 16:31:13,彰化縣,花壇鄉,小雨,
No.92,2017-10-24 17:10:56,臺北市,大安區,乃千,
No.93,2017-10-24 17:13:48,臺中市,東區,小丸,
No.94,2017-10-24 17:18:51,臺南市,安南區,葉郁菁,
No.95,2017-10-24 20:15:26,新北市,林口區,yitc,
No.96,2017-10-24 20:20:27,臺北市,士林區,實質正義,
No.97,2017-10-24 21:38:29,臺北市,南港區,穎,
No.98,2017-10-24 23:37:36,新北市,新莊區,阿凡達,
No.99,2017-10-24 23:43:34,臺北市,大同區,小樹,
No.100,2017-10-24 23:55:22,臺中市,南區,Yellow duck,
No.101,2017-10-25 00:19:25,新北市,三重區,月夜塵,
No.102,2017-10-25 00:29:28,臺北市,中山區,克魯斯特,
No.103,2017-10-25 01:16:22,臺北市,松山區,鍊,
No.104,2017-10-25 10:51:05,臺中市,霧峰區,"Monty ",
No.105,2017-10-25 10:51:06,臺中市,西屯區,木蘭,
