"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-23 20:09:20,新竹縣,新豐鄉,林文魁,
No.2,2018-03-23 21:48:30,高雄市,左營區,Lo,
No.3,2018-03-24 12:08:27,彰化縣,芬園鄉,張小敏,毒品害人害己，贊成修法，且要加重
No.4,2018-03-24 17:15:39,彰化縣,彰化市,核統,
No.5,2018-03-25 14:40:52,臺中市,北區,台中金城武樹,
No.6,2018-03-25 17:19:55,高雄市,仁武區,X,
No.7,2018-03-25 18:49:00,新竹縣,新豐鄉,阿奇,支持
No.8,2018-03-26 11:14:44,高雄市,楠梓區,zephoenixro,
No.9,2018-03-27 13:29:45,新竹縣,竹北市,Mei,毒品不只是危害個人而已，毒品危害整個家庭社會的安全和諧，一定必須嚴懲，尤其是販售的那方，應比照其他國家對於毒品的重視！
No.10,2018-03-28 22:06:37,臺北市,士林區,mandy,

