"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-30 17:47:33,臺北市,信義區,angelsky777,
No.2,2017-12-31 21:50:44,雲林縣,斗南鎮,斯斯,聽起來真的很可怕 但我很確定台灣一定有發生
No.3,2018-01-02 09:04:08,新北市,汐止區,小花王,
No.4,2018-01-02 11:07:58,新北市,新莊區,阿鴻,
No.5,2018-01-02 11:39:54,臺中市,北屯區,aaron99035,
No.6,2018-01-02 16:07:27,臺中市,大里區,花,
No.7,2018-01-02 23:49:37,花蓮縣,秀林鄉,Chengen,很多老闆真的都會拿監視器來威嚇員工，如超商， 根本侵害勞工權益
No.8,2018-01-03 10:45:30,新北市,新店區,曹赫羽,隱私也是人權的一種，必須被尊重且保障！
No.9,2018-01-03 15:15:48,桃園市,八德區,ELLSON WEN,
No.10,2018-01-04 16:23:10,新北市,淡水區,蔡胖胖,
No.11,2018-01-05 23:59:10,臺北市,萬華區,endou,"我們公司也是裝監視器監視員工一舉一動,讓人感覺非常不舒服,既然你可以監視員工,那員工也可以監視老闆,老闆你敢嗎?"
No.12,2018-01-07 00:27:59,彰化縣,二林鎮,Husker,
No.13,2018-01-07 14:35:38,臺北市,內湖區,may,支持！老闆把員工當個人資產監視著，員工不是賊，是替你賣命賺錢的人！
No.14,2018-01-08 14:49:31,新北市,新店區,opi,
No.15,2018-01-12 20:11:33,桃園市,八德區,YC_Chiang,
No.16,2018-01-13 22:45:37,桃園市,八德區,星星,"雇主與勞工共同打拚需要信任，監視器可拍攝金庫、私人物品櫃或門口出入，不要每個地方都有裝設監視器
勞工不是犯人！"
No.17,2018-01-22 14:26:19,高雄市,湖內區,娘娘,

