"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-12 10:19:58,新北市,樹林區,沒有買賣 沒有殺害,
No.2,2017-04-12 11:04:50,高雄市,鼓山區,鯊魚哥,認同重稅然後再限期禁止買賣
No.3,2017-04-12 23:45:45,屏東縣,屏東市,Mark,
No.4,2017-04-15 12:15:04,臺北市,大安區,康至青,
No.5,2017-04-18 15:46:59,臺南市,南區,Atzep,
No.6,2017-04-24 12:37:29,臺北市,內湖區,崔,
No.7,2017-04-25 10:37:57,新竹縣,竹東鎮,Nonno,
No.8,2017-04-25 16:19:19,高雄市,三民區,Kent,
No.9,2017-05-10 09:19:49,雲林縣,莿桐鄉,May,
No.10,2017-05-20 09:25:29,新竹縣,竹北市,Thomas,盡可能阻止破壞環境
No.11,2017-05-24 21:52:00,桃園市,大園區,阿凱,
No.12,2017-06-01 13:27:57,新北市,土城區,Una,
No.13,2017-06-06 09:50:55,臺中市,烏日區,琳琳,
