"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-16 16:12:05,高雄市,苓雅區,han,
No.2,2018-05-16 16:36:14,高雄市,前鎮區,洛納,
No.3,2018-05-16 17:31:43,高雄市,左營區,蔡蔡,
No.4,2018-05-16 17:46:29,高雄市,新興區,Sandy,同意
No.5,2018-05-16 18:01:52,高雄市,旗津區,宗賓,
No.6,2018-05-16 18:13:40,高雄市,左營區,家w,一人一連署救高雄
No.7,2018-05-16 18:29:46,高雄市,左營區,Ashley,
No.8,2018-05-16 19:12:41,高雄市,鳳山區,will,"支持,早就該往高雄車站了."
No.9,2018-05-16 20:19:09,高雄市,三民區,kscx,
No.10,2018-05-16 21:37:24,臺中市,西屯區,小高,
No.11,2018-05-16 21:57:14,高雄市,鼓山區,侯耀荏,高雄身為南部首府，絕對有興建兩座高鐵站的必要，雙北地區有板橋、台北及南港三站，且有台鐵及捷運並存，運量卻是逐年上升，而高雄地區現階段所設置之左營站運量也在逐年提升當中，考量到未來隨著都市發展交通運量將提升，設置高雄站相信將可有效分攤捷運及台鐵運量，且更加方便從外縣市來到高雄的旅客，可直接到達高雄市中心。
No.12,2018-05-16 22:07:08,高雄市,三民區,阿瑋,
No.13,2018-05-16 22:48:19,高雄市,大寮區,Ken,
No.14,2018-05-17 00:10:54,臺北市,內湖區,愷,
No.15,2018-05-17 00:15:43,高雄市,左營區,小草,非常支持
No.16,2018-05-17 00:38:11,高雄市,前鎮區,candysky3344,
No.17,2018-05-17 01:51:38,高雄市,鹽埕區,肥肥龍,
No.18,2018-05-17 02:38:24,高雄市,林園區,Wen,
No.19,2018-05-17 03:01:30,高雄市,苓雅區,Howdy,
No.20,2018-05-17 07:53:22,高雄市,三民區,夢心,此政策應被推行，高鐵若能延伸至高雄車站，未來高雄車站也能有三鐵共構，將能有更多的便利性。尤其高雄車站比左營高鐵站更鄰近市區。
No.21,2018-05-17 10:29:42,高雄市,鼓山區,Chris,"台北轉運站融合三鐵
高雄人口與腹地廣大
當屏東連結整個南台灣交通更是便利"
No.22,2018-05-17 13:51:15,高雄市,三民區,Mario,當初高雄車站預留高鐵軌道空間，就是設計用來擴充，如今政府未能多次實現諾言，也導致舊高雄市區（尤其是南部）居民轉乘上之不便與時間耗費，也造成時機錯過等狀況，故應儘速改善並與高鐵協商允諾動工，打造更完善的交通網路，臺北能，高雄也能。
No.23,2018-05-17 13:53:44,高雄市,苓雅區,Chen,當初高雄車站預留高鐵軌道空間，就是設計用來擴充，如今政府未能多次實現諾言，也導致舊高雄市區（尤其是南部）居民轉乘上之不便與時間耗費，也造成時機錯過等狀況，故應儘速改善並與高鐵協商允諾動工，打造更完善的交通網路，臺北能，高雄也能。
No.24,2018-05-17 13:57:11,高雄市,新興區,Duck,當初高雄車站預留高鐵軌道空間，就是設計用來擴充，如今政府未能多次實現諾言，也導致舊高雄市區（尤其是南部）居民轉乘上之不便與時間耗費，也造成時機錯過等狀況，故應儘速改善並與高鐵協商允諾動工，打造更完善的交通網路，臺北能，高雄也能。
No.25,2018-05-17 18:25:15,高雄市,三民區,城,
No.26,2018-05-17 20:27:18,高雄市,苓雅區,Dawa,
No.27,2018-05-17 22:50:29,高雄市,鹽埕區,Xukzion,贊同
No.28,2018-05-17 23:58:17,高雄市,鼓山區,yolin,
No.29,2018-05-18 04:29:44,嘉義縣,民雄鄉,c61554,
No.30,2018-05-18 05:50:55,高雄市,鳳山區,鳳凰院凶真,
No.31,2018-05-18 10:14:40,高雄市,左營區,崩潰博覽會,
No.32,2018-05-18 10:25:38,新北市,板橋區,banban,

