"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-03 09:08:36,臺中市,沙鹿區,懶惰蟲,
No.2,2017-08-03 09:43:04,新北市,汐止區,Swan,可能真的只有法官自己的親人也是被酒駕的害死才會正視這些
No.3,2017-08-03 10:30:56,臺南市,下營區,為何要原諒,
No.4,2017-08-03 10:47:45,桃園市,八德區,Sam,
No.5,2017-08-03 11:57:43,新北市,三重區,LEO,
No.6,2017-08-03 12:52:15,臺中市,北屯區,eric wang,
No.7,2017-08-03 13:21:53,屏東縣,東港鎮,QQ,
No.8,2017-08-03 13:23:50,臺北市,文山區,小小兵,本來酒駕上路就是造成其他用路人的生命、身體受到傷害的威脅，是其有明知並有亦使其發生之故意，支持加重刑度。
No.9,2017-08-03 13:25:07,新竹市,北區,wu,
No.10,2017-08-03 14:05:37,高雄市,楠梓區,阿政,
No.11,2017-08-03 21:07:46,新北市,板橋區,Karin,知道自己酒駕還執意開車，明顯蓄意謀殺。
No.12,2017-08-03 22:00:57,臺中市,北屯區,嵐,
No.13,2017-08-04 00:05:44,臺北市,大安區,心情,
No.14,2017-08-04 10:12:34,新北市,三重區,Alan,
No.15,2017-08-04 10:41:00,臺北市,大安區,沐,
No.16,2017-08-04 14:50:58,新北市,永和區,月,我覺得酒駕是可以避免的，你既然要開就代表你視路上生命如草菅，那和殺人犯有什麼不同？
No.17,2017-08-04 15:03:13,新北市,汐止區,楊,明知故犯。  唯一死刑
No.18,2017-08-04 16:06:06,宜蘭縣,頭城鎮,JH,
No.19,2017-08-04 16:15:30,臺南市,東區,浩敏,
No.20,2017-08-04 16:27:10,彰化縣,田中鎮,安,
No.21,2017-08-04 17:44:14,臺北市,內湖區,小小,
No.22,2017-08-04 21:24:56,新北市,土城區,栗,
No.23,2017-08-04 22:17:15,臺南市,新化區,賢,
No.24,2017-08-05 01:28:50,臺中市,北區,seven,
No.25,2017-08-05 07:44:21,臺北市,北投區,阿海,
No.26,2017-08-05 10:00:38,高雄市,鳳山區,Peter,酒後是否要開車完全是自己可以決定的，酒後駕車就等於殺人魔是拿著電鋸在街上亂揮舞，這樣的行為絕對無法被容忍以及原諒
No.27,2017-08-05 11:34:50,桃園市,大溪區,Carlo,酒駕肇責過輕！交通事故很多起都是跟酒精有關
No.28,2017-08-05 11:43:38,臺中市,北屯區,JJ,
No.29,2017-08-05 15:42:12,花蓮縣,吉安鄉,阿志,
No.30,2017-08-05 17:06:49,桃園市,桃園區,H,
No.31,2017-08-05 17:21:33,新北市,永和區,Michael,合情合理
No.32,2017-08-05 18:20:25,臺北市,大安區,康至青,
No.33,2017-08-05 18:46:49,臺北市,大同區,Yaku,
No.34,2017-08-05 19:17:42,彰化縣,彰化市,NiAc,
No.35,2017-08-05 22:29:07,新北市,瑞芳區,Karen,
No.36,2017-08-06 01:39:07,高雄市,苓雅區,WT,
No.37,2017-08-06 01:51:53,臺中市,北屯區,FAITH,
No.38,2017-08-06 11:00:31,高雄市,前鎮區,豬寶寶,"酒駕是自己可控制之事
酒駕致死跟畜意殺人有何二樣?"
No.39,2017-08-06 12:11:55,嘉義市,東區,"Jessica ",
No.40,2017-08-06 16:35:56,臺南市,南區,花媽,
No.41,2017-08-06 18:19:33,苗栗縣,頭份鎮,greatfaye,
No.42,2017-08-07 07:53:29,彰化縣,彰化市,Line,
No.43,2017-08-07 08:08:24,新北市,樹林區,鮪魚,酒駕肇事致死根本蓄意謀殺！
No.44,2017-08-07 09:46:41,宜蘭縣,頭城鎮,錢錢子,
No.45,2017-08-07 12:12:31,臺中市,霧峰區,這個可以,
No.46,2017-08-07 12:28:44,臺北市,中山區,坦克阿秋,
No.47,2017-08-07 15:57:44,嘉義縣,民雄鄉,R,
No.48,2017-08-07 22:13:04,南投縣,埔里鎮,奉先,
No.49,2017-08-08 12:08:28,新北市,永和區,saka,
No.50,2017-08-08 20:58:46,新竹縣,竹北市,庭,
No.51,2017-08-08 21:40:04,臺南市,中西區,純樸小鎮大螃蟹,
No.52,2017-08-08 23:33:25,新北市,三重區,QQ,
No.53,2017-08-09 01:24:04,臺中市,北屯區,威爾森,
No.54,2017-08-09 11:55:45,桃園市,中壢區,joel,
No.55,2017-08-09 14:32:13,高雄市,新興區,min,
No.56,2017-08-09 16:01:00,高雄市,新興區,阿昇,
No.57,2017-08-09 16:09:48,臺中市,清水區,信,酒駕可謂是比ISIS還可怕的恐怖組織，上千萬的人不顧自己安危去危害別人生命。
No.58,2017-08-09 17:10:50,新北市,林口區,ㄐㄒ,
No.59,2017-08-09 17:38:33,新竹市,東區,新竹梁朝偉,支持啊
No.60,2017-08-09 18:05:10,新北市,永和區,小豆苗,喝酒會影響頭腦的判斷和身體的反應，明知道喝酒會有如此反應，卻依然開車在路上走，宛如不定時炸彈，且已構成無差別殺人，因為一但被撞上將無法評估傷害的程度，而且連被害者是誰都不能確定，在路上的任何一個人都是目標，雖然不是出自本意，但是造成的傷害卻和殺人沒有二樣，且現行法律根本無法制止酒駕，亂世需用重典，強力支持酒駕致死者判處死刑。
No.61,2017-08-09 18:52:34,高雄市,鳳山區,墨子,酒駕肇事的事情到現在已經造成許多家庭破碎不該再讓酒駕致死的犯人有僥幸的機會
No.62,2017-08-09 19:34:30,臺北市,大同區,寶爸爸,應把酒駕視為故意殺人
No.63,2017-08-09 20:44:47,新北市,新莊區,民意最大,犯法的人通通都應該抓去槍斃，台灣的治安才會變好啊
No.64,2017-08-09 20:56:56,臺中市,龍井區,Ada,
No.65,2017-08-09 21:31:06,桃園市,桃園區,金先生,
No.66,2017-08-10 07:45:43,新北市,三峽區,Tina,支持！
No.67,2017-08-10 09:03:27,高雄市,小港區,"Juju ","酒駕都罰太輕 ，看看國外的刑責
輕的一罰就幾10年起跳
台灣撞死人還不到10年刑責
這個就是犯罪天堂啊！"
No.68,2017-08-10 09:43:39,花蓮縣,花蓮市,殺人該死,
No.69,2017-08-10 11:44:45,新北市,汐止區,神仙俞,
No.70,2017-08-10 12:29:41,宜蘭縣,五結鄉,Terry,
No.71,2017-08-10 12:33:12,臺中市,東區,志樺,
No.72,2017-08-10 12:35:29,新北市,樹林區,Eric,
No.73,2017-08-10 14:55:59,高雄市,前鎮區,iyu,
No.74,2017-08-10 15:15:26,臺中市,中區,Homura Akemi,
No.75,2017-08-10 16:43:49,臺中市,南區,tama,"我認為重罰才有可能嚇阻層出不窮的酒駕事件
單純的用罰金來處罰，並無能讓酒駕者本身記取酒駕事故的嚴重性及影響範圍"
No.76,2017-08-10 22:32:00,花蓮縣,吉安鄉,EL,重罰也可以嚇阻假酒駕真故意殺人的情形。
No.77,2017-08-10 22:51:35,屏東縣,潮州鎮,小丞,
No.78,2017-08-10 23:20:45,臺北市,大同區,台客龍,
No.79,2017-08-11 09:27:40,臺中市,沙鹿區,Edwin H.,
No.80,2017-08-11 15:02:56,新北市,三重區,josher,
No.81,2017-08-11 17:13:27,新竹市,東區,David,
No.82,2017-08-11 20:45:09,臺中市,西屯區,臺中阿冰,還有濫用藥物(毒品)那些也應該直接判死
No.83,2017-08-12 10:22:41,臺中市,潭子區,YoYo,
No.84,2017-08-12 10:26:16,臺中市,南屯區,afwyou,
No.85,2017-08-12 10:39:33,新北市,中和區,peter,
No.86,2017-08-12 19:41:41,臺北市,大同區,A,
