"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-24 00:08:37,臺中市,南區,安寶,"我兒子目前7個月大
出生時就檢測出 左耳聽力障礙
當父母的我們聽到這種消息 根本無法接受
為了他有個保障的未來 
我支持這向活動💪🏼💪🏼💪🏼"
No.2,2017-11-24 00:13:56,新北市,泰山區,chi,"單損者常面對因為單耳造成嚴重暈眩、不平衡感、無法分辨聲音來自前後左右哪個方向，剩單耳可使用，也常造成單耳負擔過重，對生活、對人際關係皆有諸多不便利，但卻常常被忽略！
反觀其他殘障認定，手指有其中2-3指殘缺即可判定！實在讓人難以認可！
望可重新審定標準！將單耳聽損納入評斷範圍內！"
No.3,2017-11-24 00:18:31,臺北市,萬華區,Hank lu,"整合網友的意見，
想法一致。

單側聽損真的很難受，
偏偏一般人又無法理解。

如果對聽損者就業歧視，恐違反就業服務法第五條，可處三十萬元到一百五十萬元罰鍰。
規定是這樣，但一般企業主，
誰會傻傻承認因為是單側聽損不錄用，
當然是另外推拖，
個性或是其他方面不適任!!! 

政府說將單聲櫃族視為身心障礙者，反而是一種「歧視」。
我完全的不認同，針對公司不錄用(面試)單聲者，
我們有辦法舉證嗎？
為了生活努力再找下一個願意接受自己的公司
，賺錢回診養家庭，誰有時間去舉一個不可能的證，
被認定身心怎能說是歧視，與其如此說法，
不就是指有身心障礙的人都是被政府所歧視的嗎？"
No.4,2017-11-24 00:20:44,臺中市,北屯區,流漂子,我是一位後天單側聽損媽媽。在只有一隻耳朵的狀態下 耳鳴 暈眩 身心上的煎熬是無法用言語形容的。焦慮憂鬱 很難想像如果這種事發生在孩子身上……好的只是怕吵聽不是很好。差的語言障礙 這樣還沒有資源能用…更沒有手冊能幫助。既然考試要聽力正常 那我們稍微不正常或少一邊的卻不能跟正常人一樣…又沒有手冊 這豈不是一種歧視?
No.5,2017-11-24 00:21:21,新北市,五股區,Jim,
No.6,2017-11-24 00:26:45,臺中市,北區,薇薇,單耳聽障真的有許多困難，需要更多的資源協助，我們的孩子們才能更好!
No.7,2017-11-24 00:33:04,高雄市,新興區,mini,我兒子一出生就判定左耳聽障，可是目前單側聽損是不能領補助，一個助聽器價錢要3萬以上，對很多的家庭來說也是一個負擔，何況是一生都要配戴的工具，所以我非常支持這個提議。
No.8,2017-11-24 00:35:49,新竹市,東區,文雅,我本身是單側聽損，在人群中如果有人在我聽不到那側會緊張，怕他跟我說話，我不知道。對工作也有限制，帶耳機的客服工作無法長時間做。就如提案者所言，真的很多地方不便。懇請修法讓我們納入身障者的保障，至少有身障者的工作保障。
No.9,2017-11-24 00:37:29,彰化縣,二林鎮,Jedi,現行身心障礙者鑑定辦法中，對於聽覺機能障礙的判定雖然同時考量雙耳聽閾，但是計算雙耳整體障礙比率時，對於優耳加權過大（比重佔5/6），導致實際上優耳平均聽閾優於52分貝者，其劣耳平均聽閾即使劣於120分貝也無法取得身心障礙資格，不但未考量個案的實際功能表現，更無法反應聽覺障礙者實際在生活中蒙受的障礙，也違背世界衛生組織（WHO）國際健康功能與身心障礙分類系統（ICF）的精神，應儘速修正。
No.10,2017-11-24 00:42:36,新北市,板橋區,支持者,
No.11,2017-11-24 00:43:45,新北市,中和區,vivi cai,我認為單耳聽損也是需要被重視的，希能真正去正視這方面問題。
No.12,2017-11-24 00:46:19,高雄市,三民區,Fenny,
No.13,2017-11-24 00:53:03,桃園市,桃園區,xchoco,本人也屬於單側聽損的困擾者，希望藉次能得到更完善的資源。
No.14,2017-11-24 00:53:51,臺中市,大雅區,Stacy,
No.15,2017-11-24 00:54:10,苗栗縣,苗栗市,Ruru,
No.16,2017-11-24 01:05:15,新北市,樹林區,Jie,
No.17,2017-11-24 01:06:36,高雄市,鼓山區,蕙卉,"請正視單耳聽損的每個人，因為這個問題確實真正的造成我們的生活不便。

我的個人狀況是，在與人說話時，常常聽不清楚，造成困擾。
或是在較多雜音的環境場所，無法正確辨認方向。
請大家幫忙。一同正式這個問題！謝謝！"
No.18,2017-11-24 01:15:24,新竹市,北區,牛奶,
No.19,2017-11-24 01:20:23,臺北市,信義區,Shirley,非常同意及支持此提議
No.20,2017-11-24 01:23:42,臺北市,士林區,阿國,單側聽障對於生活會有極大的影響，生活中許多情況下會造成。國家社會的發展和建設也會受到影響。
No.21,2017-11-24 01:28:40,高雄市,三民區,Cara,
No.22,2017-11-24 01:37:58,基隆市,信義區,富,
No.23,2017-11-24 02:00:26,澎湖縣,馬公市,慢飛媽,
No.24,2017-11-24 02:18:31,臺北市,士林區,Brian,支持，我們是單側聽損
No.25,2017-11-24 02:30:23,新北市,新莊區,Vivian,單耳聽損也是社會上的弱勢族群，請政府多多照顧我們，不要忽略我們的存在。
No.26,2017-11-24 02:30:50,臺北市,北投區,小楊,
No.27,2017-11-24 02:49:13,桃園市,桃園區,邱豆德,單耳在說話方面總是會忽然大聲忽然小聲，因為對話時候總是只會聽到自己聲音，有時候在交談中只能跟朋友說勞煩站在我右邊，我左邊聽不見。
No.28,2017-11-24 03:00:02,新北市,土城區,伊草,自己的媽媽也是聽障，覺得這個非常重要。
No.29,2017-11-24 03:00:12,桃園市,八德區,Wonder,
No.30,2017-11-24 03:24:40,新竹市,北區,Shani,患者之一，希望能通過
No.31,2017-11-24 04:12:02,新北市,土城區,Amber,
No.32,2017-11-24 04:55:07,新北市,板橋區,陳嘉惠,
No.33,2017-11-24 05:34:48,新北市,樹林區,汪阿狗,
No.34,2017-11-24 05:53:09,臺中市,豐原區,alen,支持
No.35,2017-11-24 05:58:40,臺中市,太平區,Gina,
No.36,2017-11-24 06:09:40,新北市,新店區,大慶,
No.37,2017-11-24 06:20:54,臺南市,永康區,蕾恩,
No.38,2017-11-24 06:25:38,新北市,板橋區,國王,
No.39,2017-11-24 06:35:47,臺南市,安南區,聰明的雅雅,
No.40,2017-11-24 06:52:01,新北市,板橋區,孫小廷,
No.41,2017-11-24 06:54:08,臺中市,北屯區,郝晴天,請關心單側聽損
No.42,2017-11-24 06:57:51,苗栗縣,頭份市,SAM,
No.43,2017-11-24 07:02:45,花蓮縣,新城鄉,阿典,
No.44,2017-11-24 07:07:00,苗栗縣,頭份市,Ting,
No.45,2017-11-24 07:09:27,高雄市,仁武區,YoYo,
No.46,2017-11-24 07:09:34,新北市,汐止區,林媽咪,
No.47,2017-11-24 07:10:22,基隆市,安樂區,荳芮媽,
No.48,2017-11-24 07:10:56,臺南市,北區,倫倫,希望能通過
No.49,2017-11-24 07:17:29,臺南市,鹽水區,Zacks,"單耳重聽對生活真的很不方便，常常因為別人叫了聽不懂
無法分辨方向，人家還會認為是***因為反應慢半拍
聽力只剩別人一半
滿可憐的"
No.50,2017-11-24 07:19:16,臺北市,內湖區,Kids ching chen,
No.51,2017-11-24 07:24:46,新北市,新莊區,CL,支持該提案
No.52,2017-11-24 07:26:36,桃園市,八德區,翔翔,
No.53,2017-11-24 07:35:56,臺中市,北屯區,wen chi chen,"對於單側聽損有著很深的感觸，本人太太也是受害者之一，在長年的折磨裡，感到絕望和自卑，即使尚有一耳的聽力，但在日常生活中，常會因為有其他聲音干擾下，就會聽不清楚，後天的突發性耳聾，伴隨著耳鳴充斥兩耳，睡不好，聽不見，人際關係不良等等……都是。
四處求醫已經是家常便飯，也未能得到有效的治療，加上助聽器昂貴，也無管道尋求幫助，看過許多有此情況的朋友都是一樣的無奈，希望能夠在此活動下，有實質上的幫助，在個人觀感上，雙耳聽力障礙和單側聽損，兩者都是生活的很辛苦很艱難，不應該分彼此。"
No.54,2017-11-24 07:39:15,基隆市,安樂區,Lily wang,
No.55,2017-11-24 07:39:23,新北市,三重區,Chary,單側聽損身心障礙資格標準需要降低或是調整，他們生活中也是有很多的不方便，希望政府能好好重視。
No.56,2017-11-24 07:41:46,新北市,中和區,阿樹,請保障我們單耳失聰的應有權力
No.57,2017-11-24 07:47:59,基隆市,安樂區,廟口大豬公,請政府注重他們的權益
No.58,2017-11-24 07:57:41,新北市,三重區,Elva,放寬單側聽損身心障礙資格！
No.59,2017-11-24 07:57:43,臺南市,新化區,Vicky Hsieh,
No.60,2017-11-24 07:59:03,基隆市,中正區,Kotler48,
No.61,2017-11-24 07:59:41,新北市,新莊區,白小姐,
No.62,2017-11-24 08:01:33,新北市,板橋區,Fiona Kuo,
No.63,2017-11-24 08:05:19,新北市,泰山區,Kim,附議這個提案，單側聽損雖不像雙側聽損是損失兩隻耳朵的聽力，但其實他們也可能因單側聽損的關係而影響到其自我認同，人際關係，學業，甚至工作，因此需給予相關之服務
No.64,2017-11-24 08:08:26,臺南市,中西區,Yin,
No.65,2017-11-24 08:09:01,桃園市,新屋區,八百,
No.66,2017-11-24 08:09:07,高雄市,鼓山區,王小貴,
No.67,2017-11-24 08:09:24,桃園市,蘆竹區,阿嶸,請再審查單側聽損身心障礙資格，謝謝。
No.68,2017-11-24 08:11:51,新北市,永和區,吳小米,
No.69,2017-11-24 08:12:00,高雄市,三民區,阿和,本人有切身之痛
No.70,2017-11-24 08:15:24,臺南市,北區,miffy1234,
No.71,2017-11-24 08:17:04,屏東縣,屏東市,Tigerson,身為單耳聽損者感同身受
No.72,2017-11-24 08:18:44,臺北市,文山區,Siren,
No.73,2017-11-24 08:19:35,新北市,中和區,"EllyChen ",單側停損就跟單眼失明一樣，都多有不變，希望爭取國家重視，多給單側停損幫助與補助！能同等公平擁有殘障手冊共享社會福利！
No.74,2017-11-24 08:22:17,苗栗縣,竹南鎮,Tina,
No.75,2017-11-24 08:24:25,基隆市,安樂區,sunjei,
No.76,2017-11-24 08:24:47,新竹市,東區,Kay,
No.77,2017-11-24 08:26:19,臺北市,士林區,安安你好,
No.78,2017-11-24 08:27:10,新北市,板橋區,CH Chen,
No.79,2017-11-24 08:29:21,桃園市,桃園區,邱麗蓉,
No.80,2017-11-24 08:31:35,臺南市,新化區,林林,"單眼是殘障
單手是殘障
單腳是殘障
為何單耳不是殘障？"
No.81,2017-11-24 08:32:59,臺北市,大安區,Rainbow,
No.82,2017-11-24 08:32:59,桃園市,桃園區,Judy Ho,
No.83,2017-11-24 08:33:22,臺北市,中山區,白蘭地,
No.84,2017-11-24 08:35:21,桃園市,蘆竹區,呆,"相關單位說將單聲櫃族視為身心障礙者，反而是一種「歧視」。我...完全不認同，針對公司不錄用(面試)單聲者，我們有辦法(時間)舉證嗎？為了生活,努力再找下一個願意接受自己的公司，賺錢回診養家，誰有時間去舉一個不可能的證，況且被認定身心怎能說是歧視，與其如此說法，不就是指有身心障礙的人都是被政府所歧視的嗎？"
No.85,2017-11-24 08:35:34,臺北市,內湖區,Apple,
No.86,2017-11-24 08:38:46,新北市,板橋區,詹姆士,
No.87,2017-11-24 08:40:00,新竹市,東區,小雯子,我要附議~單側聽損身心障礙資格
No.88,2017-11-24 08:41:39,臺北市,松山區,Peter,
No.89,2017-11-24 08:42:59,臺北市,大安區,"RuRu ",
No.90,2017-11-24 08:43:03,高雄市,三民區,豆腐,
No.91,2017-11-24 08:44:19,臺北市,中山區,jim,我覺得提議很好。本來就會造成生活上的不便，應該要納入。
No.92,2017-11-24 08:45:41,臺北市,松山區,sacima.tw@gmail.com,
No.93,2017-11-24 08:46:53,高雄市,鳳山區,寶寶愛讀書,"少隻眼睛是殘障，少隻手腳是殘障，為什麼少了邊聽力卻不是？難道我們得學梵古割下耳朵去送政府？？
單側聽損的不便和兒童學習，成人就業所受的岐視，以及交通危險(無法方便喇叭車潮的聲音來源)，平衡不良常摔倒.....諸多困擾，豈是一般人有辦法理解？之前林佳龍當議員時還承諾要協助單側聽損的患友，支持提議，結果呢？！連屁都沒有！"
No.94,2017-11-24 08:47:17,桃園市,平鎮區,昇業,本身有家人是聽損　因此支持這個提案
No.95,2017-11-24 08:48:56,臺南市,佳里區,蓁,
No.96,2017-11-24 08:49:17,新北市,土城區,apple,
No.97,2017-11-24 08:49:54,嘉義縣,鹿草鄉,竹竹,我支持，因為單邊側耳聽損者有時候就像真的需要對方大聲呼叫，才能聽到。所以聽不到的程度，需要有殘障保障
No.98,2017-11-24 08:51:05,新竹縣,竹北市,Brenda,
No.99,2017-11-24 08:53:03,新竹市,東區,Wei,
No.100,2017-11-24 08:54:30,臺北市,文山區,KH,
No.101,2017-11-24 08:55:19,臺北市,南港區,連,請關心需被關心的人
No.102,2017-11-24 08:56:04,新北市,板橋區,Ben,
No.103,2017-11-24 08:56:59,花蓮縣,花蓮市,Selena67,
No.104,2017-11-24 08:58:00,新北市,板橋區,浩子,
No.105,2017-11-24 08:58:20,桃園市,桃園區,Andy,
No.106,2017-11-24 08:58:53,臺北市,北投區,小倫,
No.107,2017-11-24 08:59:17,新北市,中和區,iyu,
No.108,2017-11-24 08:59:20,基隆市,七堵區,Suzuki,
No.109,2017-11-24 08:59:33,新竹市,香山區,Mark,我支持，殘障並不能已外觀判定
No.110,2017-11-24 09:03:29,新竹縣,湖口鄉,阿永,
No.111,2017-11-24 09:03:35,彰化縣,員林鎮,YR Chen,自己為單側聽損，因上課需求配戴助聽器，但常常聽不清楚老師上課內容，再加上單側聽損的障礙界定不清楚，容易造成課堂上的困擾。同學也會覺得只有單側聽損，那應該還有另一側優耳可以聽呀，但實際上單側聽損在分辨聲音來源會有困難，或許能夠透過身心障礙的認定，讓更多人理解單側聽損。
No.112,2017-11-24 09:03:57,新北市,汐止區,SUNAN,
No.113,2017-11-24 09:05:45,臺中市,大雅區,niko,支持
No.114,2017-11-24 09:07:29,新北市,中和區,Howard,
No.115,2017-11-24 09:08:00,花蓮縣,吉安鄉,小恬,
No.116,2017-11-24 09:08:21,新北市,汐止區,Steven,單側聽障確實比起正常人在生活上有許多不便，應給予更多社會資源
No.117,2017-11-24 09:08:27,宜蘭縣,宜蘭市,單耳女人,希望有唇語訓練課..在宜蘭地區
No.118,2017-11-24 09:09:42,屏東縣,長治鄉,"SHINICE ",單耳失聰在很多工作職場唸書是備受爭議的有違公平
No.119,2017-11-24 09:09:44,臺北市,北投區,Jory,"我們也不想領身障手冊，被介定為[身障]，但事實上有很多單側聽損的朋友在生活上需要很多，例:會耳鳴頭痛需長期就醫;需要戴輔具助聽器,費用昂貴;早療以及學習輔助.....等，如果有政府輔助，單側聽損的家庭是否能更完善幫助聽損兒呢？"
No.120,2017-11-24 09:10:45,桃園市,桃園區,kingsley,支持單耳聽障保有應有權利
No.121,2017-11-24 09:10:53,彰化縣,彰化市,俊達,希望多年來沒被重視的一塊，可以被重視。
No.122,2017-11-24 09:12:43,高雄市,鳥松區,yuchi,
No.123,2017-11-24 09:12:44,新北市,三重區,Irene,
No.124,2017-11-24 09:12:45,臺北市,萬華區,唉呀呀,
No.125,2017-11-24 09:14:22,臺北市,內湖區,洪小芬,
No.126,2017-11-24 09:15:13,桃園市,平鎮區,阿猛,希望單側聽損也能納入身心障礙資格
No.127,2017-11-24 09:15:25,臺北市,信義區,包子,
No.128,2017-11-24 09:15:35,金門縣,金寧鄉,小華,
No.129,2017-11-24 09:18:19,臺北市,信義區,克莉絲小天使,
No.130,2017-11-24 09:19:18,新竹縣,竹東鎮,emma,"我的兒子是單側聽損
希望能有更多的社會資源"
No.131,2017-11-24 09:20:45,臺中市,東區,薏宣,
No.132,2017-11-24 09:20:49,彰化縣,彰化市,JOY,
No.133,2017-11-24 09:21:46,新北市,新莊區,魏小恩,
No.134,2017-11-24 09:21:47,桃園市,蘆竹區,阿宏,
No.135,2017-11-24 09:22:00,臺北市,內湖區,May Liu,
No.136,2017-11-24 09:22:09,基隆市,信義區,ping,我讚成
No.137,2017-11-24 09:22:21,新北市,汐止區,jeff,
No.138,2017-11-24 09:22:23,新竹縣,竹北市,YAMO,
No.139,2017-11-24 09:22:45,桃園市,桃園區,Eva,加油
No.140,2017-11-24 09:23:58,金門縣,金城鎮,miffy,
No.141,2017-11-24 09:24:26,臺中市,北屯區,Wen,
No.142,2017-11-24 09:24:54,新北市,汐止區,布萊恩,
No.143,2017-11-24 09:24:55,新北市,三峽區,花嬤,
No.144,2017-11-24 09:25:02,新北市,三重區,書豪,單側聽力受損的人，生活上及種種的不便不是我們常人能夠體會的，希望能藉由這個議題讓那些生活不便的人得到更多幫助
No.145,2017-11-24 09:27:27,臺北市,中正區,Debra Lin,自己身邊有單側聽損的朋友，能深切了解他們有時生活碰到的不方便，所以希望政府能透過政策為他們做些什麼，本人附議支持。
No.146,2017-11-24 09:27:47,新北市,汐止區,Brian,
No.147,2017-11-24 09:28:57,新北市,中和區,Sasha,
No.148,2017-11-24 09:28:57,新北市,三重區,Chris,
No.149,2017-11-24 09:28:58,新北市,樹林區,小白,
No.150,2017-11-24 09:29:01,桃園市,龜山區,"Christine ",
