"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-06 05:40:31,新北市,板橋區,Black,"1. 中國語不是臺灣人的母語，應刪除中文語音
2. 中國政府對臺極度不友善，中國共產黨隨時都能砍除大量中國遊客人數，討好中國人對臺灣沒有好處，臺灣應全力發展吸引日本與韓國遊客來臺遊玩
3. 多數臺灣人都看的懂漢字
4. 承上所述，建議將台灣西部大眾運輸的語音改為「臺語、客語、英語、日語、韓語」
5. 為保留並發展原住民文化，建議將東部地區與各地部落之地名發音由當地原住民語言為主，改為「邦查語（Pangcah）、排灣語（Pinayuanan）、英語、日語、韓語」"
No.2,2017-04-07 21:36:43,桃園市,大園區,LIAO,
No.3,2017-04-08 17:38:02,新北市,新莊區,YUEH,"支持！
推廣觀光刻不容緩"
No.4,2017-04-08 22:31:15,臺北市,南港區,Daniel,
No.5,2017-04-09 10:32:49,臺南市,永康區,HYH,
No.6,2017-04-09 11:40:45,嘉義市,東區,Leo Chen,
No.7,2017-04-09 19:23:49,新北市,淡水區,WHW,建議也廢除閩語、客語，聽不懂國語之人已屬少數，沒必要取悅少數人群。
No.8,2017-04-15 12:34:12,臺北市,大安區,康至青,
No.9,2017-04-17 19:45:39,高雄市,苓雅區,林晉丞,建議客語、台語仍應留著，再加上日語顯示
No.10,2017-04-28 03:03:13,臺北市,文山區,zt,
No.11,2017-05-13 13:23:11,臺中市,北屯區,龍貓,
No.12,2017-05-20 18:38:28,彰化縣,北斗鎮,Shane,
