"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-15 00:38:20,雲林縣,口湖鄉,聖賊,雲林的一堆人最愛亂丟 尤其是開車時
No.2,2017-11-15 10:34:42,臺中市,烏日區,琳琳,本來就不應該亂丟垃圾。
No.3,2017-11-15 10:35:39,新竹市,香山區,兒兒兒,
No.4,2017-11-15 13:05:29,新竹市,東區,eric,環境是全民的。共同創造好的環境是我們
No.5,2017-11-15 13:33:09,新北市,永和區,D.C.,
No.6,2017-11-15 20:33:09,彰化縣,員林鎮,SammyHsu,
No.7,2017-11-15 23:30:05,臺南市,安平區,隆A,
No.8,2017-11-15 23:58:13,新北市,中和區,Mandy,保護居住環境乾淨是全民的責任
No.9,2017-11-16 00:42:41,臺南市,安平區,Lydia li,我覺得臺灣最珍貴在於豐富多元的生態環境，我們在這塊瑰土上衍生出屬於臺灣人獨特風格的文化民情，如此美好的地方需要大家一起愛惜並力行保護，復育不及破壞快，要到甚至無法復原時再來後悔互相怪罪嗎？若連我們臺灣人自己都不重視，持續破壞，最終撇除購物商圈及人情後我們還剩什麼?口號常喊要走向國際，但更重要的是該如何繼續走下去，不是嗎?別再以為隨手丟垃圾或吐痰口水的行為無所謂，壞習慣如同癌細胞，後續處理你必須付出更大代價!
No.10,2017-11-16 04:17:31,高雄市,鼓山區,美野,
No.11,2017-11-16 11:40:50,桃園市,龍潭區,Yueh,
No.12,2017-11-16 12:24:39,新竹縣,北埔鄉,Jinn,
No.13,2017-11-16 15:11:10,臺中市,大甲區,落雨聲,
No.14,2017-11-16 17:42:57,基隆市,中山區,Anny Hsu,很多學生亂丟垃圾，由學校應再多教育也是方法之一.
No.15,2017-11-16 21:22:01,高雄市,大寮區,Lynn,
No.16,2017-11-16 22:49:27,新北市,板橋區,Fish,
No.17,2017-11-17 01:02:11,臺中市,北區,羽希,"讓台灣環境變更好！
覺得罰金高，就克制自己不要亂丟垃圾！"
No.18,2017-11-17 15:37:27,臺中市,梧棲區,童,
No.19,2017-11-17 20:23:06,新北市,三重區,gigiyo,
No.20,2017-11-17 21:33:39,臺中市,南屯區,阿威,非常支持、台灣的環境是靠大家一起維護、沒道德觀念的人必須要有警惕的逞罰來加以規範
No.21,2017-11-18 00:10:00,新竹縣,新豐鄉,阿博,
No.22,2017-11-18 20:57:22,臺北市,中山區,謝秉宸,任何人都沒有權利破壞寶島台灣的環境
No.23,2017-11-18 22:34:59,新竹縣,竹東鎮,Wu,
No.24,2017-11-19 00:09:45,桃園市,平鎮區,kerhan,
No.25,2017-11-19 00:23:48,桃園市,平鎮區,Tang,
No.26,2017-11-19 00:24:11,桃園市,平鎮區,Anny,
