"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-04 17:23:01,新北市,淡水區,蔡胖胖,
No.2,2018-01-04 19:59:28,宜蘭縣,員山鄉,Pany,
No.3,2018-01-04 22:21:47,臺中市,南屯區,kelivin,支持!
No.4,2018-01-05 19:01:33,新北市,三重區,迷你馬兒,
No.5,2018-01-07 17:24:36,雲林縣,崙背鄉,瓜,
No.6,2018-01-07 20:48:22,新北市,新莊區,MINYU,
No.7,2018-01-08 17:15:33,桃園市,桃園區,阿智,
No.8,2018-01-09 01:50:51,新北市,中和區,casey,
No.9,2018-01-09 14:13:56,臺北市,萬華區,摸,
No.10,2018-01-09 14:17:31,臺北市,萬華區,大Jimmy,
No.11,2018-01-15 15:57:15,臺南市,安南區,"Ruby Q ",支持
No.12,2018-01-18 10:35:47,臺中市,東區,Edgar,不能安全降臨到爸媽懷中的寶貝 儀式可以撫慰人心 也能讓爸媽好好跟寶寶說再見 幫助悲痛的爸媽繼續人生

