"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-14 11:36:32,桃園市,八德區,Allen,支持教官守護校園，是校園安全的守護神
No.2,2017-11-14 11:50:19,臺中市,大里區,Zero,
No.3,2017-11-14 13:07:02,新北市,新店區,瑤,
No.4,2017-11-14 14:33:16,臺中市,大甲區,落雨聲,
No.5,2017-11-14 15:45:23,雲林縣,斗南鎮,我4773,
No.6,2017-11-14 16:04:57,桃園市,桃園區,小潘,
No.7,2017-11-14 16:06:43,桃園市,平鎮區,翔雲,
No.8,2017-11-14 17:05:26,雲林縣,莿桐鄉,阿杜,
No.9,2017-11-14 17:39:49,苗栗縣,苗栗市,台灣小米奇,支持教官入校園
No.10,2017-11-14 18:31:21,臺中市,豐原區,謝杰翰,
No.11,2017-11-14 18:36:38,臺南市,永康區,宣,
No.12,2017-11-14 18:42:58,新北市,新莊區,老牛,
No.13,2017-11-14 18:45:09,苗栗縣,卓蘭鎮,Kuan,
No.14,2017-11-14 19:24:31,高雄市,大寮區,汝汝,教官還在校園現在的高中生就已經這麼多事情可以惹了，要是退場了肯定翹課的蹺課抽菸的抽菸打架的打架，那還要不要上課了？
No.15,2017-11-14 20:10:47,臺中市,豐原區,huei jyun,教官可協助平定校園糾紛及其他事件
No.16,2017-11-14 20:38:15,臺中市,豐原區,林謙,"我覺得教官人其實都很好，而且學校有住宿生，老師都很早就離開學校了，除了警衛之外，教官也能保護學生的安全。
我有一次差點回不了家（教室已鎖，但悠遊卡跟手機都忘記拿），就是教官借我他的悠遊卡的。"
No.17,2017-11-14 20:47:31,高雄市,三民區,hope,
No.18,2017-11-14 21:05:43,臺中市,豐原區,孟謙,不管是晚自習或是住宿生都必需仰賴教官以達到安全上的保障，加上若有些人之後想要往軍人，軍校發展，教官將也會是最佳的諮詢對象!
No.19,2017-11-14 21:07:47,高雄市,旗山區,Vanco,
No.20,2017-11-14 21:18:21,桃園市,平鎮區,抹茶,
No.21,2017-11-14 21:18:42,臺中市,南屯區,嗯,
No.22,2017-11-14 21:39:49,新北市,新莊區,凹凹凹,
No.23,2017-11-14 22:15:26,臺中市,豐原區,TT,
No.24,2017-11-14 22:40:48,臺中市,清水區,Hsin,
No.25,2017-11-14 22:51:16,苗栗縣,後龍鎮,,"教官的存在是為了校園安全、規範。
警衛只是ㄧ份工作，教官是ㄧ份教育，他是屬於國家的。"
No.26,2017-11-14 23:47:01,花蓮縣,花蓮市,Jia,
No.27,2017-11-14 23:51:48,新北市,深坑區,Tina,
No.28,2017-11-15 00:05:56,桃園市,平鎮區,戴裏克,支持教官進入校園!!!反對教官退場!!!
No.29,2017-11-15 01:14:36,高雄市,左營區,KLOOF,
No.30,2017-11-15 01:24:05,臺中市,北屯區,W.Y.L.,
No.31,2017-11-15 06:10:35,新北市,新店區,誠,沒有教官，我覺得學校很不安全
No.32,2017-11-15 06:40:06,高雄市,仁武區,Puff,
No.33,2017-11-15 06:50:56,臺中市,后里區,芳,完全支持!
No.34,2017-11-15 07:04:33,高雄市,小港區,P.L,
No.35,2017-11-15 07:18:49,臺中市,大雅區,佩雞,有教官的校園才安全
No.36,2017-11-15 07:25:13,臺中市,大甲區,朱,
No.37,2017-11-15 07:28:34,臺中市,西屯區,果銘,沒教官校園不安全！
No.38,2017-11-15 07:29:01,臺中市,太平區,Verna,無教官則無校園秩序之管理。教官在現代社會已不是政黨所利用工具。若因政黨因素影響。認為不可行
No.39,2017-11-15 07:45:59,臺中市,神岡區,美女,Support
No.40,2017-11-15 09:03:58,臺中市,大雅區,Ys,
No.41,2017-11-15 10:20:01,臺中市,豐原區,aszx10912,
No.42,2017-11-15 11:48:35,桃園市,龜山區,嵐,
No.43,2017-11-15 12:31:22,臺南市,善化區,法蘭克,
No.44,2017-11-15 13:36:57,新北市,板橋區,Ernest,
No.45,2017-11-15 15:12:32,臺北市,文山區,55,校安與學生管理秩序問題
No.46,2017-11-15 16:55:32,高雄市,左營區,YR,如果沒有教官很多事情是一般老師主任是處理不來的，警衛也一樣
No.47,2017-11-15 17:04:59,新北市,新莊區,蝸牛,
No.48,2017-11-15 17:50:22,臺中市,豐原區,任,
No.49,2017-11-15 17:58:02,宜蘭縣,頭城鎮,Catlee,
No.50,2017-11-15 18:33:55,苗栗縣,竹南鎮,卍乂爻煞氣a凱爻乂卍,教官退出校園會造成諸多不便，且造成學生無人管理無法無天（我是學生）
No.51,2017-11-15 19:12:33,新北市,蘆洲區,May,
No.52,2017-11-15 20:19:28,高雄市,新興區,虫虫,
No.53,2017-11-15 20:23:25,金門縣,金寧鄉,Swallow Lin,
No.54,2017-11-15 20:38:18,彰化縣,員林鎮,SammyHsu,
No.55,2017-11-15 20:58:59,臺東縣,臺東市,vvxxaa69,同意。
No.56,2017-11-15 21:55:59,高雄市,小港區,郭郭,
No.57,2017-11-15 22:29:24,臺中市,后里區,暖冬,在高中 大家都不怕老師了。。。很需要教官阿啊啊
No.58,2017-11-15 23:03:53,屏東縣,屏東市,怡,
No.59,2017-11-15 23:45:59,臺中市,潭子區,庭,學校不能沒有教官 教官每天處理各種大大小小的事 現在的學生都不怕老師 沒有教官校園安全以及友善校園的政策不知如何落實 而且教官人都很好 冬天冒著低溫 站在校門維護學生的安全 看你穿的比較少還會問你會不會冷需不需要外套
No.60,2017-11-16 01:03:38,新北市,中和區,Momo,
No.61,2017-11-16 07:49:06,高雄市,鹽埕區,Yin,校園安全
No.62,2017-11-16 09:48:21,高雄市,楠梓區,Nye,
No.63,2017-11-16 10:37:16,高雄市,鼓山區,Lucky,校園霸凌事件層出不窮，孩子的安全需要教官把關，謝謝
No.64,2017-11-16 12:53:10,臺中市,豐原區,祐,"認為教官在校可以保護到學生安全
同時可以管理不好的學生 也能制止霸凌這件事情"
No.65,2017-11-16 14:04:58,臺中市,大雅區,Pn,有教官感覺很安心
No.66,2017-11-16 17:11:28,桃園市,桃園區,Danny,
No.67,2017-11-16 18:09:16,桃園市,桃園區,鴻,
No.68,2017-11-16 18:54:11,臺中市,北區,sandy903604,
No.69,2017-11-16 19:48:44,新竹市,東區,月月,
No.70,2017-11-16 20:46:53,臺北市,中山區,"Hchi77 ",
No.71,2017-11-16 22:21:57,臺中市,潭子區,阿賓,非常贊成，教官比訓導主任好用多了
No.72,2017-11-17 10:31:28,澎湖縣,馬公市,林朋,
No.73,2017-11-17 12:12:04,新北市,土城區,Bess Lee,
No.74,2017-11-17 12:36:37,臺南市,安平區,"jason ",
No.75,2017-11-17 18:18:01,臺北市,信義區,bruce,
No.76,2017-11-17 20:15:04,高雄市,鼓山區,sunshine000021,
No.77,2017-11-17 21:53:27,臺南市,安平區,Lydia li,
No.78,2017-11-17 22:26:41,新北市,三重區,迷你馬兒,
No.79,2017-11-17 22:36:08,新北市,淡水區,Ruka,
No.80,2017-11-18 09:41:13,高雄市,鳳山區,yuli,
No.81,2017-11-18 14:39:09,臺北市,南港區,yst,
No.82,2017-11-18 17:50:58,臺中市,南屯區,蛋黃酥,
No.83,2017-11-18 20:09:37,臺北市,大安區,Solo,
No.84,2017-11-18 22:11:24,臺中市,南區,sun,
No.85,2017-11-19 00:03:33,臺南市,麻豆區,wenqi,
No.86,2017-11-19 15:47:11,臺北市,中正區,艾利歐,同意
No.87,2017-11-19 17:01:05,臺中市,沙鹿區,幻瞳0w＜,
No.88,2017-11-20 15:34:58,桃園市,八德區,Jason,
No.89,2017-11-22 08:54:14,新北市,新店區,柒爺,多一個保護沒不好
