"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-18 00:05:50,新北市,淡水區,mazda,
No.2,2017-10-18 09:59:23,澎湖縣,西嶼鄉,阿偉,"科目也應該照等級分流, 像這篇網頁提到的, 芬蘭就把科目分等級, 讓學生自己選擇哪一科要修到甚麼程度.
http://www.chinatimes.com/newspapers/20130701000384-260109

""教育制度模範生芬蘭則是延後和提前分流的綜合體，本來學德國，後來發現太早不好，現在是既分且合；一位中學生可以根據自己的專長、興趣和程度選修，學科、術科並重。例如英文初級、數學高級，外加汽修、電工"""
No.3,2017-10-18 21:44:00,臺北市,士林區,王強森,
No.4,2017-10-18 22:00:09,臺中市,豐原區,Temasek,
No.5,2017-10-19 00:51:24,高雄市,三民區,Ching,
No.6,2017-10-19 06:20:04,臺南市,安平區,Itsumi,
No.7,2017-10-19 15:09:33,新北市,板橋區,NITERRO,
No.8,2017-10-19 15:22:52,新北市,蘆洲區,Yong Yun,
No.9,2017-10-19 18:01:49,臺中市,大雅區,Winnie,
No.10,2017-10-19 18:31:39,高雄市,鳳山區,Mina,
No.11,2017-10-19 18:39:43,新北市,中和區,Xian,
No.12,2017-10-19 21:22:10,臺中市,大雅區,Alan,
No.13,2017-10-19 21:53:19,新北市,淡水區,蕭來福,讓不同性向的小孩及早接受適合的教育型態，有助於發揮各自的潛能，創造社會集體之效益。
No.14,2017-10-19 22:04:36,臺中市,豐原區,呵呵,
No.15,2017-10-19 22:10:28,臺南市,中西區,ㄍㄨㄣ,可以讓學生提早體驗各職業工作內容 不必浪費人生 教育是拿來學習不是浪費
No.16,2017-10-19 22:29:59,高雄市,苓雅區,阿菁,
No.17,2017-10-19 22:30:20,新北市,永和區,LYC,
No.18,2017-10-19 22:38:32,南投縣,南投市,鴻,
No.19,2017-10-19 23:15:37,宜蘭縣,冬山鄉,Linziyou0601,
No.20,2017-10-19 23:27:33,桃園市,大園區,亮董,
No.21,2017-10-19 23:38:13,臺中市,西區,wan,
No.22,2017-10-20 00:33:11,臺中市,霧峰區,P,
No.23,2017-10-20 01:14:08,高雄市,鳳山區,潮ㄐ,希望通過 且為了未來自己的孩子著想 台灣教育因要改革
No.24,2017-10-20 01:20:54,高雄市,岡山區,FOMT,現今高職高中化的問題必須被解決，孩子們需要的是專業技能，而不是強迫學生在每個領域都學一點，最後一事無成。
No.25,2017-10-20 01:51:03,新北市,新莊區,凌玥,
No.26,2017-10-20 05:36:28,高雄市,三民區,綠茵,
No.27,2017-10-20 11:35:21,嘉義市,東區,Dewa,
No.28,2017-10-20 12:20:22,雲林縣,北港鎮,Kahlen,
No.29,2017-10-20 15:15:08,新北市,永和區,胖子,
No.30,2017-10-20 15:49:17,臺中市,大甲區,蕊蕊,
No.31,2017-10-20 20:24:12,基隆市,暖暖區,湛,
No.32,2017-10-20 21:07:20,新北市,板橋區,goodyes,
No.33,2017-10-20 21:40:00,新北市,蘆洲區,joy,
No.34,2017-10-20 21:48:15,雲林縣,麥寮鄉,chiao,
No.35,2017-10-20 21:49:23,高雄市,三民區,AssassinTWN,"讓孩子提早知道未來志向
而非讀全部科目卻不專精任何一科"
No.36,2017-10-20 22:12:33,臺北市,內湖區,CE HSIA,
No.37,2017-10-20 22:20:21,高雄市,岡山區,阿賢,贊成
No.38,2017-10-20 23:38:12,基隆市,七堵區,good,
No.39,2017-10-21 14:01:28,高雄市,小港區,玄恩,
No.40,2017-10-22 00:05:18,新北市,三重區,星沙,
No.41,2017-10-22 01:39:23,新竹縣,竹東鎮,冷媒,
No.42,2017-10-22 02:15:46,新竹市,東區,葉羽,每天早上去學校都只有考試上課考試上課考試上課，知道為什麼臺灣的學生翹課比例會這麼高嗎？就是不想上課啊，有人喜歡動手實作有人喜歡讀書，而你們政府是都認為讀書是最重要的，其實實作才是最重要的，學歷什麼的只是一張紙，你有那張紙不代表你什麼都會做，在國外連小學生都可以做出改變世界的東西，而我們呢？整天考試上課有什麼用，淨是學些出社會也用不到的東西，你買東西要用到√是嗎？等你算完店員應該會送你一拳，理化老師叫你把化學式元素表等等的東西全背下來，以后用的到嗎？用不到吧，你又不是要考理組或去什麼相關單位上班的，這種封閉式的教育對於我們是非常痛苦的，說真的如果我有小孩我絕對不會讓他留在台灣讀書，我相信現在很多父母一定會把自己的孩子送到國外就讀，這也是臺灣人才流失的一大原因之一。
No.43,2017-10-22 07:43:49,高雄市,鳳山區,丁俠,對於技職體系的學生來說 國中三年學到的東西並不見得真的有用 有些人每天去學校真的也是渾渾噩噩 浪費人生也浪費金錢 希望可以提早分開和專業化
No.44,2017-10-22 13:37:03,新北市,中和區,小雨,
No.45,2017-10-22 14:16:35,苗栗縣,頭份市,李奕,
No.46,2017-10-22 14:19:06,南投縣,草屯鎮,莉唯,
No.47,2017-10-22 16:09:44,嘉義縣,大林鎮,陳曦,
No.48,2017-10-22 17:24:37,新北市,萬里區,"Taiwan Benson ",
No.49,2017-10-22 17:27:15,新竹市,北區,燁,
No.50,2017-10-22 19:00:38,臺南市,佳里區,阿哲,
No.51,2017-10-22 20:25:31,彰化縣,田中鎮,國家白老鼠,
No.52,2017-10-22 20:57:23,彰化縣,埔心鄉,默默,
No.53,2017-10-22 22:58:33,新北市,新莊區,Lulu,
No.54,2017-10-22 23:50:21,臺中市,南屯區,별,
No.55,2017-10-23 00:18:05,新北市,三重區,轟達,
No.56,2017-10-23 00:34:24,桃園市,龜山區,Kevin,我覺得這是一個很好的辦法 從我結婚後我發現臺灣缺少的是 專業 我們從小在學校老師都教的很好 可是說真的 是不是大家都一樣曾經害怕畢業後要***嘛 我太太是外籍 學歷很高 他來台灣工作之後 問了我很多問題我沒辦法回答他 他問我的都是國際上通用的常識 但她的同事都沒人可以回答 很多在那個職位但從沒唸過那門課 我就覺得新加坡就教育很強 她們大概到高中就知道未來要走那條路 並為那做準備了 我相信我說台灣缺乏專業很多人一定想罵我 但我還是要說一句 真的我們已經輸人家很多很多了
No.57,2017-10-23 01:22:45,臺北市,大同區,阿嘉,提早讓學生了解興趣及性向，還有未來的藍圖規劃，而非一味在大學中廣設學士班到大二才分流。
No.58,2017-10-23 10:44:30,新北市,中和區,大衛何,
No.59,2017-10-23 11:08:13,新北市,蘆洲區,適性發展,
No.60,2017-10-23 14:54:59,臺中市,北屯區,Niar,
No.61,2017-10-23 15:05:51,屏東縣,潮州鎮,jean,提早分化還可以讓學生有更多的時間、機會經驗各類技能。有的職業、工作，看起來光鮮亮麗、賺得很多，實際上這些光鮮亮麗背後付出的可能超過想像，提早分化可以讓想像幻滅，或者真的有興趣的孩子能更深入鑽研。
No.62,2017-10-23 17:42:36,屏東縣,萬巒鄉,魯國國相,
