"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-05 19:32:04,新竹縣,竹北市,神人邦,
No.2,2018-05-05 19:43:12,宜蘭縣,五結鄉,丁丁,
No.3,2018-05-05 19:44:56,新北市,三芝區,無政黨,
No.4,2018-05-05 20:44:00,新竹縣,竹北市,劉奇泓,
No.5,2018-05-05 23:44:34,嘉義縣,竹崎鄉,支持,
No.6,2018-05-07 12:59:25,新竹縣,竹北市,頡,
No.7,2018-05-07 22:49:06,桃園市,桃園區,小銓,為每個人（不論貧富、年紀）制定一個能夠保證最低生活費用、無條件（沒有審查、無強制工作）的全民基本收入（Universal Basic Income）
No.8,2018-05-08 19:38:36,新北市,三重區,playgamenow,
No.9,2018-05-09 14:10:50,高雄市,鼓山區,Shawn,
No.10,2018-05-11 15:39:46,新北市,蘆洲區,w190,

