"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-01 08:48:56,臺北市,南港區,王小花,
No.2,2017-12-01 09:08:37,臺北市,松山區,小安,
No.3,2017-12-01 11:10:54,臺北市,中正區,性平好累人,說的好，成立性平處應該要做大事，而不是一堆文書作業，更不是考核競賽！！
No.4,2017-12-01 11:16:48,臺北市,文山區,Chen,
No.5,2017-12-01 11:22:50,臺中市,西屯區,golden3,
No.6,2017-12-01 11:27:15,雲林縣,斗南鎮,九,性平考核並不能有效落實性別平等啊啊！
No.7,2017-12-01 11:38:11,臺北市,文山區,小謝,
No.8,2017-12-01 11:41:09,桃園市,大溪區,Sandra,
No.9,2017-12-01 11:41:14,新北市,新店區,安大頭,
No.10,2017-12-01 11:43:12,新竹縣,竹北市,陸仁榎,"一堆只重形式的教育訓練可以休矣，環境教育也是，而且強制
性每年都要上，難道不覺得浪費國家資源嗎?看一場電影(猩球崛起)，也算環境教育?是要給打混摸魚的公務員福利嗎?"
No.11,2017-12-01 11:45:36,臺東縣,臺東市,星星仔,"這種強制去學習什麼數位學習時間或實體時數的，跟本就是在玩數據資料而已。
上了課，就一定會改變觀念嗎？不上課，就一定沒有性別平等觀念嗎？
當了公務人員的人，考試也考了、基礎訓也上了，這些都是重覆的課程；再說，對一個成年人，根深蒂固的觀念要因上1個小時的課就改變，是不可能的啦。
再說，有些議題是價值選擇的問題，例如支不支持同性戀合法化…等爭議的觀念，都是個人價值的選擇，有些人就是不喜歡同性戀者、有些人就是支持，這是價值的選擇，不是單單學習一個小時的性別課程就能有所改變的。"
No.12,2017-12-01 11:50:52,臺南市,安平區,Lee,
No.13,2017-12-01 11:52:50,桃園市,觀音區,Ben,
No.14,2017-12-01 11:56:43,新北市,板橋區,酋長,支持廢除沒意義且增加同仁負擔的考核了
No.15,2017-12-01 11:57:24,臺南市,新營區,yy,建議取消性平考核，真是勞師動眾沒有意義
No.16,2017-12-01 11:59:00,桃園市,桃園區,koenig,可否連該處都廢了  整天刷存在感而已
No.17,2017-12-01 11:59:33,宜蘭縣,冬山鄉,SamYu,
No.18,2017-12-01 11:59:56,新北市,泰山區,Jessy,
No.19,2017-12-01 12:00:05,新北市,新店區,wen,
No.20,2017-12-01 12:00:10,臺中市,東區,閔,
No.21,2017-12-01 12:00:22,新北市,板橋區,沒錢錢,
No.22,2017-12-01 12:00:26,臺南市,北區,ss07,性平不應落於形式，公務員非萬能，應回歸本職才是。
No.23,2017-12-01 12:05:08,臺南市,東區,無力感,我覺得性平考核根本就是浪費人力和時間，真正的想法應該要落實在日常的教育中，不是透過每兩年的考核來檢驗，如果把考核時間省下來做其他業務會更有作為。不要再為難公務機關，請多做有意義的事
No.24,2017-12-01 12:08:22,新北市,永和區,ba,
No.25,2017-12-01 12:09:54,新北市,新莊區,深受其害的一員,性平處的委員、承辦同仁很多都帶著（我們有性別歧視）的偏見，審視各機關的政策、法規，業務評核時不合理的評核標準也讓各機關疲於奔命，廢掉是正確的選擇
No.26,2017-12-01 12:10:48,基隆市,暖暖區,Dana,
No.27,2017-12-01 12:10:57,新北市,泰山區,小林,
No.28,2017-12-01 12:12:20,臺東縣,臺東市,融會貫通,強烈支持，廣發廣發
No.29,2017-12-01 12:17:30,臺北市,南港區,朱小姐,
No.30,2017-12-01 12:19:32,新北市,樹林區,小寶,同意，沒有意義的政策～
No.31,2017-12-01 12:20:49,高雄市,鳳山區,W,
No.32,2017-12-01 12:20:52,臺北市,內湖區,如,
No.33,2017-12-01 12:22:36,臺東縣,臺東市,亞森羅平,
No.34,2017-12-01 12:22:43,屏東縣,屏東市,Daniel,
No.35,2017-12-01 12:25:07,臺北市,中正區,荷花仔,
No.36,2017-12-01 12:25:25,臺東縣,臺東市,小豬,
No.37,2017-12-01 12:29:19,高雄市,苓雅區,邱小姐,
No.38,2017-12-01 12:30:33,臺東縣,池上鄉,Taitunglai,
No.39,2017-12-01 12:31:58,高雄市,美濃區,小捷,
No.40,2017-12-01 12:32:00,高雄市,鼓山區,一代閒人,
No.41,2017-12-01 12:32:11,高雄市,鼓山區,被學習時數追趕的無奈,性平是一種生活態度..應該沒需要每年一直重複。建議其他例行性的所謂政策性訓練，重複超過三年或四年的，也可以檢討省略，以免公務員學習疲乏。
No.42,2017-12-01 12:34:43,桃園市,桃園區,Frank,同意提案
No.43,2017-12-01 12:36:15,桃園市,中壢區,PeiYi,不是性平沒有意義，只是性平委員是否假性平名義，對公共政策給許多包袱，身為女性，卻沒有感受到性平帶來的好處。
No.44,2017-12-01 12:36:42,臺中市,北屯區,台中胖胖,最沒有性平觀念的是首長，他們又不上課，偏偏很多案件都是....
No.45,2017-12-01 12:37:19,臺東縣,海端鄉,咕嚕咕,
No.46,2017-12-01 12:37:25,新北市,汐止區,小李,
No.47,2017-12-01 12:39:33,臺東縣,臺東市,P,
No.48,2017-12-01 12:40:09,臺中市,西屯區,咕雞,
No.49,2017-12-01 12:40:37,苗栗縣,苗栗市,寶寶,
No.50,2017-12-01 12:42:54,臺南市,安平區,深受其害,
No.51,2017-12-01 12:43:51,臺北市,中正區,piggy,
No.52,2017-12-01 12:46:54,高雄市,鳳山區,thefive,不是上課就懂得遵重的
No.53,2017-12-01 12:47:08,臺北市,大同區,Do,
No.54,2017-12-01 12:48:01,新北市,永和區,阿東,
No.55,2017-12-01 12:48:41,臺南市,善化區,Jenwen,
No.56,2017-12-01 12:50:09,新北市,土城區,阿銓,非常讚同，考核當天是60-70人各單位應付2-3個委員，浪費資源
No.57,2017-12-01 12:55:46,臺東縣,臺東市,秋咩,
No.58,2017-12-01 12:56:19,桃園市,桃園區,小朱,贊同
No.59,2017-12-01 12:56:37,臺東縣,鹿野鄉,性別已經很平等啦,
No.60,2017-12-01 12:57:42,宜蘭縣,冬山鄉,洲仔,
No.61,2017-12-01 12:58:13,臺北市,中正區,是真的,
No.62,2017-12-01 12:59:53,臺北市,松山區,寒谷,性平訓練只是每年行禮如儀，但都只是為了時數，實質根本沒有入到腦子，而且辦訓練的人花時間精力，只得參加的人抱怨（覺得浪費工作時間）……。
No.63,2017-12-01 13:02:00,臺東縣,成功鎮,成,請回歸工務人員本質業務
No.64,2017-12-01 13:03:54,新北市,板橋區,艾蜜莉,
No.65,2017-12-01 13:04:12,新北市,樹林區,chou,
No.66,2017-12-01 13:04:23,高雄市,前鎮區,Chun,
No.67,2017-12-01 13:09:04,新北市,鶯歌區,ping,
No.68,2017-12-01 13:15:03,臺南市,新營區,MJ,強制同仁學習無實質效益
No.69,2017-12-01 13:27:04,高雄市,三民區,Ping,
No.70,2017-12-01 13:29:43,新北市,新店區,minder,
No.71,2017-12-01 13:34:06,臺北市,萬華區,ej,
No.72,2017-12-01 13:34:38,臺南市,南區,H,
No.73,2017-12-01 13:37:25,新北市,新莊區,海王子,真的讓公務員回歸實質的工作面的考核
No.74,2017-12-01 13:38:37,臺東縣,關山鎮,阿子,只是流於形式了，且增加承辦人無謂的時間及精神。
No.75,2017-12-01 13:39:45,高雄市,仁武區,Chen,
No.76,2017-12-01 13:40:56,新北市,板橋區,小學,提議合理，所以支持
No.77,2017-12-01 13:41:22,臺南市,東區,平方,
No.78,2017-12-01 13:42:06,雲林縣,虎尾鎮,程程哥,"性平考核項目太過瘋狂，多到令人傻眼，又需要許多不相干的單位配合演出，一年開十幾次會議到底是在***嘛!
又要請一堆學者要付車馬費、出席費，一群人瞎忙一場對社會上的性別平等根本沒助益只是增加很多冗事而已。"
No.79,2017-12-01 13:44:50,新北市,中和區,粉紅豬小妹,陳述中肯且實際，完全同意
No.80,2017-12-01 13:45:10,桃園市,八德區,大自然先生,別再浪費時間做性平的形式主義了
No.81,2017-12-01 13:48:00,臺中市,西區,天,
No.82,2017-12-01 13:48:02,臺北市,信義區,LO Kate,取消無謂的訓練
No.83,2017-12-01 13:48:10,臺中市,南區,咪貓,
No.84,2017-12-01 13:51:12,臺北市,信義區,YouWillNeverKnow,十分認同
No.85,2017-12-01 13:51:49,新北市,瑞芳區,Healer Aqn,
