"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-01 16:22:41,新北市,新莊區,4682,
No.2,2017-06-02 14:33:20,新竹市,東區,Jesse,"額外建議
1. 配合 BRT 電動公車(使用大中小型何種公車因地制宜)專用道及無線交通號誌優先化連動，降低公車交通阻塞狀況，提高準點率，增加乘坐誘因。
2. 提高公有停車場停車費作為 BRT 經費補貼。"
No.3,2017-06-02 19:30:02,雲林縣,斗六市,小螃蟹,
No.4,2017-06-02 20:53:47,雲林縣,斗六市,雲林宋仲基,
No.5,2017-06-03 16:28:01,新竹市,東區,Vincent,
No.6,2017-06-04 23:52:20,臺北市,大安區,康至青,
No.7,2017-06-05 02:22:40,新北市,樹林區,Lyons,一點都不前瞻，可以把治水這種也列進去嗎? 好好把排水防洪做好，然後水庫壽命給調查出來吧!
No.8,2017-06-12 13:24:39,臺南市,安南區,ㄚ忠,
No.9,2017-06-12 14:05:15,高雄市,鼓山區,小Q,前瞻計畫太草率，未經詳細評估，一公布造成各地公務機關都在爭取經費，完全沒有計畫或只是粗略計畫就在爭取經費，一切搶到錢再說，看不出預算執行有何詳細評估計畫，且造成公務機關龐大負擔，一切都太急太快，計畫內容偏離民意，恐造成一堆蚊子館
No.10,2017-06-12 17:04:11,屏東縣,長治鄉,老竽,國家重大建設影響深遠，應審慎評估執行!
No.11,2017-06-12 19:09:26,臺中市,北屯區,小布,
No.12,2017-06-12 19:17:22,臺中市,西區,雯,
No.13,2017-06-12 19:17:33,臺北市,信義區,Sam,
No.14,2017-06-12 19:29:22,臺北市,大同區,cc,
No.15,2017-06-12 20:54:33,臺北市,松山區,WCH,
No.16,2017-06-12 23:47:10,桃園市,桃園區,孤狼,
No.17,2017-06-12 23:57:33,基隆市,信義區,p13,政策需要長遠規劃，不是一昧討好選民或是圖利特定團體。
No.18,2017-06-13 07:30:25,新北市,土城區,魚,"這個計畫內容過度粗糙，牽涉範圍又廣
金額龐大
不是應該好好規劃後再執行嗎？
為何有很匆促，趕鴨子上架的感覺呢？"
No.19,2017-06-13 08:35:01,臺北市,士林區,keven,"目前前瞻基礎建設計畫根本只看到債留子孫,圖利特定政黨,根本看丕到為民為國."
No.20,2017-06-13 08:36:43,臺中市,沙鹿區,char100,
No.21,2017-06-13 09:16:46,桃園市,大溪區,smalying,
No.22,2017-06-13 10:55:36,苗栗縣,苗栗市,貝勒爺,
No.23,2017-06-13 11:46:41,新北市,板橋區,hwtang,
No.24,2017-06-13 11:56:49,新北市,永和區,迷你熊,"在高雄的捷運,公車,輕軌載客率未達一定標準前,其他縣市的輕軌大多是白花錢而已,先改善公車系統再說!"
No.25,2017-06-13 12:51:57,新北市,新店區,shaina,
No.26,2017-06-13 13:38:42,基隆市,安樂區,Pharmahu,"一方面說國家財政困難，需要年金改革，要年輕人多繳、少領、延後退。又要廢除兩稅合一，讓股利所得分離課稅，造成長期投資的小散戶稅率暴增，但高所得富人卻大幅減稅。

另一方面，隨便的端出一下子花掉八千多億的前瞻特別預算法案，不只規劃粗糙，大部分項目連一般老百姓都能感受到不夠前瞻，且效益有限，自償性是很大問號，整體看起來更沒有方向，不知道要把台灣帶到哪裡去。

而且如果政府的目標是要廢核，那應該趕緊提高綠能發電的比例，但前瞻計畫中，綠能的經費卻是杯水車薪，執政前信誓旦旦說台灣不缺電，然後現在又要重啟核電機組解燃眉之急，這樣的施政、口號治國的心態，真的令人為台灣的未來擔憂。"
No.27,2017-06-13 14:57:37,高雄市,三民區,Viola,"http://www.ettoday.net/news/20170603/937261.htm


經費拿去發展吾人智慧無軌道列車 或是探勘可燃冰也比較好吧..."
No.28,2017-06-13 17:14:37,新北市,板橋區,Kurt,
No.29,2017-06-13 18:12:31,臺北市,中正區,潘建男,
No.30,2017-06-14 09:22:16,桃園市,蘆竹區,wen,
No.31,2017-06-14 17:58:21,臺東縣,臺東市,小宗,
No.32,2017-06-15 15:46:57,臺北市,中正區,Dr. F,
No.33,2017-06-15 17:58:22,新北市,汐止區,Ted,支持重新檢視並由學者專家來決定前瞻內容
No.34,2017-06-16 09:04:44,臺北市,文山區,wayne,
No.35,2017-06-16 21:59:51,新北市,中和區,水果明,前瞻計畫確實需要修改，不透明，又耗費太高，還集中在土地開發，這不止勞民傷財，還禍害無窮。
No.36,2017-06-17 22:18:13,新北市,板橋區,Wiho,八千多億這麼龐大的數字，應該經過更審慎的評估，否則不如拿來當育兒津貼還實際點。
No.37,2017-07-06 19:46:25,高雄市,鳳山區,wei ting,
No.38,2017-07-10 17:54:09,新竹縣,芎林鄉,中冰紅,
No.39,2017-07-24 13:36:08,屏東縣,新埤鄉,koki,
