"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-05 19:15:01,高雄市,三民區,Taiwan會更好,實用!
No.2,2017-08-05 22:49:52,臺北市,信義區,雷振瑀,
No.3,2017-08-06 00:04:42,臺南市,中西區,kevin,
No.4,2017-08-06 12:06:12,嘉義市,東區,"Jessica ",
No.5,2017-08-06 18:13:03,苗栗縣,頭份鎮,greatfaye,
No.6,2017-08-06 20:51:58,嘉義縣,太保市,ttaiwan,
No.7,2017-08-06 22:45:25,彰化縣,彰化市,核統,
No.8,2017-08-06 22:51:07,高雄市,岡山區,W,
No.9,2017-08-07 02:53:17,臺中市,南區,三風,
No.10,2017-08-07 06:54:17,新北市,淡水區,馬克,
No.11,2017-08-07 08:20:21,臺中市,西屯區,BOKE,
No.12,2017-08-07 08:51:59,嘉義市,西區,LEO,
No.13,2017-08-07 10:29:42,臺北市,信義區,Evan liu,科技趨勢，便民，展現政府一體
No.14,2017-08-07 10:37:03,屏東縣,屏東市,JH,
No.15,2017-08-07 10:42:42,高雄市,茄萣區,nissan,讚成身分證、健保卡和自然人憑證多卡合一。
No.16,2017-08-07 11:15:08,臺北市,文山區,CC白,
No.17,2017-08-07 12:18:12,臺北市,北投區,阿忠,證件能單一化就單一化，怕遺失盜用，驗證可以加密碼或其他方式。
No.18,2017-08-07 14:06:28,新北市,新莊區,森里螢一,
No.19,2017-08-07 22:45:07,高雄市,三民區,alex,
No.20,2017-08-08 01:16:10,新北市,中和區,小晉,認同。跨單位整合不容易，但確實很適合可以開放這些憑證在多元載體上實現。想想如果我可以選擇下載身分證健保卡到悠遊卡、icash上，甚至是手機NFC-SIM、HCE...
No.21,2017-08-08 10:16:23,臺南市,歸仁區,維維,很不錯的想法
No.22,2017-08-08 15:06:33,新北市,鶯歌區,eagle,
No.23,2017-08-08 20:12:53,臺中市,大里區,瓢蟲,
No.24,2017-08-09 00:17:24,新北市,新店區,煙雨,支持
No.25,2017-08-09 00:55:22,新北市,中和區,takiiiii,
No.26,2017-08-09 00:56:31,新北市,板橋區,eason,
No.27,2017-08-09 01:16:56,臺中市,北屯區,威爾森,
No.28,2017-08-09 01:25:39,基隆市,信義區,l,
No.29,2017-08-09 08:15:42,花蓮縣,花蓮市,M老師,
No.30,2017-08-09 08:56:05,臺中市,大里區,喬治,
No.31,2017-08-09 09:24:50,彰化縣,埤頭鄉,rango,有創意~推一下
No.32,2017-08-09 10:00:58,新北市,三重區,Eason,
No.33,2017-08-09 11:34:35,新北市,林口區,Change,
No.34,2017-08-09 11:54:13,桃園市,中壢區,joel,
No.35,2017-08-09 12:14:10,臺中市,北區,工程師,將這些證件資料整合合一，有助於國家資訊化的發展。
No.36,2017-08-09 13:56:28,基隆市,中正區,林博仁,
No.37,2017-08-09 20:28:04,高雄市,鼓山區,Wang,這樣可以不用帶那麼多卡片!
No.38,2017-08-09 23:54:36,臺北市,萬華區,陳哲元,
No.39,2017-08-10 00:01:54,新北市,土城區,哈利,
No.40,2017-08-10 00:16:07,新北市,土城區,"Han ",
No.41,2017-08-10 09:08:36,臺北市,北投區,Paul,"本來就應該合併
政府平行單位本來就應該積極作為
台灣是科技島，這技術上不是問題，重點是官僚心態"
No.42,2017-08-10 09:40:56,新竹市,東區,Can Chen,
No.43,2017-08-10 10:02:17,臺北市,中山區,丁丁,
No.44,2017-08-10 10:43:11,臺中市,西屯區,遊客112,
No.45,2017-08-10 14:24:35,臺北市,南港區,阿雷,
No.46,2017-08-10 15:56:26,臺中市,南屯區,蛋黃酥,
