"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-22 09:19:57,高雄市,岡山區,楊某某,
No.2,2018-05-22 09:25:19,臺中市,霧峰區,羅俊俏,
No.3,2018-05-22 09:28:18,臺北市,士林區,MH Chou,
No.4,2018-05-22 15:27:04,臺中市,中區,Jack,母語才能保存傳統文化
No.5,2018-05-22 18:13:48,臺北市,信義區,YOYO,
No.6,2018-05-22 22:02:03,臺中市,西區,鍾,
No.7,2018-05-22 23:18:45,新北市,三重區,Greeny,
No.8,2018-05-23 13:42:49,新北市,五股區,NANIO,
No.9,2018-05-23 16:01:22,新竹市,香山區,兒兒兒,
No.10,2018-05-23 17:15:32,宜蘭縣,員山鄉,蘇先生,
No.11,2018-05-24 00:04:41,高雄市,林園區,阿佳,母語本來就不該被遺忘
No.12,2018-05-24 10:21:07,高雄市,鳳山區,suagoolong,pó-tsûn bú-gí sī tsin-tiōng-iàu ê kang-tsoh.
No.13,2018-05-24 10:27:29,新北市,板橋區,大天使,加油給它過
No.14,2018-05-24 18:00:33,花蓮縣,新城鄉,阿典,支持+1
No.15,2018-05-24 18:07:58,新竹市,北區,小孟,
No.16,2018-05-24 19:17:02,臺南市,永康區,小傑,
No.17,2018-05-24 22:46:42,彰化縣,花壇鄉,肥仔,加油
No.18,2018-05-24 22:55:45,臺中市,龍井區,Ushi,
No.19,2018-05-25 09:27:16,臺中市,西屯區,BK,
No.20,2018-05-26 08:48:39,臺中市,北屯區,Heebnerm,
No.21,2018-05-26 09:21:29,臺中市,北屯區,nayu,
No.22,2018-05-26 10:39:21,新北市,板橋區,陳志誠,也支持成立台語電視台
No.23,2018-05-26 11:50:41,臺中市,西區,小菜,
No.24,2018-05-26 13:41:54,臺中市,北屯區,scherzo237,
No.25,2018-05-26 21:08:58,臺中市,西區,lieum,
No.26,2018-05-27 01:15:36,臺北市,文山區,B,

