"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-07-18 01:15:10,宜蘭縣,員山鄉,游先生,
No.2,2017-07-18 01:17:15,桃園市,八德區,Nolem,"FB網路詐騙不斷,FB官網只賺廣告費,檢舉多次皆不處理,被騙的人無數,FB動態一兩頁即有一篇購物詐騙.請管理單位正視."
No.3,2017-07-18 01:17:59,臺中市,龍井區,Jill wu,
No.4,2017-07-18 01:24:29,臺南市,東區,"Sa ",
No.5,2017-07-18 01:24:52,臺北市,文山區,阿隆,
No.6,2017-07-18 01:33:06,苗栗縣,頭份鎮,傅竹軒,
No.7,2017-07-18 01:45:14,新竹縣,竹北市,Jean,
No.8,2017-07-18 01:46:45,臺北市,信義區,非常Q,
No.9,2017-07-18 02:00:07,花蓮縣,壽豐鄉,韓小夏,我也曾經受騙過 希望不要再有類似事件發生 也希望能制裁它們
No.10,2017-07-18 02:00:10,新北市,新店區,rui,
No.11,2017-07-18 02:05:00,高雄市,鳳山區,August Yang,嚴厲譴責臉書購物詐騙
No.12,2017-07-18 02:12:05,臺北市,中正區,Alex,
No.13,2017-07-18 02:17:06,臺南市,大內區,木瓜,
No.14,2017-07-18 02:45:56,臺中市,中區,LINEeeweii,
No.15,2017-07-18 02:56:56,雲林縣,斗六市,凱特,
No.16,2017-07-18 02:59:18,高雄市,鼓山區,Min,附議。
No.17,2017-07-18 03:00:01,臺中市,北屯區,Star,受害者
No.18,2017-07-18 03:22:47,新北市,三重區,小明,
No.19,2017-07-18 03:54:02,新北市,三重區,Benjamin Wu,
No.20,2017-07-18 03:56:00,臺中市,北屯區,鐘小姐,詐騙手法層出不窮，網路刷卡太過便利，煩請主管機關可以檢核網站行銷頁面，網路行銷的廣告很容易讓消費者心動，卻無法真實判斷是否有詐騙風險疑慮。
No.21,2017-07-18 04:00:50,新竹縣,竹北市,Mic,
No.22,2017-07-18 05:28:55,新北市,中和區,William Lee,建請主管機關重視FACEBOOK(臉書)購物詐騙一案，研議如何防制與作為，望請各界連署支持
No.23,2017-07-18 05:29:52,嘉義縣,民雄鄉,素玲,
No.24,2017-07-18 06:07:17,臺中市,沙鹿區,godzilla,
No.25,2017-07-18 06:26:23,高雄市,小港區,一萬,非常贊成
No.26,2017-07-18 06:29:24,桃園市,龍潭區,多娜滋,
No.27,2017-07-18 06:37:14,宜蘭縣,宜蘭市,姚佳佳,
No.28,2017-07-18 06:38:49,高雄市,鼓山區,湯默,
No.29,2017-07-18 06:43:32,臺北市,中山區,維尼,
No.30,2017-07-18 06:56:32,新北市,新莊區,Judy Chung,
No.31,2017-07-18 07:08:02,臺北市,中山區,dps,
No.32,2017-07-18 07:09:31,臺北市,南港區,Tony,
