"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-09 07:29:39,雲林縣,大埤鄉,福音,源頭減汙染，讚
No.2,2018-05-09 08:41:13,基隆市,七堵區,二頭,
No.3,2018-05-09 11:47:42,高雄市,左營區,林凱粒,希望這個提案「從塑膠源頭加重稅金>稅收投入環境保護」能成功！加油！
No.4,2018-05-09 14:19:58,新北市,新店區,Anne,
No.5,2018-05-09 16:06:29,基隆市,中正區,海灘上的拾荒者,用價格去控制使用量 這是很好也很有效的方法
No.6,2018-05-09 16:24:02,基隆市,七堵區,強森潛水部落 海森,從源頭治理
No.7,2018-05-09 17:20:37,臺北市,北投區,愛海人,
No.8,2018-05-09 18:28:44,臺北市,大安區,Ronny,從加價方式來抑制需求是個在政府執行力不足的現況下最好的方式之一。
No.9,2018-05-09 18:43:51,桃園市,八德區,呆呆的小蔥頭,以價制量 我想應該可行
No.10,2018-05-09 20:28:51,新北市,金山區,小蘭,使用者付費！
No.11,2018-05-09 20:37:59,基隆市,仁愛區,Stanley Lin,正視環境遭受破壞的事實，看是否能從課環境稅，產生改變。
No.12,2018-05-09 20:47:16,桃園市,八德區,123,
No.13,2018-05-09 22:36:14,新北市,三重區,rosie,
No.14,2018-05-09 22:46:32,新北市,板橋區,佩娟,
No.15,2018-05-10 12:47:58,嘉義縣,大林鎮,"Yuju ",
No.16,2018-05-12 09:52:23,桃園市,蘆竹區,江江,

