"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-19 00:31:11,臺南市,中西區,Hilltop,
No.2,2017-10-19 01:32:31,臺北市,信義區,烤焦貝果,同意 太多最後龍馬沒用到回收了 浪費資源 較少用的科目可以考慮電子化教材
No.3,2017-10-19 03:08:03,新北市,泰山區,勻,
No.4,2017-10-19 06:00:16,臺北市,中山區,Nick,"難怪這些年以來，絕大部份的出版社都倒了，康軒...一些印教科書的出版社卻是越來越賺錢，教育部經手相關負責人員有沒有圖利特定廠商之嫌？

教育部需要嚴格檢討浮濫不必要的教材與課目，尤其大環境不景氣的時代，如何能夠善用資源、減輕家長負擔，讓就學學費不會成為台灣年輕人不敢結婚生育的壓力來源，也是非常重要的政策方向。

教育部的工作內容與品質等同於""完全執政""的 民進黨政府 與 蔡英文 總統 之""政策政績""。

教育部做不好，代表 蔡英文 總統 與完全執政的 民進黨政府 無能施政、管理教育部務實國家教育政策。"
No.5,2017-10-19 06:03:01,彰化縣,永靖鄉,Kua,"全部都在圖利書商  你政府別說不知道  誰改掉我下屆就投誰
誰不改通通換掉"
No.6,2017-10-19 09:42:26,彰化縣,彰化市,黃核統,
No.7,2017-10-19 10:03:22,新北市,板橋區,Fish,推行電子教材吧。
No.8,2017-10-19 10:25:35,新北市,五股區,路易貓,
No.9,2017-10-19 10:57:28,臺南市,歸仁區,Kathy,"建議使用電子書,真得太浪費了,也使書包太重,影響發育"
No.10,2017-10-19 10:59:13,臺中市,西區,Oscar0509,
No.11,2017-10-19 13:08:25,新竹市,香山區,兒兒兒,
No.12,2017-10-19 14:04:09,臺南市,南區,阿萱,總是花那麼多錢買不必要的課本，老實說真的很沒必要
No.13,2017-10-19 16:14:37,新竹縣,竹北市,金勾錐,全面使用電子書。
No.14,2017-10-19 16:28:10,新北市,蘆洲區,粘董,
No.15,2017-10-19 17:24:48,臺東縣,臺東市,KUOHAO,的確 浪費太多不必要的錢
No.16,2017-10-19 17:34:57,屏東縣,潮州鎮,熊熊Bear,
No.17,2017-10-19 17:58:19,新北市,蘆洲區,勳,錢應花在刀口上。
No.18,2017-10-19 18:05:27,高雄市,楠梓區,晨曦,減少紙的用量
No.19,2017-10-19 18:27:51,高雄市,鳳山區,Mina,
No.20,2017-10-19 18:39:30,桃園市,中壢區,頌龍樂,
No.21,2017-10-19 19:24:19,臺中市,東勢區,黃飛虎,
No.22,2017-10-19 19:40:13,彰化縣,員林鎮,一節,節能減碳的重要細節。
No.23,2017-10-19 19:45:06,新北市,板橋區,安安,
No.24,2017-10-19 19:46:46,新北市,新店區,noise,不管有沒有用到都很浪費紙
No.25,2017-10-19 19:51:55,澎湖縣,馬公市,"Reloj ",
No.26,2017-10-19 19:54:05,新北市,中和區,Rachel,
No.27,2017-10-19 19:55:50,新北市,五股區,Tg,
No.28,2017-10-19 20:11:11,臺中市,西屯區,james58899,
