"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-30 00:44:32,臺北市,士林區,w,在西子灣有很多自行車出租店，店內也有出租電動摩托車，因為不須駕照，經常看見國高中生租賃並違規駕駛，例如逆向、闖紅燈，危及行人的安全。
No.2,2018-01-31 01:04:57,高雄市,大寮區,河馬,同意以上的論點，不然現在我在馬路上看到越來越多人騎著電動車違規事項也越來越多(三寶)，另外外籍勞工也開始騎乘電動車，也不戴安全帽如果真發生交通事故，這樣罰則是算汽機車還是算....
No.3,2018-01-31 01:14:08,臺中市,潭子區,小陳,
No.4,2018-01-31 02:10:06,臺南市,北區,Shake,
No.5,2018-01-31 06:46:28,臺南市,東區,憲,
No.6,2018-01-31 08:29:16,臺南市,北區,江明宗,應該要更積極管理才是
No.7,2018-01-31 11:41:20,臺南市,東區,達,
No.8,2018-01-31 13:37:56,臺中市,大里區,阿泉,
No.9,2018-01-31 14:33:28,臺南市,永康區,伶楓,
No.10,2018-01-31 14:42:48,臺南市,東區,"Perry ",
No.11,2018-01-31 17:32:22,高雄市,新興區,小夜,
No.12,2018-02-01 02:29:12,臺南市,中西區,"wencchs ",
No.13,2018-02-01 05:42:07,臺南市,仁德區,Che,
No.14,2018-02-01 12:17:46,新北市,三重區,Vagabond,
No.15,2018-02-02 23:18:48,桃園市,平鎮區,ganges,台灣交通已經相當混亂，必須經過篩選才能上路。

