"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-31 00:57:38,臺南市,永康區,蓓蓓,南部許多店家企業在薪資方面寫著面議，往往都是不符合基本薪資
No.2,2018-03-31 08:08:56,新北市,中和區,Carina,
No.3,2018-03-31 11:40:21,臺北市,中正區,Peng,公開透明 不浪費彼此時間
No.4,2018-03-31 11:55:09,新北市,土城區,Amber,
No.5,2018-03-31 16:57:35,彰化縣,芬園鄉,張小敏,支持，因為不浪費時間
No.6,2018-03-31 22:53:55,新北市,板橋區,賢,
No.7,2018-04-02 00:10:23,臺北市,文山區,kathy,
No.8,2018-04-02 05:09:16,屏東縣,屏東市,xuan,
No.9,2018-04-02 09:15:12,新北市,五股區,10,
No.10,2018-04-02 12:06:27,高雄市,茄萣區,梵天,
No.11,2018-04-02 14:19:59,臺中市,神岡區,saki,支持
No.12,2018-04-02 18:35:36,高雄市,三民區,red,許多徵才刊登都寫的很保守，無法確切得知工作內容及薪水，薪水金額多已面議含糊字眼帶過
No.13,2018-04-02 22:52:54,臺北市,文山區,yo,
No.14,2018-04-03 01:15:24,臺北市,內湖區,leon194,

