"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-13 08:01:44,桃園市,龍潭區,Chang,讓社會更公平正義。
No.2,2017-06-13 08:02:40,屏東縣,屏東市,Chinwu,怎麼有特殊族群可以享受特權，大家一樣工作，毎種行業都是神聖的，否則大家比照辦理放寒暑假一起去國外進修，還要公司及政府發薪。謝謝政府德政。
No.3,2017-06-13 10:11:12,高雄市,左營區,自由的風,"支持廢除教師寒暑假, 學生回歸快樂學習,寒暑假應該回歸家庭生活, 不應該假借名義開輔導課
1.教師應全力投入課程發展與教材研發, 寒暑假到校研發教材
2.全面取消補習式輔導課, 釋放學生讓他們快樂學習回歸家庭生活"
No.4,2017-06-13 10:59:45,新北市,三重區,人事人員,
No.5,2017-06-13 11:10:15,臺北市,中山區,stellie,寒暑假過長只是增加家長的負擔
No.6,2017-06-13 11:29:44,宜蘭縣,蘇澳鎮,Terry,
No.7,2017-06-13 13:35:50,臺北市,中山區,ct,"廢除寒暑假教師放假的政策, 及教師佔著正式老師名額,連續用生產, 進修, 侍親為由,經年累月的長期請假, 使得學校要另外支代課老師費用. 不適任正式老師資格,也要解約."
No.8,2017-06-13 15:16:13,桃園市,桃園區,david liu,
No.9,2017-06-13 16:07:19,臺北市,大安區,lien,
No.10,2017-06-13 16:52:24,高雄市,前鎮區,水電工,勞工也沒寒暑假阿.為何要繳稅金養可以工作又不工作的人
No.11,2017-06-13 16:55:56,南投縣,埔里鎮,小偉,"讓不合理的制度合理化
法要有理
不要有不合理的法"
No.12,2017-06-13 18:23:50,臺北市,文山區,文文,"這社會不能再存在特權階級，職業不分貴賤
大家都辛苦，沒有老師特別辛苦的這種說法"
No.13,2017-06-13 18:32:30,臺中市,大甲區,阿西,"支持廢除寒暑假，老師要到學校上班不可領乾薪
不可以以要備課為藉口
所有的人在從事某項工作時，本來就是專業能力要具備
那不然開計程車的說我要準備開計程車睡覺也算準備時間要算錢
有這種事嗎"
No.14,2017-06-14 07:25:17,新北市,板橋區,Iamgigo,
No.15,2017-06-14 09:47:36,高雄市,楠梓區,Johnson,
No.16,2017-06-14 10:29:43,高雄市,左營區,Zoey,"1. 支持廢除（或縮短）寒暑假，將平日課綱總時數平均分攤到寒暑假！
※目前台灣國小07:30到校～16:00放學。國高中07:30到校～17:00放學（含第8節輔導），每天超過9小時！阿根廷4小時；巴基斯坦5小時；巴西5-6小時；德國4-6小時；日本、墨西哥、加拿大6小時；美國、英國、澳洲6.5小時；俄羅斯7小時；韓國、法國8小時；台灣、中國9.5小時

2. 平日上課時數減少至6小時，08:30 到校，與家人共進早餐，加上通勤時間綽綽有餘，也獲得充足睡眠！取消早自習及朝會！輔以大眾運輸工具、校車，家長要負起教導孩子辨別陌生人的責任！

※7歲至10歲的專注力能夠維持約20分鐘。10至12歲的小孩能維持約25分鐘。12歲以上的孩子專注力可以維持30分鐘。
3. 每堂課時間由50分鐘，縮短為40分鐘，下課時間維持10分鐘，一天仍有7堂課。

4. 15:30 放學，讓學生有時間從事讀書以外的活動、練習時間管理。若去補習班也能早點下課（我反對補習班），還能與家人吃晚餐、散步，兼顧學業與家庭。學校教的知識太多，學生缺乏時間及精力思考知識之於自己的意義，不知道為什麼而讀！"
No.17,2017-06-14 10:54:02,新北市,板橋區,阿豪,支持廢除寒暑假，還給老師組工會的權利以及30天休假，以及每天1小時加班的補休，讓老師可以在平常日請休假規劃旅遊，至於學生...看是要請家長排班來教還是怎樣都好。
No.18,2017-06-14 21:34:46,臺南市,北門區,吹雪士郎,這個提議我覺得是好的方面
No.19,2017-06-15 14:01:26,臺中市,南屯區,kiki,"學校內""沒有兼行政""和""兼行政""的老師  二者差別在於""沒有兼行政""的老師平時負責班級和課務後 能充分享受寒暑假  而""兼行政""老師則是比照公務人員休假制度 雖沒有帶班級 但寒暑假沒那麼自由 
所以既然立足點都是老師 惟有寒暑假且支薪 相較其他行業覺得仍不公平"
No.20,2017-06-15 14:57:05,臺中市,豐原區,大頭,
No.21,2017-06-15 20:03:28,高雄市,橋頭區,TKA,
No.22,2017-06-15 20:36:53,臺中市,南區,sun,"老師早就有工會了，地方性和全國性都有，有人還在世外桃源。
兼行政老師30天休假,原則也是在寒暑假休。不兼行政老師寒暑假不用上班卻可領薪水的工作天可是有55天左右，放棄55天左右不用請假的上班天換30天休假,是誰損失?老師這種佔了便宜還賣乖的行為真是讓人無言啊!不是所有國小老師都是7:30~16:00,就算中間沒休息也只有8.5小時,算數不好嗎?更何況每個老師沒課也沒在學校備課都有請假嗎?(如果1天上9小時,隔1天上4小時,那是誰在凹誰呢?)問問你們那些老鼠屎老師為什麼要害守規距又認真教學老師一起被污名化吧?還有你們為什麼大部分時候都要姑息養奸甚至還會為那些老鼠屎老師護航?(就是師師相護)"
No.23,2017-06-18 16:36:02,臺北市,中山區,龍佑,寒暑假最是用來休息放鬆的，和家人一起出國旅行玩樂，去看看世界各地的風景，認識其他國家的特色，這樣才對生為學生的我們有幫助，不是在學校一直讀書，如果要在學校讀書應該可以向學校聲請，說我想在學校自習，但不用付錢，如果有些學生不喜歡讀書但一直叫學生在寒暑假督要來學校，這樣不是不好嗎，對學習也沒有任何的影響作用。所以我還是覺得要廢除寒暑數來上課，這樣老師也可一起放假。
No.24,2017-06-20 13:24:24,彰化縣,和美鎮,青松,
No.25,2017-06-25 11:59:39,臺中市,大甲區,xcat,將寒暑假的時間縮短，把平常的平均分配到增加的學期時間，可以有效減少每日的課業壓力，並可以提早結速一般教室課程，像日本一樣，三點下課，之後的時間，從事社團活動。
No.26,2017-06-27 23:24:06,新北市,新店區,miray,
No.27,2017-06-30 12:49:38,高雄市,岡山區,max,"支持將平常上課時數分散到寒暑假 , 而且沒上班還能領薪水 ? 就算半薪也一樣 ."
No.28,2017-07-14 15:05:48,嘉義縣,新港鄉,黑黑,
No.29,2017-07-25 11:15:43,新北市,萬里區,kuo,
No.30,2017-07-28 01:08:51,高雄市,新興區,大貓,
No.31,2017-07-29 04:58:05,臺中市,西屯區,kk,論點有理
No.32,2017-07-29 09:44:03,臺北市,信義區,媛,
No.33,2017-07-29 15:11:50,臺南市,永康區,蟹老板,
No.34,2017-07-30 08:30:51,高雄市,鳳山區,John Cena,
No.35,2017-07-30 17:49:50,臺中市,南屯區,老江,
No.36,2017-07-30 18:53:43,高雄市,三民區,迷子,
No.37,2017-07-30 21:59:54,新北市,汐止區,呂,
