"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-29 01:10:54,臺北市,萬華區,尹纁,
No.2,2018-03-29 11:38:58,臺中市,豐原區,淵,
No.3,2018-03-29 19:34:26,高雄市,楠梓區,NINTEN,
No.4,2018-03-29 19:58:54,臺中市,西屯區,Mini,歡迎進入AI時代
No.5,2018-03-29 21:01:24,新北市,三重區,糖果,
No.6,2018-03-29 23:27:11,新北市,三重區,Lin,覺得不需要把錢拿去用在更換新錢幣這件事情上，應該拿去做更有意義的事情，做公共建設，或是弄消費卷，提升民眾消費意願，感覺都比拿錢印鈔有意義！
No.7,2018-03-30 08:58:00,高雄市,岡山區,阿賢,贊成
No.8,2018-03-30 10:54:41,臺北市,信義區,發消費卷比換鈔實在,
No.9,2018-03-30 12:59:24,臺中市,清水區,JS,
No.10,2018-03-30 21:14:51,新竹縣,竹北市,coco,
No.11,2018-03-30 22:34:16,新竹縣,新豐鄉,Wei,
No.12,2018-03-31 09:41:13,基隆市,中正區,kiki,
No.13,2018-03-31 11:22:30,臺北市,士林區,Sean,
No.14,2018-03-31 13:15:58,彰化縣,溪湖鎮,AB,要進步
No.15,2018-03-31 22:45:28,臺北市,南港區,shingowu,"電子支付目前已經是世界潮流趨勢，與現行的現金貨幣相比之下，有更多的優點。

一.不需要每年回收破舊的紙鈔，然後再花成本印製新鈔。

二.交易變得更簡單迅速，不用找零錢。

三.搭上自然人憑證以及指紋辨識等等，與共享經濟可以有更深的結合。

四.不會有假鈔假幣的問題發生。

目前現金鈔票有的優勢只是因為電子支付的環境不完善才得以存在，如果將更換新台幣的400億用來推動電子支付以及建置設備等等，以長遠來說更符合時代潮流。"
No.16,2018-04-01 00:42:20,新北市,永和區,MY Kuo,花錢改版，不如把預算用在推行電子貨幣
No.17,2018-04-01 01:53:39,臺北市,大安區,阿嘎,
No.18,2018-04-01 18:23:36,屏東縣,屏東市,駱駝,
No.19,2018-04-02 06:37:48,雲林縣,大埤鄉,喵恩,
No.20,2018-04-02 07:07:01,臺中市,大雅區,翻轉正義,
No.21,2018-04-02 07:18:07,臺南市,南區,林,
No.22,2018-04-02 08:09:30,高雄市,鳳山區,pooh,
No.23,2018-04-02 10:21:47,高雄市,三民區,瑜,
No.24,2018-04-02 10:39:59,桃園市,平鎮區,謝國荃,
No.25,2018-04-02 10:52:43,臺北市,信義區,Jeremy,
No.26,2018-04-02 12:15:02,臺中市,豐原區,JHan,
No.27,2018-04-02 14:21:39,臺中市,神岡區,Saki,
No.28,2018-04-02 14:29:35,高雄市,三民區,isaac,
No.29,2018-04-02 14:55:46,基隆市,安樂區,胖胖鈽,
No.30,2018-04-02 15:01:49,臺北市,大安區,QOO,
No.31,2018-04-02 15:28:26,新北市,中和區,無墨人,
No.32,2018-04-02 21:14:15,臺南市,六甲區,胖君,不要換錢幣
No.33,2018-04-03 08:53:13,新北市,林口區,志伸,
No.34,2018-04-03 09:56:35,新北市,板橋區,ywdeng,
No.35,2018-04-03 12:18:02,新北市,樹林區,t331466,無論要花多少錢，換幣，對目前的台灣一點實質意義都沒有，台灣老年化的現況更需要經費來充實長照政策，用換幣的錢來補長照，相信照護人員就不用做“功德”
No.36,2018-04-03 12:36:03,高雄市,路竹區,黑馬,
No.37,2018-04-03 16:53:56,苗栗縣,卓蘭鎮,123aaal,
No.38,2018-04-03 17:48:59,臺中市,北區,longjou88,拒絕浪費
No.39,2018-04-03 18:10:10,臺北市,松山區,中華民國國民,現在老百姓過得很辛苦，所得都很低，況且電子支付是未來趨勢，沒道理為了無恥的民進黨意識形態去花費500億去換新鈔，真是浪費老百姓的血汗納稅錢，就只是為了滿足無恥的政客所提出的錯誤政策。
No.40,2018-04-03 18:52:22,新北市,新店區,Evy,
No.41,2018-04-03 21:37:14,臺北市,信義區,Antonio,
No.42,2018-04-05 21:43:56,臺南市,七股區,chuanyu,
No.43,2018-04-05 23:52:51,臺中市,太平區,阿綸,
No.44,2018-04-07 00:55:19,高雄市,三民區,寒流,
No.45,2018-04-08 17:43:57,嘉義市,東區,my baby,
No.46,2018-04-09 18:57:19,臺北市,信義區,皇龍,
No.47,2018-04-10 10:09:12,高雄市,鳳山區,蔡菜,
No.48,2018-04-10 16:53:04,高雄市,仁武區,nini,
No.49,2018-04-10 23:22:55,新北市,板橋區,Mayu,
No.50,2018-04-13 00:04:50,新北市,三重區,迷你馬兒,不要浪費錢! 不要浪費紙!!

