"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-03 00:03:14,彰化縣,福興鄉,ILF,
No.2,2017-06-03 00:03:23,新北市,鶯歌區,4000,
No.3,2017-06-03 00:03:35,臺中市,西區,王玉權,
No.4,2017-06-03 00:04:17,桃園市,中壢區,Eric Hsu,
No.5,2017-06-03 00:05:35,臺中市,龍井區,Enzo,我們想合法地從事正當娛樂與運動，請不要讓我們守法卻被陷於不義。
No.6,2017-06-03 00:05:44,臺中市,霧峰區,劉先生,
No.7,2017-06-03 00:06:08,新北市,三峽區,Kazuki_Kuroda,
No.8,2017-06-03 00:06:12,花蓮縣,花蓮市,路人,
No.9,2017-06-03 00:06:51,臺中市,龍井區,雪影夜,
No.10,2017-06-03 00:07:04,臺北市,大安區,阿諾,
No.11,2017-06-03 00:07:10,桃園市,桃園區,烏龜,
No.12,2017-06-03 00:07:38,新北市,淡水區,Daniel Lin,
No.13,2017-06-03 00:07:41,新北市,淡水區,阿筆,
No.14,2017-06-03 00:09:31,臺北市,內湖區,邪神,"支持統一標準
支持公開檢測
支持第三方公正單位監控檢測"
No.15,2017-06-03 00:10:12,桃園市,龜山區,jhaoenshang,
No.16,2017-06-03 00:12:08,嘉義市,西區,毛,
No.17,2017-06-03 00:12:39,花蓮縣,瑞穗鄉,DmitriHuang,
No.18,2017-06-03 00:12:57,基隆市,信義區,李某人,各政府部門的法規確實應該統一，以免造成人民的困擾
No.19,2017-06-03 00:13:31,臺中市,南區,秋沫,
No.20,2017-06-03 00:14:53,南投縣,埔里鎮,OnionLee,不管是進口的還是本地產的玩具槍都是經過相關的檢驗合格的，台灣產的玩具槍也是遠近馳名的，在所有外銷的國家都沒有檢驗上不合格的問題，卻在國內因為檢測標準不一導致有玩家及業者因此被提告甚至判刑，而且檢警方面還是使用非常不公平的作法來檢驗，不要再讓台灣又少了一項屬於台灣的榮耀，立即修改相關規定及訂定統一的檢驗方法，我們只在安全不會波及路人的地方遊戲運動，我們不會拿槍攻擊無辜的路人及動物，我們會自己約束自己的行為，為什麼 !為什麼? 要把我們當恐怖份子般對待，玩具終究是玩具怎麼改也不會變成真槍，就算能射你們所謂的危險發射物一發就報銷了，誰會***這種事? 而且會改也是有心人士，該嚴格管制的不是合法的玩具，而是會造成玩具變危險的人事物，一根木棍可以削成尖的拿來捅人那用木頭蓋房子的人使用紙張的人是不是也要罰? 菜刀可以切菜，也可以拿來砍人，怎麼不去起訴販賣鋼鐵的人跟製作菜刀的人? 請不要因為它看起來像危險物品就將它妖魔化，它是玩具，它是我們的運動器材，它 是合乎規定的!
No.21,2017-06-03 00:15:31,臺中市,潭子區,良,
No.22,2017-06-03 00:15:54,高雄市,鼓山區,公民,檢驗標準本就該同一，而不是警察想辦法把人家的玩具槍弄到超標
No.23,2017-06-03 00:15:58,新北市,汐止區,小林,
No.24,2017-06-03 00:16:12,基隆市,安樂區,SaSaYia,
No.25,2017-06-03 00:16:14,臺南市,南區,哥布林殺手,
