"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-29 18:21:43,高雄市,鳳山區,"GUO  ",
No.2,2017-11-30 00:15:49,高雄市,岡山區,文文,
No.3,2017-11-30 12:28:01,苗栗縣,頭份市,曉,
No.4,2017-11-30 19:45:12,高雄市,岡山區,阿賢,贊成
No.5,2017-12-01 09:39:56,澎湖縣,白沙鄉,支持,
No.6,2017-12-01 10:25:12,高雄市,前金區,momo Lin,
No.7,2017-12-01 10:32:30,高雄市,鼓山區,玲玲,
No.8,2017-12-01 10:34:39,新竹市,東區,小陳,讃，舊法條，不合時代変變遷
No.9,2017-12-01 10:52:03,苗栗縣,竹南鎮,Y國,小錢也是小老百姓的血汗錢
No.10,2017-12-01 10:52:53,高雄市,橋頭區,卿仔,
No.11,2017-12-01 10:59:22,高雄市,鼓山區,YOUNGER,
No.12,2017-12-01 11:06:34,新北市,新莊區,林庭,
No.13,2017-12-01 11:17:54,彰化縣,福興鄉,阿家,
No.14,2017-12-01 11:32:13,臺南市,善化區,Aki,
No.15,2017-12-01 11:34:01,臺北市,中山區,英英,增加索取發票的意願增加購買公益彩券的意願
No.16,2017-12-01 11:35:37,苗栗縣,後龍鎮,YAOAY,
No.17,2017-12-01 11:37:10,高雄市,鼓山區,餅乾,
No.18,2017-12-01 11:45:36,桃園市,蘆竹區,Cindy chu,
No.19,2017-12-01 11:46:00,臺北市,士林區,Janet,
No.20,2017-12-01 11:48:09,臺北市,士林區,Jacky,很好
No.21,2017-12-01 11:50:02,臺南市,中西區,甘苦人,可以提高中獎人的 實領金額 提高消費者的購買意願 增加公益收入
No.22,2017-12-01 11:50:40,新北市,永和區,"nana ",金額太低又要扣稅跑銀行真的太麻煩，扣稅又要扣20%，贊成100萬內免稅
No.23,2017-12-01 11:51:25,新北市,永和區,小恩恩,我是認為必須要提高，因為2000元確實太低ㄌ，但是實際金額可以再討論
No.24,2017-12-01 11:56:44,新北市,永和區,老大,
No.25,2017-12-01 12:01:35,新竹市,香山區,ming,
No.26,2017-12-01 12:14:29,南投縣,南投市,帥哥,
No.27,2017-12-01 12:18:13,高雄市,三民區,李先生,
No.28,2017-12-01 12:18:18,新北市,汐止區,郭小郭,對本提案表示認同與贊成。
No.29,2017-12-01 12:22:27,新北市,五股區,彩歆商行,"這樣才能增加客人的購買意願,不然,中個4000元,扣完稅只剩3184元...幸運感立馬降低,轉為不滿...開心的心情受到影響了"
No.30,2017-12-01 12:31:59,屏東縣,屏東市,C.S,
No.31,2017-12-01 12:42:08,桃園市,中壢區,姊姊,
No.32,2017-12-01 12:42:17,高雄市,三民區,阿嘉,
No.33,2017-12-01 12:45:39,屏東縣,屏東市,Jojo,
No.34,2017-12-01 12:51:34,臺中市,豐原區,民為貴,當初課稅是因應愛國獎券發行，最早愛國獎券一張五元，當時物價而言，二千元以上課稅合情合理；現在，台灣彩券發行(賓果除外)電腦型彩券一注最少五十元起，刮刮樂一張一百元起，政府應該合理調整課稅金額。
No.35,2017-12-01 12:52:25,苗栗縣,後龍鎮,菜頭,"非常認同提案,希望能將印花稅也能一併廢除.畢竟現在都已經電腦兌獎.為何還要扣印花稅金呢."
No.36,2017-12-01 12:57:22,高雄市,三民區,傑,很好
No.37,2017-12-01 12:59:43,桃園市,桃園區,Ducklu,
No.38,2017-12-01 13:14:51,新北市,深坑區,Lori,
No.39,2017-12-01 13:22:35,桃園市,八德區,Louis Lin,支持公益彩券和統一發票中獎一百萬元以下免扣稅。
No.40,2017-12-01 13:25:34,臺北市,內湖區,Karen,
