"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-15 07:17:05,新北市,林口區,Jimmy,
No.2,2018-05-15 08:43:31,新北市,林口區,Paris,利人利己~
No.3,2018-05-15 09:09:57,臺北市,大安區,Sashimi,
No.4,2018-05-15 09:25:48,新北市,汐止區,Aileen,
No.5,2018-05-15 09:32:22,臺北市,大安區,Patty,
No.6,2018-05-15 09:54:34,新北市,林口區,多莉,"支持綠色能源
或許大家還不知道，但只要親自走一趟火力發電區，你可以發現，根本不像政客說的「乾淨的媒」，整個濱海霧茫茫的，要做就要做對的事！！"
No.7,2018-05-15 10:46:27,臺北市,信義區,Hero,歡迎支持我們的公民電廠提案 ：讓支持綠能憑證，願意出資架設太陽能電站的自然人、民間團體、微型新創也能跟能源公司一樣競標公家機關屋頂！！！ https://join.gov.tw/idea/detail/81bad6d9-2265-457b-ba75-f333f3681873
No.8,2018-05-15 11:07:27,臺南市,安平區,黃米奇,https://zh.wikipedia.org/wiki/%E6%B8%85%E6%B4%81%E8%83%BD%E6%BA%90
No.9,2018-05-15 12:24:11,新北市,林口區,Amber,
No.10,2018-05-15 15:11:07,嘉義縣,太保市,Lynx,
No.11,2018-05-15 19:58:39,新北市,板橋區,Dennis,同意
No.12,2018-05-16 01:54:59,臺北市,內湖區,班班,
No.13,2018-05-16 08:16:26,基隆市,中山區,基隆樂巴,
No.14,2018-05-16 20:26:14,新北市,中和區,aj4gio,
No.15,2018-05-18 17:05:02,新北市,板橋區,吧,
No.16,2018-05-19 08:12:27,桃園市,中壢區,Daisy,
No.17,2018-05-19 11:14:39,新北市,板橋區,小胖,

