"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-19 14:49:27,新北市,林口區,weiting,"同意
機車在最右兩車道行駛，會因公車、計程車及右轉車輛未注意而受傷"
No.2,2018-05-19 23:40:22,彰化縣,彰化市,Cystrol,
No.3,2018-05-20 02:19:20,臺中市,西區,Wu,
No.4,2018-05-20 16:13:04,臺中市,后里區,bill,
No.5,2018-05-20 23:24:32,彰化縣,大村鄉,五顯帝君,
No.6,2018-05-21 00:32:07,臺北市,大安區,將將,本來就應該這樣，應連同機車強制二段式左轉之規定一併廢止。
No.7,2018-05-21 02:40:30,桃園市,桃園區,阿哲,
No.8,2018-05-21 16:34:23,臺東縣,臺東市,vvxaa69,
No.9,2018-05-21 21:11:37,高雄市,楠梓區,zephoenixro,
No.10,2018-05-22 00:31:37,苗栗縣,銅鑼鄉,LORE,
No.11,2018-05-22 02:24:13,臺南市,永康區,Jake,
No.12,2018-05-22 10:28:25,新竹縣,湖口鄉,呂,
No.13,2018-05-22 13:36:54,臺中市,南區,ha8177818,
No.14,2018-05-22 15:01:17,彰化縣,花壇鄉,John,支持
No.15,2018-05-22 22:28:45,新竹市,東區,Logiteach,支持車速分流
No.16,2018-05-23 02:10:54,臺北市,士林區,王,
No.17,2018-05-23 02:20:33,宜蘭縣,蘇澳鎮,胖,
No.18,2018-05-23 09:49:37,臺北市,中山區,小火龍,
No.19,2018-05-23 10:50:36,苗栗縣,竹南鎮,fnf2000,
No.20,2018-05-23 12:28:21,臺北市,北投區,林聖浩,
No.21,2018-05-23 16:10:12,新竹市,香山區,兒兒兒,
No.22,2018-05-23 17:17:04,臺北市,信義區,頁乘,
No.23,2018-05-23 20:26:58,新竹縣,竹北市,劉冠志,
No.24,2018-05-23 21:10:20,屏東縣,屏東市,CatBoss,"支持車速分流
取消強制兩段式左轉"

