"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-05-16 00:07:17,桃園市,中壢區,ShiVeN,
No.2,2017-05-16 00:11:35,彰化縣,田中鎮,Houtoreki,改變遊戲品質 從你我做起!
No.3,2017-05-16 00:13:32,新北市,泰山區,s8902412005,台灣必須要有法律，來管某些無良的代理商，否則台灣遊戲風氣不會好。
No.4,2017-05-16 00:14:09,彰化縣,田中鎮,a0983394185,
No.5,2017-05-16 00:15:10,桃園市,平鎮區,捲胖,
No.6,2017-05-16 00:16:44,臺北市,內湖區,溫妮兔子,"台灣整個制度結構   因為可能大家不願面對自己的歷史   

導致大家也不願面對台灣現存的種種問題   

但你們做的是所有人都知道

所以不要只是搞一些花招  畢竟台灣在這樣搞下去  

不僅越來越追不上先進國家  

許多新興國家也會一個接一個敢超台灣"
No.7,2017-05-16 00:19:52,桃園市,大溪區,亞柏木部,台灣惡意代理商通通下去！
No.8,2017-05-16 00:24:52,彰化縣,田中鎮,tp6tp6116116,
No.9,2017-05-16 00:31:17,臺南市,柳營區,落石從天而降,台灣的線上遊戲環境已經惡劣許久了，代理商的消極營運態度和外掛無人可管，追根究底就是沒有相關法律約制。我們合法玩家是需要被尊重和重視的，維持良好遊戲環境是營運方的義務和責任的。
No.10,2017-05-16 00:36:55,桃園市,蘆竹區,阿倫蘇,
No.11,2017-05-16 00:40:00,新北市,三芝區,害蟲,
No.12,2017-05-16 00:46:21,新北市,新店區,小嵐,
No.13,2017-05-16 00:52:40,高雄市,林園區,van,
No.14,2017-05-16 00:54:22,彰化縣,員林鎮,Eker,員林都升市多久了，怎麼還在鎮
No.15,2017-05-16 00:56:04,臺北市,松山區,栗,
No.16,2017-05-16 01:01:46,高雄市,茄萣區,阿阿阿阿阿阿阿阿,
No.17,2017-05-16 01:02:08,新北市,淡水區,nier,
No.18,2017-05-16 01:04:35,屏東縣,屏東市,流,
No.19,2017-05-16 01:04:35,臺中市,南屯區,Rasky,
No.20,2017-05-16 01:06:24,桃園市,蘆竹區,櫻花雪,"同意不能再多 防止遊戲廠商惡性倒閉
推卸責任給原廠 需要給玩家良好環境.."
No.21,2017-05-16 01:06:32,高雄市,鼓山區,WTW,應該多加控管遊戲廠商的品質 才不會有惡意倒閉廠商出現
No.22,2017-05-16 01:07:20,高雄市,前鎮區,阿仁,希望通過
No.23,2017-05-16 01:08:53,彰化縣,花壇鄉,will,希望這方面能夠立法去規制遊戲代理商的惡意收掉遊戲或是竄改遊戲內容(ex:商城價格調高或轉蛋機率降低)
No.24,2017-05-16 01:09:16,桃園市,八德區,boos,希望能借此 導正遊戲廠商，代理商 重視消費者之應有的權力
No.25,2017-05-16 01:09:51,桃園市,大園區,RoseGa,
No.26,2017-05-16 01:10:06,新北市,板橋區,YG,
No.27,2017-05-16 01:10:24,彰化縣,彰化市,妹空,
