"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-21 06:57:48,新北市,中和區,Mavis,國際上看不懂注音
No.2,2017-10-21 17:03:40,臺北市,文山區,good,
No.3,2017-10-21 18:58:53,臺北市,大安區,這是一定要的ㄚ~,
No.4,2017-10-21 23:28:27,高雄市,鳳山區,嘉婕,跟國際接軌不錯。學習拼音也可以使英文能力增強。
No.5,2017-10-22 09:08:05,高雄市,岡山區,付所,英文拼音較能拚出正確的發音  注音則較欠缺
No.6,2017-10-22 11:32:51,新北市,中和區,高小新,
No.7,2017-10-22 12:11:33,新北市,三峽區,PJS,
No.8,2017-10-22 12:41:27,桃園市,桃園區,Alex,注音符號是我國特有的文字符號，有其歷史與教育的意義，應保留之推廣之。
No.9,2017-10-22 16:18:27,臺中市,北屯區,Maxsenior,贊成。 任何事後、不會有人什麼 叫作 一定不能做 的 絕對判決。 地球在轉時代在變動。 純注音符號的功能 應付不了 就該考慮 變動 調整。
No.10,2017-10-22 16:33:43,臺北市,內湖區,鐵工,基礎教育本就該推行注音符號與拼音並行
No.11,2017-10-22 17:30:49,桃園市,蘆竹區,尼尔,支持！
No.12,2017-10-22 17:33:53,高雄市,前鎮區,酷酷輝,漢語拼音較具實用性
No.13,2017-10-22 17:58:26,宜蘭縣,蘇澳鎮,Kai,讓台灣走向國際 跟國際接軌
No.14,2017-10-22 18:53:03,臺北市,北投區,Leo,
No.15,2017-10-22 19:41:38,基隆市,安樂區,阿瑜,
No.16,2017-10-22 20:59:03,臺中市,北區,maio,強化台灣競爭力，讓台灣語言教育可以與國際接軌
No.17,2017-10-22 21:19:31,桃園市,桃園區,"Jamie liao ",
No.18,2017-10-22 21:20:42,臺中市,北屯區,"Andy ",
No.19,2017-10-22 21:44:46,臺中市,潭子區,Tang,選用羅馬拼音不會以後小孩發音不標準嗎？
No.20,2017-10-22 23:23:54,高雄市,大寮區,提姆,支持注音符號與漢語拼音並行
No.21,2017-10-22 23:27:51,宜蘭縣,冬山鄉,Jimmy Chen,兩岸交流日益頻繁，台灣學子也有可能到對岸就業。在培養就業競爭力的前提之下，本就不應該排除任何一種語言學習的方法。
No.22,2017-10-22 23:28:24,臺北市,大安區,康至青,
No.23,2017-10-22 23:30:36,臺中市,太平區,支持平台身分證號實名,以後跟大陸的交流多了的話，我希望能讓大陸朋友都學習注音符號，大陸朋友也認可注音符號具有一定程度的文化價值，雖然大陸官方沒有刻意去禁止注音符號，但相關資源在大陸也是十分缺乏，有些人甚至連注音符號是什麼東西都不知道，對於文化的失傳甚感痛心
No.24,2017-10-22 23:35:48,新北市,林口區,marisa,
No.25,2017-10-22 23:51:01,臺中市,西屯區,賴政,
No.26,2017-10-23 09:41:47,桃園市,桃園區,Gonkhi,我要與世界接軌進而去中國化
No.27,2017-10-23 09:55:20,臺南市,永康區,印鈔票,
No.28,2017-10-23 09:57:00,新北市,新莊區,wayne,
No.29,2017-10-23 09:57:21,臺南市,北區,Hihciew,
No.30,2017-10-23 10:15:24,桃園市,桃園區,王睿璿,
No.31,2017-10-23 10:48:10,臺北市,內湖區,阿宏,很好
No.32,2017-10-23 11:00:00,臺東縣,臺東市,田,多學習 能更方便和外國人溝通
No.33,2017-10-23 11:49:25,新北市,土城區,Peter Johnson,"跟大陸朋友聊天的時候要是沒有注音輸入法的繁簡切換真的很麻煩
如果去大陸之後怕沒有注音輸入法 打字真的會要重頭學起
希望可以出抬這種政策
讓未來的孩子們可以好好的擁抱祖國
賺祖國的錢"
No.34,2017-10-23 12:05:06,新北市,永和區,Lionel,
No.35,2017-10-23 12:34:23,新北市,新莊區,原鄉人,注音拼音是文化的保留，但也要能跟國際接軌，若一開始學習就是兩種都一起學，這樣對後續的學習及使用會省很多時間且易接軌
No.36,2017-10-23 13:00:51,臺中市,梧棲區,陳威廷,
