"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-27 00:08:43,新竹市,東區,Da,
No.2,2017-04-27 00:11:29,臺北市,大安區,ike,
No.3,2017-04-27 07:53:54,桃園市,中壢區,我支持,
No.4,2017-04-27 09:27:05,臺南市,永康區,Jaim,
No.5,2017-04-27 15:50:49,新北市,五股區,wei hong hong,
No.6,2017-04-27 17:53:23,臺北市,大同區,Negaihoshi,我蠻喜歡這個人的提案，現在學生大多有打工的經驗，但普遍沒有勞基法的素養，而且也不單是學生的問題，以我周遭來說很多人都不注重自己的權益，甚至是不知道，所以我也很推薦納入課程
No.7,2017-04-28 06:01:56,高雄市,前鎮區,蝦米SU,"同意，這已經是每個人民工作上都會使用到的""常識""該列入教材。"
No.8,2017-04-28 14:15:31,新北市,蘆洲區,Ashley,
No.9,2017-04-28 14:56:01,臺中市,沙鹿區,MLLee,
No.10,2017-04-28 19:27:48,苗栗縣,苗栗市,Lucy,
No.11,2017-04-29 00:35:19,新北市,永和區,小i,
No.12,2017-04-29 06:49:38,臺北市,信義區,陳辰,
No.13,2017-04-29 11:06:32,南投縣,草屯鎮,德克斯特,
No.14,2017-04-29 11:09:47,新北市,蘆洲區,FELIX,贊成，但也要同時普及職場規範，權利與義務是並重的。
No.15,2017-04-29 19:05:33,嘉義市,東區,人人,
No.16,2017-05-01 02:14:04,新北市,三重區,applebg,
No.17,2017-05-01 02:19:55,桃園市,中壢區,LizChen,
No.18,2017-05-01 02:23:54,雲林縣,虎尾鎮,翰哥,
No.19,2017-05-01 02:30:29,臺北市,信義區,肥宅,
No.20,2017-05-01 02:37:32,臺北市,南港區,PAMIS,
No.21,2017-05-01 02:47:36,新北市,新店區,EATGOD,一般勞工缺乏爭取自己權益的意識，導致職場上有許多雇主任意侵害勞工權益，而勞工為了經濟上的壓力而屈服，任憑公司壓榨，不論是勞保高薪低報，任意資遣員工的事件時有耳聞，加強勞工意識須及早做起，了解自身所具備最基本的權利須從學校教育做起。
No.22,2017-05-01 04:03:29,新北市,新莊區,秀秀,
No.23,2017-05-01 06:26:52,臺北市,中正區,shan,"很好,早就該這麼做了"
No.24,2017-05-01 08:06:50,新竹市,北區,翔,孩子教育不能等
No.25,2017-05-01 08:42:31,高雄市,楠梓區,cat,勞工權益需知必須從根本教育做起
