"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-13 22:54:22,臺中市,西屯區,小君,
No.2,2018-05-14 08:18:10,臺北市,松山區,Stone,除了罰則這種方式，或許也可以考慮設個獎項，給前十名完成百分之百無實體電子發票的企業？
No.3,2018-05-21 11:28:38,新北市,新莊區,kiki,
No.4,2018-05-22 02:15:11,臺南市,永康區,Jake,
No.5,2018-05-23 14:09:53,新北市,新店區,D,
No.6,2018-05-23 17:26:27,新北市,鶯歌區,00,發票存載具才能真正落實環保！
No.7,2018-05-23 17:33:12,臺中市,南屯區,tacoxx,
No.8,2018-05-23 17:34:31,新北市,新店區,Joy,
No.9,2018-05-23 17:38:14,臺南市,鹽水區,Hana,
No.10,2018-05-23 17:39:32,臺中市,潭子區,凱,經常遇到店家不會使用或是同一間公司不同地點有的可以用有的說他們主管說不行的情況
No.11,2018-05-23 17:40:24,臺北市,大同區,Kelly,
No.12,2018-05-23 17:45:31,桃園市,桃園區,Emily Wang,
No.13,2018-05-23 17:54:52,高雄市,三民區,PYSUN,
No.14,2018-05-23 17:57:47,新北市,新莊區,Hongfat,
No.15,2018-05-23 18:02:26,新北市,中和區,winson,既然要推行電子發票就請不要做半套，未強制執行的政策只會讓商家愛理不理，也不會主動去更換或優化相關系統和設備，因為沒強制性使用載具的人也沒那麼多店家就未必會投資設備，而一些店家能使用悠遊卡卻因pos系統不支援也不一定能存在票證裡還得另外拿出載具，然後也不會像全聯會員載具一樣設定預設不列印發票供客人選擇，將發票列印權交給收銀員的結果只會換來明明不印發票又被印出來，最後只會讓消費者和商家都不愉快，搞的遵從政策的消費者像是奧客找碴一樣！難怪推行那麼多年還是這樣零零落落
No.16,2018-05-23 18:06:53,苗栗縣,公館鄉,Pa,無紙化應從店家開始
No.17,2018-05-23 18:07:28,彰化縣,芳苑鄉,星x,
No.18,2018-05-23 18:08:19,新北市,三峽區,Natasha,
No.19,2018-05-23 18:10:13,高雄市,仁武區,魚魚,"支持本提議，許多店家開立電子發票，卻說無法使用載具。
沒有罰款，店家根本就不會改進。"
No.20,2018-05-23 18:10:17,新北市,汐止區,EJ,電子發票確實又很有優點，希望能增加罰則，落實雲端發票
No.21,2018-05-23 18:12:14,新竹縣,竹北市,Vicky,
No.22,2018-05-23 18:15:37,臺南市,新營區,Sammi,
No.23,2018-05-23 18:19:43,臺北市,萬華區,Tts,
No.24,2018-05-23 18:20:03,新北市,瑞芳區,Fred,
No.25,2018-05-23 18:20:07,臺北市,內湖區,Fei,另外可以規定新增店家一定要用電子發票
No.26,2018-05-23 18:20:30,高雄市,苓雅區,六米,
No.27,2018-05-23 18:22:13,彰化縣,溪湖鎮,知,
No.28,2018-05-23 18:23:28,新北市,板橋區,Evon,使用載具如悠遊卡應該就要預設直接存，不然每次都要被問要不要存發票，我很煩，店員也很煩。
No.29,2018-05-23 18:24:17,臺北市,中山區,Cara,請拒絕使用載具的店家改用可回收重複使用的紙張發票
No.30,2018-05-23 18:25:05,新北市,三重區,柚子,不只需自備掃描設備，也該張貼「本店使用電子發票」的貼紙在結帳櫃台顯眼位置。
No.31,2018-05-23 18:29:24,臺北市,文山區,Felisa C.,
