"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-05-06 12:38:20,臺北市,大安區,康至青,
No.2,2017-05-06 13:20:22,基隆市,中正區,JusticE,
No.3,2017-05-06 15:34:15,臺南市,仁德區,jackchao,
No.4,2017-05-06 16:43:52,臺南市,白河區,```````,
No.5,2017-05-06 18:38:04,桃園市,龜山區,安妞,
No.6,2017-05-06 22:25:19,新北市,中和區,samick,"政府時常利用職務之便，以外包名義，對特定廠商給予大部分的標案，而最後出來的品質不良。
特定廠商交付的軟體，在實務上，並沒有提供有效率的方式解決特定領域問題，且不符合該領域的實際需求，我們看到的是，幾十年來，政府不斷的外包給素質差的軟體公司，創造免洗***軟體，而並不想去了解業務本身與軟體之間的問題並改善之。"
No.7,2017-05-07 07:55:59,臺北市,萬華區,第二顆小石頭,
No.8,2017-05-07 22:20:29,桃園市,大園區,Liao,
No.9,2017-05-09 08:14:18,新竹縣,新豐鄉,Mr.S,"也請支持""宅版錢瞻計畫"",""調整行政區有效整合區域資源"",""建立立體交通網徹底解決交通問題"",""教育改革應從建立大數據庫&學分制度著手"",""禁止商業繁殖貓狗"",""央行應該建立外匯交易結算系統, 將買賣申報數據化"",""建議政府發行特別股與民眾交換公共設施保留地"",""四或五線道窄安全島的不良的汽車待轉車道修改為左右彎汽車都須待轉"",""蘇花改接國道5"",""各級學校,各類補習班教室都須設置防止性侵害標語"""
No.10,2017-05-09 08:33:42,新北市,新店區,Newyorker,
No.11,2017-05-11 10:13:58,新北市,永和區,wegin,
