"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-03 11:00:27,基隆市,安樂區,媜,
No.2,2018-04-03 11:17:42,基隆市,安樂區,阿寶,
No.3,2018-04-03 11:33:13,新北市,三峽區,曼,
No.4,2018-04-03 11:38:36,新北市,萬里區,劉,讓重機更加方便
No.5,2018-04-03 11:40:06,基隆市,七堵區,Yo,
No.6,2018-04-03 11:40:08,新北市,土城區,宇,
No.7,2018-04-03 11:47:50,基隆市,暖暖區,翔,
No.8,2018-04-03 12:18:05,桃園市,中壢區,分,
No.9,2018-04-03 12:21:17,新北市,三峽區,阿威,
No.10,2018-04-03 22:03:25,新北市,土城區,友澤,很棒
No.11,2018-04-03 22:14:23,新北市,土城區,憲仔,
No.12,2018-04-04 00:22:12,基隆市,七堵區,阿泉,交通這樣會變的很方便
No.13,2018-04-04 00:30:31,新北市,土城區,I,

