"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-21 00:26:27,桃園市,龜山區,長翔,"每當事故發生後，第一個被檢討的是誰？
每當事故發生後，卸責的單位是誰？
每當事故發生後，交通相關法規變嚴厲了；但符合時宜嗎？行政命令適當嗎？合乎憲法精神嗎？
是的，被檢討永遠是社會底層的人民！
是的，卸責的單位永遠是那幾個！
是的，法規變嚴厲了，但不合適居多！
是的，行政命令可以部會想怎麼頒佈就怎麼頒佈，逃避了立法院的監督；也躲避了憲法保障人民的權利！
應該立刻全面檢討交通部及所屬各單位人/事/物含官僚文化。
應該立刻全面檢討交通法規適時宜性，臺灣專用的法規，歐美國家適用的法規，不代表臺灣適用。
應該立刻檢討交通部及各單位的專業性，學者的意見也只是理論而已。應該要納入實務領域經驗豐富之人士（非企業主），參與檢討交通部！"
No.2,2017-10-21 05:12:20,新北市,板橋區,閒者,
No.3,2017-10-21 06:44:20,桃園市,龜山區,蓮霧,
No.4,2017-10-21 07:46:22,臺北市,松山區,蘇偉,支持改革交通部
No.5,2017-10-21 07:58:10,新北市,瑞芳區,阿另,
No.6,2017-10-21 08:25:10,新北市,樹林區,Wang,
No.7,2017-10-21 08:28:29,高雄市,三民區,高榮法,
No.8,2017-10-21 08:51:39,新北市,三重區,蔡小祐,
No.9,2017-10-21 10:48:47,臺北市,大安區,紐西蘭,
No.10,2017-10-21 14:18:07,桃園市,龜山區,福氣,
