"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-29 03:23:56,臺中市,北區,Lin,
No.2,2017-09-29 16:20:18,臺南市,中西區,鯨魚,"國民年金其中有一條提到10年補繳期限,若欠費超過10年,不得補繳,亦不會再追討,該段期間不濟入保險年資

另外被保人欠費會追討被保人配偶,這點也不合理,而且有點再逞罰已有配偶者嗎?"
No.3,2017-09-29 20:22:15,新北市,泰山區,天才,本來就應該要這樣
No.4,2017-10-02 03:03:20,臺中市,東區,dim,最好連勞保也是自由選擇要不要保。
No.5,2017-10-02 10:29:28,臺中市,沙鹿區,小麥,根本不符合人道主義，已經失業還要懲罰
No.6,2017-10-02 17:46:24,臺北市,大安區,Jixan Liu,早該做了，社會正義！
No.7,2017-10-02 20:47:58,臺中市,大里區,huach,
No.8,2017-10-02 22:57:40,臺南市,東區,LEE LEㄟ,
No.9,2017-10-03 19:20:31,臺北市,大安區,Charming,
No.10,2017-10-04 17:00:47,新北市,金山區,落晰,
No.11,2017-10-04 23:14:21,臺東縣,臺東市,鬼鬼,
No.12,2017-10-05 01:04:03,高雄市,三民區,超想取消國民金,請讓國民選擇自己要的保障方式好嗎！
No.13,2017-10-05 07:20:03,臺北市,內湖區,小林搞工,
No.14,2017-10-05 10:55:40,臺中市,烏日區,大同,沒有參加勞保、農保、公教保或軍保很多是失業者或經濟弱勢，政府不該用國民年金的名義對這些族群變相課稅，這是一種對弱勢族群懲罰性的繳納! 國民年金不像健康保險一樣對民眾具有必要性，不該是強制繳納應改為自由繳納且一併取消罰則。
No.15,2017-10-05 12:53:01,臺中市,霧峰區,小明,
No.16,2017-10-05 13:33:11,臺中市,梧棲區,阿霖,
No.17,2017-10-06 09:18:05,新北市,板橋區,reevesi,"這種政客買票不公不義的政策,請趕快刪除"
No.18,2017-10-08 00:14:28,花蓮縣,吉安鄉,支持,生活吃飯都成問題了為什麼還要強制人們先把錢儲蓄起來這樣就違反了 國民年金的本旨了
No.19,2017-10-08 19:37:57,臺中市,南區,源,
No.20,2017-10-09 23:56:51,屏東縣,萬丹鄉,柚235,
No.21,2017-10-10 16:28:22,新北市,泰山區,阿立,
No.22,2017-10-10 21:05:12,屏東縣,屏東市,ghbio364,
No.23,2017-10-10 23:37:58,新北市,新莊區,Kiki,
No.24,2017-10-11 12:46:18,新北市,淡水區,keiko,都沒薪水了還要付國民年金
No.25,2017-10-11 14:52:15,新北市,土城區,燁曉風,
No.26,2017-10-11 15:05:47,新北市,土城區,小璦,"吃土了還要繳什麼？
還是要我們陽光空氣水就能活？"
No.27,2017-10-11 21:53:18,屏東縣,屏東市,Frank,
No.28,2017-10-11 22:41:00,臺南市,安南區,Chanel,一旦政府提高薪資所得，物價就會跟著上漲，根本沒有實質優惠民眾，而且怕是『看的到領不到』的錢，還是取消政客提出的國民年金才是上策…
No.29,2017-10-12 13:31:26,臺中市,神岡區,Linda,
No.30,2017-10-14 12:31:07,臺中市,西屯區,"KittyMa ",
No.31,2017-10-15 12:59:09,苗栗縣,竹南鎮,LADAKHSTONE,
No.32,2017-10-15 13:47:14,臺中市,北屯區,Siang,贊成！
No.33,2017-10-16 11:24:19,南投縣,名間鄉,神一般的對手,
No.34,2017-10-18 16:32:06,臺南市,後壁區,小麥,
No.35,2017-10-18 20:42:26,新北市,淡水區,Y.F.,
No.36,2017-10-19 16:34:58,屏東縣,東港鎮,Yuyi,國民年金真的很詭異，要沒有工作的人繳納，是哪來的錢？
No.37,2017-10-19 18:41:04,高雄市,鳳山區,Mina,
No.38,2017-10-19 20:51:56,南投縣,名間鄉,RN,
No.39,2017-10-19 22:20:51,彰化縣,員林鎮,Laius,
No.40,2017-10-19 23:34:23,臺中市,西區,wan,
No.41,2017-10-20 00:27:35,新北市,深坑區,Villain,這個瑕疵的政策早該修了
No.42,2017-10-20 03:40:24,新北市,新莊區,CK,
No.43,2017-10-20 04:03:49,新北市,新店區,W.M.,
No.44,2017-10-20 05:11:13,臺北市,中山區,粉紅,"失業很慘, 還要多收帳單!"
No.45,2017-10-20 13:11:39,臺中市,北屯區,danny,就沒工作沒錢了還要繳～政府搶錢呀！
No.46,2017-10-20 18:00:47,高雄市,鳳山區,曹先生,
No.47,2017-10-22 01:22:18,臺北市,中山區,帥氣的浣熊,
No.48,2017-10-22 09:11:44,臺中市,后里區,Eleanor,
No.49,2017-10-22 18:35:50,新北市,深坑區,Mao,沒工作沒收入時候還要繳國民年金，這什麼理論？生活費都不夠…政府還要求我繳我不需要的保險，憑什麼剝奪我的選擇權啊？
No.50,2017-10-22 19:00:50,新竹市,東區,力,雖然立意是要民眾的生活未來有保障，可是我就是沒收入，你還要我繳錢？而且一個月942塊。我填飽肚子先，根本不會理這個政策。
No.51,2017-10-22 19:51:49,高雄市,楠梓區,RB,"不只畫大餅，還強制餵人吃餅的爛政策，
再不改善，遲早拖垮後代"
No.52,2017-10-22 19:53:46,臺南市,新市區,Danny,
No.53,2017-10-22 21:16:49,新北市,汐止區,時也,
No.54,2017-10-22 23:15:38,臺東縣,臺東市,wayne,
No.55,2017-10-22 23:36:57,新北市,板橋區,丫玉,
No.56,2017-10-23 01:29:44,新北市,深坑區,"Yunuswu ",
No.57,2017-10-23 01:41:27,臺北市,北投區,Nick,
No.58,2017-10-23 07:16:12,新北市,中和區,clark,
No.59,2017-10-23 09:40:09,新北市,中和區,yin,
No.60,2017-10-23 14:29:18,臺北市,南港區,徐振峰,
No.61,2017-10-23 15:03:20,花蓮縣,壽豐鄉,貓咪大叔,
No.62,2017-10-23 15:08:47,南投縣,名間鄉,Jen,
No.63,2017-10-23 15:09:42,臺南市,永康區,陳,
No.64,2017-10-23 15:11:07,雲林縣,斗南鎮,陳,
No.65,2017-10-23 15:11:15,桃園市,中壢區,芳咩,就已經都無法存錢，生活緊迫，還要繳這種沒意義的錢，根本是爛政策
No.66,2017-10-23 15:11:25,新北市,蘆洲區,Ethan,不合理的就該廢除
No.67,2017-10-23 15:14:43,臺中市,南區,琪琪,
No.68,2017-10-23 15:17:29,臺南市,永康區,小楓,都沒工作了…還要繳國民年金…有沒有搞錯啊…
No.69,2017-10-23 15:18:32,臺中市,大肚區,恐龍寶寶,"支持提案
國民年金應該取消強制納保，修改為由全體國民自己來決定是否要不要加入國民年金保險"
No.70,2017-10-23 15:24:07,屏東縣,長治鄉,路,沒有工作、沒有收入的時候竟然要繳納，真心搞不懂是要拿什麼錢來繳納???
No.71,2017-10-23 15:29:49,臺北市,信義區,游小慧,
No.72,2017-10-23 15:36:05,臺中市,北屯區,rhr,
No.73,2017-10-23 16:33:20,臺北市,松山區,Ryan,
No.74,2017-10-23 16:38:47,臺中市,南屯區,恐龍寶寶的媽媽,支持提案！
No.75,2017-10-23 17:42:00,苗栗縣,銅鑼鄉,LORE,
No.76,2017-10-23 17:47:14,南投縣,草屯鎮,張小琪,
No.77,2017-10-23 18:48:50,桃園市,龜山區,張小姐,
No.78,2017-10-23 18:53:18,新北市,汐止區,zein,就沒收入了還納保、馬德製杖
No.79,2017-10-23 19:04:36,南投縣,草屯鎮,儒,
No.80,2017-10-23 21:40:10,新北市,中和區,weltall,
No.81,2017-10-23 22:24:48,臺南市,仁德區,劉小婕,
No.82,2017-10-24 13:34:35,新北市,樹林區,CCM,
No.83,2017-10-24 21:27:57,新北市,新店區,羽晴,
No.84,2017-10-24 21:31:11,新北市,樹林區,jice,
No.85,2017-10-24 22:01:40,臺南市,七股區,jimmy,
No.86,2017-10-24 22:03:14,屏東縣,萬巒鄉,魯國國相,
No.87,2017-10-24 22:19:55,高雄市,前鎮區,WAL,很天真的政策，很天才的制度。到底是那個天才或是落入凡間的精靈想出來的，如此完美的政策、制度，以為人民都是在家經營印鈔業，不用工作就有鈔票，哦！不對，是工作就是宅在家印鈔票。
No.88,2017-10-24 23:11:51,新北市,土城區,Mandy,非常支持
